id,name,releaseYear,developer,publisher,platform,criticScore,userScore,ESRB,globalSales
sales_61,Grand Theft Auto: Liberty City Stories,2005-01-01,Rockstar Leeds,Take-Two Interactive,PlayStation Portable (PSP),88.0,7.6,M,7
sales_62,Call of Duty: Advanced Warfare,2014-01-01,Sledgehammer Games,Activision,PlayStation 4,83.0,5.7,M,7
sales_63,FIFA 17,2016-01-01,"EA Sports, EA Vancouver",Electronic Arts,PlayStation 4,85.0,5.0,E,7
sales_64,Super Mario Galaxy 2,2010-01-01,Nintendo EAD Tokyo,Nintendo,Wii,97.0,9.1,E,7
sales_65,Call of Duty: World at War,2008-01-01,Treyarch,Activision,Xbox 360,84.0,7.6,M,7
sales_66,Battlefield 3,2011-01-01,EA DICE,Electronic Arts,Xbox 360,84.0,7.4,M,7
sales_67,Need for Speed Underground,2003-01-01,EA Black Box,Electronic Arts,PlayStation 2,85.0,8.6,E,7
sales_68,Just Dance,2009-01-01,Ubisoft Paris,Ubisoft,Wii,49.0,8.0,E10+,7
sales_69,Battlefield 3,2011-01-01,EA DICE,Electronic Arts,PlayStation 3,85.0,7.5,M,7
sales_70,Fallout 4,2015-01-01,Bethesda Game Studios,Bethesda Softworks,PlayStation 4,87.0,6.5,M,7
sales_71,Tekken 3,1998-01-01,Namco,Sony Computer Entertainment,PlayStation,96.0,9.1,T,7
sales_72,The Legend of Zelda: Twilight Princess,2006-01-01,Nintendo,Nintendo,Wii,95.0,9.0,T,7
sales_73,Crash Bandicoot 3: Warped,1998-01-01,Naughty Dog,Sony Computer Entertainment,PlayStation,91.0,8.9,E,7
sales_74,Mario Kart 8,2014-01-01,Nintendo,Nintendo,Wii U,88.0,9.1,E,7
sales_75,Super Smash Bros. Melee,2001-01-01,HAL Labs,Nintendo,Nintendo GameCube,92.0,9.1,T,7
sales_76,Need for Speed Underground 2,2004-01-01,EA Canada,Electronic Arts,PlayStation 2,82.0,8.6,E,6
sales_77,Medal of Honor: Frontline,2002-01-01,EA LA,Electronic Arts,PlayStation 2,88.0,8.5,T,6
sales_78,Just Dance 4,2012-01-01,Ubisoft,Ubisoft,Wii,74.0,7.3,E10+,6
sales_79,Gears of War 2,2008-01-01,Epic Games,Microsoft Game Studios,Xbox 360,93.0,7.7,M,6
sales_80,Uncharted 3: Drake's Deception,2011-01-01,Naughty Dog,Sony Computer Entertainment,PlayStation 3,92.0,8.3,T,6
sales_81,Call of Duty 4: Modern Warfare,2007-01-01,Infinity Ward,Activision,PlayStation 3,94.0,8.4,M,6
sales_82,Uncharted 2: Among Thieves,2009-01-01,Naughty Dog,Sony Computer Entertainment,PlayStation 3,96.0,8.8,T,6
sales_83,Big Brain Academy,2005-01-01,Nintendo,Nintendo,Nintendo DS,74.0,7.4,E,6
sales_84,Red Dead Redemption,2010-01-01,Rockstar San Diego,Take-Two Interactive,PlayStation 3,95.0,8.8,M,6
sales_85,FIFA 14,2013-01-01,EA Canada,Electronic Arts,PlayStation 3,86.0,4.3,E,6
sales_86,Assassin's Creed III,2012-01-01,Ubisoft,Ubisoft,PlayStation 3,85.0,6.9,M,6
sales_87,Donkey Kong Country Returns,2010-01-01,Retro Studios,Nintendo,Wii,87.0,8.6,E,6
sales_88,Halo: Combat Evolved,2001-01-01,Bungie Software,Microsoft Game Studios,Xbox,97.0,8.6,M,6
sales_89,The Elder Scrolls V: Skyrim,2011-01-01,Bethesda Game Studios,Bethesda Softworks,PlayStation 3,92.0,6.4,M,6
sales_90,Pokémon Emerald Version,2004-01-01,Game Freak,Nintendo,Game Boy Advance,76.0,9.0,E,6
sales_91,Kingdom Hearts,2002-01-01,SquareSoft,Sony Computer Entertainment,PlayStation 2,85.0,8.8,E,6
sales_92,Halo 3: ODST,2009-01-01,"Bungie Software, Bungie",Microsoft Game Studios,Xbox 360,83.0,7.1,M,6
sales_93,Red Dead Redemption,2010-01-01,Rockstar San Diego,Take-Two Interactive,Xbox 360,95.0,9.0,M,6
sales_94,Super Mario Sunshine,2002-01-01,Nintendo,Nintendo,Nintendo GameCube,92.0,8.6,E,6
sales_95,World of Warcraft,2004-01-01,Blizzard Entertainment,Activision,Windows PC,93.0,7.3,T,6
sales_96,Driver,1999-01-01,Reflections Interactive,GT Interactive,PlayStation,87.0,8.1,T,6
sales_97,Gears of War 3,2011-01-01,Epic Games,Microsoft Game Studios,Xbox 360,91.0,7.8,M,6
sales_98,Kinect Sports,2010-01-01,Rare Ltd.,Microsoft Game Studios,Xbox 360,73.0,7.4,E10+,6
sales_99,Gears of War,2006-01-01,Epic Games,Microsoft Game Studios,Xbox 360,94.0,8.3,M,6
sales_100,FIFA 15,2014-01-01,EA Sports,Electronic Arts,PlayStation 4,82.0,5.7,E,6
sales_101,Metal Gear Solid 2: Sons of Liberty,2001-01-01,KCEJ,Konami Digital Entertainment,PlayStation 2,96.0,8.7,M,6
sales_102,Metal Gear Solid,1998-01-01,KCEJ,Konami Digital Entertainment,PlayStation,94.0,9.4,M,6
sales_103,Metal Gear Solid 4: Guns of the Patriots,2008-01-01,Kojima Productions,Konami Digital Entertainment,PlayStation 3,94.0,8.7,M,5
sales_104,Final Fantasy XII,2006-01-01,Square Enix,Square Enix,PlayStation 2,92.0,7.6,T,5
sales_105,The Last of Us,2013-01-01,Naughty Dog,Sony Computer Entertainment Europe,PlayStation 3,95.0,9.1,M,5
sales_106,LittleBigPlanet,2008-01-01,"SCE/WWS, Media Molecule",Sony Computer Entertainment,PlayStation 3,95.0,6.8,E,5
sales_107,Resident Evil 2,1998-01-01,Capcom,Virgin Interactive,PlayStation,89.0,9.2,M,5
sales_108,Dragon Quest IX: Sentinels of the Starry Skies,2009-01-01,Level 5,Nintendo,Nintendo DS,87.0,8.8,E10+,5
sales_109,Tekken 2,1996-01-01,Namco,Sony Computer Entertainment,PlayStation,89.0,8.9,T,5
sales_110,Destiny,2014-01-01,"Bungie Software, Bungie",Activision,PlayStation 4,76.0,6.1,T,5
sales_111,LEGO Star Wars: The Complete Saga,2007-01-01,Traveller's Tales,LucasArts,Wii,80.0,8.9,E10+,5
sales_112,Cooking Mama,2006-01-01,Taito Corporation,505 Games,Nintendo DS,67.0,7.2,E,5
sales_113,Assassin's Creed II,2009-01-01,Ubisoft Montreal,Ubisoft,PlayStation 3,91.0,8.6,M,5
sales_114,Assassin's Creed,2007-01-01,Ubisoft Montreal,Ubisoft,Xbox 360,81.0,7.7,M,5
sales_115,Forza Motorsport 3,2009-01-01,Turn 10,Microsoft Game Studios,Xbox 360,92.0,8.0,E,5
sales_116,Super Mario Advance,2001-01-01,Nintendo,Nintendo,Game Boy Advance,84.0,7.8,E,5
sales_117,Monster Hunter Freedom Unite,2008-01-01,Capcom,Capcom,PlayStation Portable (PSP),81.0,8.7,T,5
sales_118,Batman: Arkham City,2011-01-01,Rocksteady Studios,Warner Bros. Interactive Entertainment,PlayStation 3,96.0,8.6,T,5
sales_119,Grand Theft Auto V,2014-01-01,Rockstar North,Take-Two Interactive,Xbox One,97.0,7.9,M,5
sales_120,Mario Kart: Super Circuit,2001-01-01,Intelligent Systems,Nintendo,Game Boy Advance,93.0,8.3,E,5
sales_121,Crash Bandicoot: The Wrath of Cortex,2001-01-01,Traveller's Tales,Universal Interactive,PlayStation 2,66.0,7.1,E,5
sales_122,Call of Duty: World at War,2008-01-01,Treyarch,Activision,PlayStation 3,85.0,7.6,M,5
sales_123,Uncharted 4: A Thief's End,2016-01-01,Naughty Dog,Sony Computer Entertainment,PlayStation 4,93.0,7.9,T,5
sales_124,Final Fantasy XIII,2009-01-01,Square Enix,Square Enix,PlayStation 3,83.0,7.3,T,5
sales_125,Final Fantasy IX,2000-01-01,SquareSoft,SquareSoft,PlayStation,94.0,8.9,T,5
sales_126,Assassin's Creed III,2012-01-01,Ubisoft,Ubisoft,Xbox 360,84.0,6.7,M,5
sales_127,Final Fantasy X-2,2003-01-01,SquareSoft,Electronic Arts,PlayStation 2,85.0,6.6,T,5
sales_128,Call of Duty: Advanced Warfare,2014-01-01,Sledgehammer Games,Activision,Xbox One,81.0,5.4,M,5
sales_129,Assassin's Creed II,2009-01-01,Ubisoft Montreal,Ubisoft,Xbox 360,90.0,8.8,M,5
sales_130,New Super Mario Bros. U,2012-01-01,Nintendo,Nintendo,Wii U,84.0,8.1,E,5
sales_131,Dragon Quest VIII: Journey of the Cursed King,2004-01-01,Level 5,Square Enix,PlayStation 2,89.0,8.8,T,5
sales_132,Professor Layton and the Curious Village,2007-01-01,Level 5,Nintendo,Nintendo DS,85.0,8.6,E,5
sales_133,FIFA Soccer 13,2012-01-01,Electronic Arts,Electronic Arts,Xbox 360,90.0,6.1,E,5
sales_134,Diablo III,2012-01-01,Blizzard Entertainment,Activision,Windows PC,88.0,4.0,M,5
sales_135,Medal of Honor: Rising Sun,2003-01-01,EA LA,Electronic Arts,PlayStation 2,68.0,7.6,T,5
sales_136,Guitar Hero II,2006-01-01,Harmonix Music Systems,RedOctane,PlayStation 2,92.0,8.5,T,5
sales_137,Fable III,2010-01-01,Lionhead Studios,Microsoft Game Studios,Xbox 360,80.0,6.5,M,5
sales_138,Resident Evil 5,2009-01-01,Capcom,Capcom,PlayStation 3,84.0,7.5,M,5
sales_139,The Legend of Zelda: Phantom Hourglass,2007-01-01,Nintendo,Nintendo,Nintendo DS,90.0,8.0,E,5
sales_140,FIFA Soccer 11,2010-01-01,EA Sports,Electronic Arts,PlayStation 3,89.0,8.0,E,5
sales_141,Resident Evil,1996-01-01,Capcom,Virgin Interactive,PlayStation,91.0,9.0,M,5
sales_142,Grand Theft Auto: Vice City Stories,2006-01-01,Rockstar Leeds,Take-Two Interactive,PlayStation Portable (PSP),86.0,8.0,M,5
sales_143,Tony Hawk's Pro Skater,1999-01-01,Neversoft Entertainment,Activision,PlayStation,92.0,9.2,T,5
sales_144,Guitar Hero III: Legends of Rock,2007-01-01,"Neversoft Entertainment, BudCat",Activision,PlayStation 2,82.0,8.2,T,4
sales_145,Link's Crossbow Training,2007-01-01,Nintendo,Nintendo,Wii,68.0,7.1,T,4
sales_146,Fallout 3,2008-01-01,Bethesda Game Studios,Bethesda Softworks,Xbox 360,93.0,8.5,M,4
sales_147,Uncharted: Drake's Fortune,2007-01-01,"Naughty Dog, SCE/WWS",Sony Computer Entertainment,PlayStation 3,88.0,8.1,T,4
sales_148,Madden NFL 06,2005-01-01,EA Sports,Electronic Arts,PlayStation 2,88.0,8.0,E,4
sales_149,StarCraft II: Wings of Liberty,2010-01-01,Blizzard Entertainment,Activision,Windows PC,93.0,8.2,T,4
sales_150,Assassin's Creed,2007-01-01,Ubisoft Montreal,Ubisoft,PlayStation 3,81.0,7.3,M,4
sales_151,God of War III,2010-01-01,SCE Santa Monica,Sony Computer Entertainment,PlayStation 3,92.0,8.7,M,4
sales_152,Crash Team Racing,1999-01-01,Naughty Dog,Sony Computer Entertainment,PlayStation,88.0,9.0,E,4
sales_153,LEGO Star Wars: The Complete Saga,2007-01-01,TT Fusion,LucasArts,Nintendo DS,80.0,5.4,E,4
sales_154,Driver 2,2000-01-01,Reflections Interactive,Atari,PlayStation,62.0,7.7,T,4
sales_155,Batman: Arkham City,2011-01-01,Rocksteady Studios,Warner Bros. Interactive Entertainment,Xbox 360,94.0,8.7,T,4
sales_156,Tony Hawk's Pro Skater 2,2000-01-01,Neversoft Entertainment,Activision,PlayStation,98.0,7.7,T,4
sales_157,The Lord of the Rings: The Two Towers,2002-01-01,Stormfront Studios,Electronic Arts,PlayStation 2,82.0,8.2,T,4
sales_158,Tomb Raider,1996-01-01,Core Design Ltd.,Eidos Interactive,PlayStation,91.0,8.6,T,4
sales_159,Animal Crossing: City Folk,2008-01-01,Nintendo,Nintendo,Wii,73.0,7.6,E,4
sales_160,Uncharted: The Nathan Drake Collection,2015-01-01,Bluepoint Games,Sony Computer Entertainment,PlayStation 4,86.0,8.1,T,4
sales_161,The Legend of Zelda: The Wind Waker,2002-01-01,Nintendo,Nintendo,Nintendo GameCube,96.0,8.9,E,4
sales_162,Guitar Hero III: Legends of Rock,2007-01-01,Vicarious Visions,Activision,Wii,86.0,8.4,T,4
sales_163,Luigi's Mansion: Dark Moon,2013-01-01,Next Level Games,Nintendo,Nintendo 3DS,86.0,8.4,E,4
sales_164,Forza Motorsport 4,2011-01-01,Turn 10,Microsoft Game Studios,Xbox 360,91.0,8.2,E,4
sales_165,Madden NFL 2005,2004-01-01,EA Tiburon,Electronic Arts,PlayStation 2,91.0,7.9,E,4
sales_166,Guitar Hero III: Legends of Rock,2007-01-01,Neversoft Entertainment,Activision,Xbox 360,85.0,7.9,T,4
sales_167,Madden NFL 07,2006-01-01,EA Sports,Electronic Arts,PlayStation 2,84.0,8.2,E,4
sales_168,Halo 5: Guardians,2015-01-01,343 Industries,Microsoft Game Studios,Xbox One,84.0,6.4,T,4
sales_169,Spider-Man: The Movie,2002-01-01,Treyarch,Activision,PlayStation 2,76.0,7.9,E,4
sales_170,Call of Duty: Infinite Warfare,2016-01-01,Infinity Ward,Activision,PlayStation 4,77.0,3.4,M,4
sales_171,God of War,2005-01-01,SCE Santa Monica,Sony Computer Entertainment,PlayStation 2,94.0,8.9,M,4
sales_172,Splatoon,2015-01-01,Nintendo,Nintendo,Wii U,81.0,8.5,E10+,4
sales_173,Nintendo Land,2012-01-01,Nintendo,Nintendo,Wii U,77.0,7.9,E10+,4
sales_174,Tony Hawk's Pro Skater 3,2001-01-01,Neversoft Entertainment,Activision,PlayStation 2,97.0,7.5,T,4
sales_175,Winning Eleven: Pro Evolution Soccer 2007,2006-01-01,Konami,Konami Digital Entertainment,PlayStation 2,86.0,8.9,E,4
sales_176,The Elder Scrolls IV: Oblivion,2006-01-01,Bethesda Softworks,Take-Two Interactive,Xbox 360,94.0,8.7,M,4
sales_177,Need for Speed: Most Wanted,2005-01-01,EA Canada,Electronic Arts,PlayStation 2,82.0,9.1,T,4
sales_178,Michael Jackson: The Experience,2010-01-01,"Ubisoft Paris, Ubisoft Montpellier",Ubisoft,Wii,56.0,8.3,E10+,4
sales_179,Resistance: Fall of Man,2006-01-01,Insomniac Games,Sony Computer Entertainment,PlayStation 3,86.0,8.1,M,4
sales_180,Kingdom Hearts II,2005-01-01,Square Enix,Square Enix,PlayStation 2,87.0,9.0,E10+,4
sales_181,Super Mario 3D World,2013-01-01,Nintendo,Nintendo,Wii U,93.0,9.0,E,4
sales_182,Fable II,2008-01-01,Lionhead Studios,Microsoft Game Studios,Xbox 360,89.0,6.5,M,4
sales_183,Namco Museum,2001-01-01,Mass Media,Namco Bandai Games,Game Boy Advance,79.0,7.3,E,4
sales_184,Batman: Arkham Asylum,2009-01-01,Rocksteady Studios,Eidos Interactive,PlayStation 3,91.0,8.9,T,4
sales_185,Metal Gear Solid 3: Snake Eater,2004-01-01,KCEJ,Konami Digital Entertainment,PlayStation 2,91.0,9.3,M,4
sales_186,Assassin's Creed: Revelations,2011-01-01,Ubisoft Montreal,Ubisoft,PlayStation 3,80.0,7.5,M,4
sales_187,Fallout 4,2015-01-01,Bethesda Game Studios,Bethesda Softworks,Xbox One,88.0,6.2,M,4
sales_188,FIFA 14,2013-01-01,EA Canada,Electronic Arts,Xbox 360,84.0,4.2,E,4
sales_189,Daxter,2006-01-01,Ready at Dawn,Sony Computer Entertainment,PlayStation Portable (PSP),85.0,8.7,E10+,4
sales_190,FIFA Soccer 06,2005-01-01,EA Canada,Electronic Arts,PlayStation 2,80.0,7.8,E,4
sales_191,EyeToy Play,2003-01-01,"SCEE, Zoe Mode",Sony Computer Entertainment,PlayStation 2,80.0,7.5,E,4
sales_192,Gran Turismo 5 Prologue,2007-01-01,Polyphony Digital,Sony Computer Entertainment,PlayStation 3,80.0,7.1,E,4
sales_193,Assassin's Creed: Revelations,2011-01-01,Ubisoft Montreal,Ubisoft,Xbox 360,80.0,7.2,M,4
sales_194,Street Fighter IV,2009-01-01,Capcom,Capcom,PlayStation 3,94.0,7.3,T,4
sales_195,Madden NFL 2003,2002-01-01,EA Sports,Electronic Arts,PlayStation 2,95.0,7.7,E,4
sales_196,Half-Life,1997-01-01,Valve Software,Vivendi Games,Windows PC,96.0,9.1,M,4
sales_197,World of Warcraft: The Burning Crusade,2007-01-01,Blizzard Entertainment,Activision,Windows PC,91.0,7.9,T,4
sales_198,Battlefield 1,2016-01-01,EA DICE,Electronic Arts,PlayStation 4,88.0,8.4,M,4
sales_199,God of War II,2007-01-01,SCE Santa Monica,Sony Computer Entertainment,PlayStation 2,93.0,8.9,M,4
sales_200,Fallout: New Vegas,2010-01-01,Obsidian Entertainment,Bethesda Softworks,Xbox 360,84.0,8.1,M,4
sales_201,Forza Motorsport 2,2007-01-01,Turn 10,Microsoft Game Studios,Xbox 360,90.0,8.3,E,4
sales_202,Carnival Games,2007-01-01,Cat Daddy Games,Take-Two Interactive,Wii,56.0,6.0,E,4
sales_203,Watch Dogs,2014-01-01,Ubisoft Montreal,Ubisoft,PlayStation 4,80.0,6.3,M,4
sales_204,Tekken Tag Tournament,2000-01-01,Namco,Namco Bandai Games,PlayStation 2,85.0,8.5,T,4
sales_205,Far Cry 4,2014-01-01,Ubisoft Montreal,Ubisoft,PlayStation 4,85.0,7.7,M,4
sales_206,Namco Museum: 50th Anniversary,2005-01-01,Digital Eclipse,Namco Bandai Games,PlayStation 2,61.0,,E10+,3
sales_207,Left 4 Dead 2,2009-01-01,Valve Software,Electronic Arts,Xbox 360,89.0,8.6,M,3
sales_208,The Witcher 3: Wild Hunt,2015-01-01,CD Projekt Red Studio,Namco Bandai Games,PlayStation 4,92.0,9.2,M,3
sales_209,Assassin's Creed: Unity,2014-01-01,"Ubisoft, Ubisoft Montreal",Ubisoft,PlayStation 4,70.0,4.9,M,3
sales_210,Batman: Arkham Knight,2015-01-01,Rocksteady Studios,Warner Bros. Interactive Entertainment,PlayStation 4,87.0,7.6,M,3
sales_211,The Legend of Zelda: Skyward Sword,2011-01-01,Nintendo,Nintendo,Wii,93.0,8.0,E10+,3
sales_212,Fallout 3,2008-01-01,Bethesda Game Studios,Bethesda Softworks,PlayStation 3,90.0,8.0,M,3
sales_213,Professor Layton and the Diabolical Box,2007-01-01,Level 5,Nintendo,Nintendo DS,84.0,8.8,E10+,3
sales_214,EA Sports Active,2009-01-01,EA Canada,Electronic Arts,Wii,81.0,8.7,E,3
sales_215,Tony Hawk's Underground,2003-01-01,Neversoft Entertainment,Activision,PlayStation 2,90.0,8.7,T,3
sales_216,Monster Hunter 4 Ultimate,2014-01-01,Capcom,Nintendo,Nintendo 3DS,86.0,8.7,T,3
sales_217,The Elder Scrolls V: Skyrim,2011-01-01,Bethesda Game Studios,Bethesda Softworks,Windows PC,94.0,8.1,M,3
sales_218,NBA 2K16,2015-01-01,Visual Concepts,Take-Two Interactive,PlayStation 4,87.0,6.7,E10+,3
sales_219,Tekken 5,2005-01-01,Namco,Namco Bandai Games,PlayStation 2,88.0,8.6,T,3
sales_220,MotorStorm,2006-01-01,Evolution Studios,Sony Computer Entertainment,PlayStation 3,84.0,7.4,T,3
sales_221,World Soccer Winning Eleven 8 International,2004-01-01,KCET,Konami Digital Entertainment,PlayStation 2,91.0,9.1,E,3
sales_222,Sports Champions,2010-01-01,"SCEA, Zindagi Games",Sony Computer Entertainment,PlayStation 3,76.0,7.9,E10+,3
sales_223,Call of Duty: Ghosts,2013-01-01,Infinity Ward,Activision,PlayStation 4,78.0,3.7,M,3
sales_224,Flash Focus: Vision Training in Minutes a Day,2007-01-01,"Nintendo, Namco Bandai Games",Nintendo,Nintendo DS,59.0,4.0,E,3
sales_225,Tom Clancy's The Division,2016-01-01,Massive Entertainment,Ubisoft,PlayStation 4,80.0,7.0,M,3
sales_226,Big Brain Academy: Wii Degree,2007-01-01,Nintendo,Nintendo,Wii,68.0,6.9,E,3
sales_227,LEGO Indiana Jones: The Original Adventures,2008-01-01,Traveller's Tales,Activision,Xbox 360,77.0,7.5,E10+,3
sales_228,The Sims: Unleashed,2002-01-01,Maxis,Electronic Arts,Windows PC,79.0,8.0,T,3
sales_229,Harry Potter and the Sorcerer's Stone,2001-01-01,Argonaut Games,Electronic Arts,PlayStation,64.0,7.5,E,3
sales_230,Super Paper Mario,2007-01-01,Intelligent Systems,Nintendo,Wii,85.0,7.9,E,3
sales_231,Spyro: Year of the Dragon,2000-01-01,Insomniac Games,Sony Computer Entertainment,PlayStation,91.0,8.8,E,3
sales_232,Assassin's Creed IV: Black Flag,2013-01-01,Ubisoft,Ubisoft,PlayStation 3,88.0,8.1,M,3
sales_233,FIFA Soccer 2005,2004-01-01,EA Canada,Electronic Arts,PlayStation 2,81.0,7.6,E,3
sales_234,Tony Hawk's Pro Skater 4,2002-01-01,Neversoft Entertainment,Activision,PlayStation 2,94.0,8.5,T,3
sales_235,MySims,2007-01-01,TOSE,Electronic Arts,Nintendo DS,67.0,7.3,E,3
