id,name,releaseYear,developer,platform,series
dbpedia_23,Hamtaro (video game series),2005-01-01,ImaginEngine,Game Boy Advance,
dbpedia_24,Ultimate Marvel vs. Capcom 3,2011-01-01,Eighting,Windows PC,Marvel vs. Capcom
dbpedia_25,Another World (video game),2018-01-01,Interplay Entertainment,Linux / SteamOS,
dbpedia_26,Bomberman Touch,2009-01-01,Hudson Soft,iOS (iPhone),Bomberman
dbpedia_27,Fatal Fury 3: Road to the Final Victory,1995-01-01,"SIMS Co., Ltd.",,Fatal Fury
dbpedia_28,List of Monster Jam video games,2015-01-01,Rainbow Studios,PlayStation Portable (PSP),Monster Jam
dbpedia_29,Raiden III,2005-01-01,Seibu Kaihatsu,Windows PC,Raiden (series)
dbpedia_30,List of Monster Jam video games,2017-01-01,Ubi Soft Barcelona,Game Boy Advance,Monster Jam
dbpedia_31,Tecmo Stackers,1995-01-01,Tecmo,,
dbpedia_32,Game of Thrones (2014 video game),2015-01-01,Telltale Games,PlayStation 3,
dbpedia_33,Star Wars: Galaxy of Heroes,2015-01-01,EA Mobile,Android,
dbpedia_34,Ecco Jr.,2010-01-01,Appaloosa Interactive,Sega Genesis / Mega Drive,Ecco the Dolphin (series)
dbpedia_35,Xanadu Next,2005-01-01,Nihon Falcom,Windows PC,
dbpedia_36,Pet Pals: Animal Doctor,2008-01-01,Legacy Interactive,Nintendo DS,
dbpedia_37,Looney Tunes Collector: Martian Alert!,2000-01-01,Infogrames,Game Boy Color,
dbpedia_38,Disney Infinity (video game),2013-01-01,Heavy Iron Studios,Wii U,Disney Infinity
dbpedia_39,1942 (video game),1984-01-01,Capcom,PlayStation,
dbpedia_40,SpyHunter,2003-01-01,Sidhe (game developer),Game Boy Advance,
dbpedia_41,Mobile Suit Gundam: Journey to Jaburo,2000-01-01,Bandai,PlayStation 2,
dbpedia_42,Bomberman (1983 video game),1985-01-01,Hudson Soft,Game Boy,Bomberman
dbpedia_43,Redcon (video game),2016-01-01,Hexage,macOS,
dbpedia_44,Virtua Tennis 4,,Sega,PlayStation 3,Virtua Tennis (series)
dbpedia_45,Karous,2006-01-01,Milestone (Japanese developer),Nintendo 3DS,
dbpedia_46,Happy Tree Friends: False Alarm,2008-01-01,Stainless Games,Xbox 360,Happy Tree Friends
dbpedia_47,Star Wars: Battlefront (2004 video game),2005-01-01,Beenox,Windows PC,Star Wars: Battlefront
dbpedia_48,Samurai Shodown (1993 video game),1993-01-01,Japan Home Video,,Samurai Shodown
dbpedia_49,Oxenfree,2016-01-01,Night School Studio,PlayStation 4,
dbpedia_50,Risk (video game),2009-01-01,Runecraft,,
dbpedia_51,NBA Live 96,1995-01-01,Tiertex Design Studios,Game Boy,NBA Live
dbpedia_52,Batman: The Dark Knight (video game),,Pandemic Studios,Xbox 360,Batman
dbpedia_53,List of Monster Jam video games,2014-01-01,Ubi Soft Barcelona,Nintendo GameCube,Monster Jam
dbpedia_54,Shin Onigashima,2014-01-01,Nintendo R&D4,Game Boy Advance,
dbpedia_55,NHL 2002,2001-01-01,PlayStation 2,PlayStation 2,NHL (video game series)
dbpedia_56,Spore Creatures,2008-01-01,Electronic Arts,,
dbpedia_57,Risk (video game),2009-01-01,Runecraft,,
dbpedia_58,Rayman M,2002-01-01,Ubi Soft Milan,PlayStation,Rayman
dbpedia_59,Dragonriders: Chronicles of Pern,2001-01-01,Ubisoft,Sega Dreamcast,Dragonriders of Pern
dbpedia_60,Ant Nation,2009-01-01,"Art Co., Ltd",Wii,
dbpedia_61,Tombs & Treasure,1988-01-01,Compile (publisher),,
dbpedia_62,Armored Core: Last Raven,2005-01-01,FromSoftware,PlayStation Portable (PSP),Armored Core
dbpedia_63,Baldur's Gate: Siege of Dragonspear,2016-01-01,Beamdog,Linux / SteamOS,Baldur's Gate (series)
dbpedia_64,Boku no Natsuyasumi 3,2007-01-01,Millennium Kitchen,PlayStation 3,
dbpedia_65,Crown and Council,2016-01-01,Mojang,macOS,
dbpedia_66,Shoot Many Robots,2012-01-01,Demiurge Studios,Windows PC,
dbpedia_67,Michael Jackson: The Experience,2012-01-01,Ubisoft Montreal,Nintendo DS,
dbpedia_68,NeverDead,2012-01-01,Rebellion Developments,PlayStation 3,
dbpedia_69,Metal Max Xeno,2018-01-01,Cattle Call (company),PlayStation 4,Metal Max (series)
dbpedia_70,List of Monster Jam video games,2002-01-01,Virtuos,Xbox One,Monster Jam
dbpedia_71,Power Drift,1988-01-01,Sega AM2,,
dbpedia_72,Evolution: The World of Sacred Device,1999-01-01,SNK,Sega Dreamcast,
dbpedia_73,SpongeBob SquigglePants,2011-01-01,WayForward,Nintendo 3DS,SpongeBob SquarePants video games
dbpedia_74,Buffy the Vampire Slayer: Chaos Bleeds,2003-01-01,Eurocom Entertainment Software,Nintendo GameCube,
dbpedia_75,Lego Harry Potter: Years 5–7,2011-01-01,TT Fusion,macOS,Lego Harry Potter
dbpedia_76,Mega Man (1987 video game),1987-01-01,Capcom,PlayStation,Mega Man (original series)
dbpedia_77,Oddworld: Stranger's Wrath,2022-01-01,BlackBerry,PlayStation 3,Oddworld
dbpedia_78,Angry Birds Friends,2019-01-01,Rovio Entertainment,Windows PC,Angry Birds
dbpedia_79,Dynasty Warriors: Gundam 2,2008-01-01,Omega Force,PlayStation 2,Mobile Suit Gundam
dbpedia_80,Yoot Tower,1998-01-01,OPeNBooK9003,macOS,
dbpedia_81,Heroes of Dragon Age,2013-01-01,,iOS (iPhone),Dragon Age
dbpedia_82,Oddworld: Stranger's Wrath,2015-01-01,Oddworld Inhabitants,Android,Oddworld
dbpedia_83,Donkey Kong (video game),1983-01-01,Nintendo Research & Development 1,Atari 2600,Donkey Kong
dbpedia_84,The Talos Principle,2017-01-01,Croteam,Windows PC,
dbpedia_85,Jet Set Radio,2012-01-01,BlitWorks,,
dbpedia_86,Dark Summit,2001-01-01,Radical Entertainment,Xbox,
dbpedia_87,Disney's Brother Bear (video game),2003-01-01,KnowWonder Digital Mediaworks,,
dbpedia_88,Shin Megami Tensei II,2002-01-01,Atlus,Game Boy Advance,Megami Tensei
dbpedia_89,Shrek 2 (video game),2004-01-01,Vicarious Visions,Game Boy Advance,
dbpedia_90,Grandia II,2000-01-01,Game Arts,Nintendo Switch,Grandia
dbpedia_91,Super Ninja Boy,1991-01-01,Culture Brain,Super Nintendo (SNES),Super Chinese
dbpedia_92,Silent Scope (video game),2000-01-01,Now Production,iOS (iPhone),Silent Scope
dbpedia_93,Astonishia Story,2005-01-01,Compile Heart,,
dbpedia_94,Assassin's Creed Rogue,2018-01-01,Ubisoft Sofia,PlayStation 3,Assassin's Creed
dbpedia_95,FIFA 11,2010-01-01,Android (operating system),Xbox 360,FIFA (video game series)
dbpedia_96,Hydlide,1984-01-01,T&E Soft,,
dbpedia_97,Digimon Story: Cyber Sleuth – Hacker's Memory,2017-01-01,Media.Vision,Windows PC,List of Digimon video games
dbpedia_98,List of Fire Pro Wrestling games,2002-01-01,Spike (company),Sega Dreamcast,Fire Pro Wrestling
dbpedia_99,Tales of Zestiria,2015-01-01,,PlayStation 4,Tales (video game series)
dbpedia_100,Jet Set Radio,2012-01-01,BlitWorks,Android,
dbpedia_101,Dr. Mario,1990-01-01,Nintendo Research & Development 1,Game Boy Advance,
dbpedia_102,Enclave (video game),2002-01-01,Starbreeze Studios,Xbox,
dbpedia_103,Another World (video game),2011-01-01,Interplay Entertainment,Nintendo 3DS,
dbpedia_104,Mega Man X3,1995-01-01,Minakuchi Engineering,,Mega Man X
dbpedia_105,Street Fighter II: Champion Edition,1992-01-01,Capcom,,Street Fighter
dbpedia_106,Wizardry: Proving Grounds of the Mad Overlord,1999-01-01,Sir-Tech,,Wizardry
dbpedia_107,Diva Starz: Mall Mania,2001-01-01,EA DICE,Game Boy Color,
dbpedia_108,Lego Star Wars II: The Original Trilogy,2006-01-01,Universomo,Nintendo DS,Lego Star Wars (video game series)
dbpedia_109,Oddworld: Stranger's Wrath,2020-01-01,Just Add Water (company),Android,Oddworld
dbpedia_110,List of Fire Pro Wrestling games,1995-01-01,Human Entertainment,PlayStation 2,Fire Pro Wrestling
dbpedia_111,Call of Duty 2: Big Red One,2005-01-01,High Voltage Software,Xbox,Call of Duty
dbpedia_112,College Hoops 2K7,2007-01-01,Visual Concepts,Xbox 360,
dbpedia_113,Another World (video game),2018-01-01,Interplay Entertainment,PlayStation 4,
dbpedia_114,Dream Chronicles: The Book of Air,2010-01-01,,Windows PC,Dream Chronicles (series)
dbpedia_115,Theme Park (video game),1995-01-01,EA Japan,,
dbpedia_116,Faces...tris III,,Spectrum HoloByte,,Tetris
dbpedia_117,De Blob,2008-01-01,BlitWorks,Nintendo Switch,
dbpedia_118,List of Monster Jam video games,2003-01-01,Rainbow Studios,Windows PC,Monster Jam
dbpedia_119,F1 2016 (video game),2016-01-01,Codemasters,PlayStation 4,F1 (video game series)
dbpedia_120,The Walking Dead: Michonne,2016-01-01,Telltale Games,PlayStation 4,The Walking Dead (video game series)
dbpedia_121,Monster Hunter Freedom Unite,2008-01-01,Capcom,iOS (iPhone),Monster Hunter
dbpedia_122,Another World (video game),2014-01-01,Delphine Software International,,
dbpedia_123,Call of Duty: Black Ops,2012-01-01,Treyarch,Wii,Call of Duty
dbpedia_124,Kung Fu Panda: Showdown of Legendary Legends,2015-01-01,Vicious Cycle Software,PlayStation 4,Kung Fu Panda (franchise)
dbpedia_125,World of Warcraft: Battle for Azeroth,2018-01-01,Blizzard Entertainment,Windows PC,Warcraft
dbpedia_126,Gauntlet (1985 video game),1985-01-01,Tengen (company),Nintendo Entertainment System (NES),
dbpedia_127,Surf's Up (video game),2007-01-01,Ubisoft Quebec,Xbox 360,
dbpedia_128,Oddworld: Stranger's Wrath,2015-01-01,IOS,Android,Oddworld
dbpedia_129,Daisenryaku,1991-01-01,SystemSoft Alpha,Windows PC,
dbpedia_130,You Don't Know Jack (Facebook game),2012-01-01,Jackbox Games,Android,You Don't Know Jack (franchise)
dbpedia_131,Full Tilt! Pinball,1995-01-01,Microsoft,macOS,
dbpedia_132,Shinobi (2002 video game),2002-01-01,Overworks,PlayStation 2,Shinobi (series)
dbpedia_133,Kingdom Hearts HD 1.5 Remix,2013-01-01,Square Enix,PlayStation 3,Kingdom Hearts
dbpedia_134,Prison Architect,2015-01-01,Introversion Software,iOS (iPhone),
dbpedia_135,Fate of Hellas,2007-01-01,World Forge,Windows PC,
dbpedia_136,Terraria,2014-01-01,Re-Logic,PlayStation Vita,
dbpedia_137,SteamWorld Heist,2020-01-01,Image & Form,Nintendo Switch,SteamWorld
dbpedia_138,Hardcore 4X4,1996-01-01,Gremlin Interactive,Sega Saturn,
dbpedia_139,Shienryu,1997-01-01,Warashi,PlayStation 2,
dbpedia_140,List of Saiyuki video games,2001-01-01,GungHo Online Entertainment,Windows PC,
dbpedia_141,Lumo (video game),2017-01-01,Just Add Water (company),Linux / SteamOS,
dbpedia_142,Agents of Mayhem,2017-01-01,Volition (company),Windows PC,
dbpedia_143,Baldo: The Guardian Owls,2021-01-01,NAPS team,Windows PC,
dbpedia_144,Cars 2 (video game),2013-01-01,,iOS (iPhone),Cars (franchise)
dbpedia_145,Lemony Snicket's A Series of Unfortunate Events (video game),2004-01-01,Adrenium Games,PlayStation 2,
dbpedia_146,Utawarerumono: Mask of Truth,2016-01-01,Aquaplus,PlayStation Vita,
dbpedia_147,Cloud Master,1988-01-01,Opera House,,
dbpedia_148,Tom Clancy's Ghost Recon: Future Soldier,2012-01-01,Ubisoft Paris,Windows PC,Tom Clancy's Ghost Recon
dbpedia_149,Outlaw Golf,2002-01-01,Hypnotix,Nintendo GameCube,
dbpedia_150,James Bond 007: Nightfire,2004-01-01,Gearbox Software,PlayStation 2,James Bond in video games
dbpedia_151,List of Monster Jam video games,2016-01-01,Team6 Game Studios,Google Stadia,Monster Jam
dbpedia_152,Oddworld: Stranger's Wrath,2011-01-01,BlackBerry,Xbox One,Oddworld
dbpedia_153,Section 8 (video game),2010-01-01,TimeGate Studios,Xbox 360,
dbpedia_154,Judge Dredd (1995 video game),1995-01-01,Acclaim Cheltenham,Windows PC,
dbpedia_155,Brunswick Pro Bowling,2010-01-01,FarSight Studios,PlayStation 2,
dbpedia_156,Worms World Party,2003-01-01,Team17,Game Boy Advance,Worms (series)
dbpedia_157,Centipede (1998 video game),1998-01-01,Mondo Media,,
dbpedia_158,Shrek Forever After (video game),2010-01-01,XPEC Entertainment,Xbox 360,Shrek video games
dbpedia_159,Kingdom Hearts χ,2013-01-01,Square Enix,iOS (iPhone),Kingdom Hearts
dbpedia_160,Mega Man Legacy Collection,2015-01-01,Capcom,PlayStation 4,Mega Man Battle Network
dbpedia_161,Obsidian (1997 video game),1997-01-01,Rocket Science Games,macOS,
dbpedia_162,Pitfall: The Lost Expedition,2006-01-01,Beenox,Game Boy Advance,Pitfall!
dbpedia_163,List of Monster Jam video games,2008-01-01,Ubi Soft Barcelona,PlayStation 4,Monster Jam
dbpedia_164,Temple Run,2011-01-01,Imangi Studios,Android,Temple Run (series)
dbpedia_165,Who Framed Roger Rabbit (1988 video game),1988-01-01,Disney Interactive Studios,,
dbpedia_166,Cabela's Dangerous Hunts 2013,2012-01-01,,Wii U,List of Cabela's video games
dbpedia_167,Trine (video game),2015-01-01,Frozenbyte,Nintendo Switch,
dbpedia_168,WWF Royal Rumble (2000 video game),2000-01-01,Yuke's,Arcade Cabinet,
dbpedia_169,NASCAR 2000,1999-01-01,Software Creations (UK),Windows PC,List of NASCAR video games
dbpedia_170,Micro Commandos,2002-01-01,Monte Cristo (company),Windows PC,
dbpedia_171,Sega Rally Revo,2007-01-01,Bugbear Entertainment,PlayStation 3,
dbpedia_172,Cruis'n Exotica,2000-01-01,Midway Games,Arcade Cabinet,Cruis'n (series)
dbpedia_173,Cabela's Outdoor Adventures (2005 video game),2005-01-01,Fun Labs,Windows PC,
dbpedia_174,Star Wars: Starfighter,2001-01-01,LucasArts,Windows PC,Star Wars
dbpedia_175,Nicktoons Unite!,2006-01-01,Climax Studios,Nintendo GameCube,SpongeBob SquarePants video games
dbpedia_176,Dream Chronicles: The Chosen Child,2011-01-01,,macOS,Dream Chronicles (series)
dbpedia_177,Sonic Jump,2012-01-01,Hardlight,Android,Sonic the Hedgehog (series)
dbpedia_178,The Amazing Spider-Man (2012 video game),2012-01-01,Beenox,PlayStation Vita,Spider-Man in video games
dbpedia_179,Elite (video game),1984-01-01,Ian Bell (programmer),,Elite (video game series)
dbpedia_180,Lemmings (video game),1991-01-01,3DO Interactive Multiplayer,,
dbpedia_181,The Walking Dead: Michonne,2016-01-01,Telltale Games,Android,The Walking Dead (video game series)
dbpedia_182,Worms (1995 video game),1995-01-01,Team17,PlayStation,Worms (series)
dbpedia_183,Sheep (video game),2002-01-01,Capcom,PlayStation,
dbpedia_184,Disney Infinity 2.0,2014-01-01,Avalanche Software,Xbox One,Disney Infinity
dbpedia_185,Star Wars Jedi Knight II: Jedi Outcast,2002-01-01,Aspyr,Nintendo Switch,Star Wars: Jedi Knight (series)
dbpedia_186,Quake (video game),1997-01-01,Id Software,Xbox One,Quake (series)
dbpedia_187,Aggressive Inline (video game),2002-01-01,Z-Axis,Xbox,
dbpedia_188,List of Rock Band track packs,2008-01-01,Pi Studios,PlayStation 2,Rock Band
dbpedia_189,Vigilante 8,1998-01-01,Vicarious Visions,Game Boy Color,
dbpedia_190,Counter-Strike: Global Offensive,2012-01-01,Valve Corporation,Xbox 360,Counter-Strike
dbpedia_191,The Nightmare Before Christmas: Oogie's Revenge,2004-01-01,TOSE,Xbox,
dbpedia_192,Disney's Dinosaur (video game),2000-01-01,Digital Eclipse,PlayStation,
dbpedia_193,List of Fire Pro Wrestling games,2013-01-01,Human Entertainment,,Fire Pro Wrestling
dbpedia_194,Gabriel Knight: Sins of the Fathers,2014-01-01,Sierra On-Line,,Gabriel Knight
dbpedia_195,Putt-Putt Saves the Zoo,2014-01-01,Humongous Entertainment,macOS,
dbpedia_196,Howrse,2014-01-01,Owlient,,
dbpedia_197,Police Quest II: The Vengeance,,Sierra Entertainment,,Police Quest
dbpedia_198,From Russia with Love (video game),2005-01-01,Rebellion Developments,Xbox,James Bond in video games
dbpedia_199,Socket (video game),1993-01-01,Vic Tokai,Sega Genesis / Mega Drive,
dbpedia_200,The Fancy Pants Adventures,2017-01-01,Brad Borne,Windows PC,
dbpedia_201,Hugo (video game),,Interactive Television Entertainment,,Hugo (series)
dbpedia_202,Grey Goo,2015-01-01,Petroglyph Games,Windows PC,
dbpedia_203,Rocksmith 2014,2014-01-01,Ubisoft San Francisco,Xbox One,Rocksmith
dbpedia_204,Yoshi's Cookie,1993-01-01,Blue Planet Software,Game Boy,List of Yoshi video games
dbpedia_205,Rayman Origins,2012-01-01,Ubisoft Montpellier,macOS,Rayman
dbpedia_206,The Walking Dead: Season Two,2014-01-01,Telltale Games,Xbox One,The Walking Dead (video game series)
dbpedia_207,Lego Jurassic World,2016-01-01,TT Fusion,Nintendo Switch,
dbpedia_208,Mat Hoffman's Pro BMX 2,2002-01-01,Rainbow Studios,Nintendo GameCube,
dbpedia_209,Volume (video game),2015-01-01,Mike Bithell,PlayStation 4,
dbpedia_210,Wolfenstein 3D,1994-01-01,Id Software,,Wolfenstein
dbpedia_211,Street Fighter Alpha,1995-01-01,Crawfish Interactive,PlayStation,Street Fighter
dbpedia_212,Divinity: Original Sin II,2017-01-01,Larian Studios,Nintendo Switch,Divinity (series)
dbpedia_213,Barnyard (video game),2006-01-01,Blue Tongue Entertainment,PlayStation 2,
dbpedia_214,Crack Down,1990-01-01,Sega,,
dbpedia_215,Fall Guys,2020-01-01,Mediatonic,PlayStation 5,
dbpedia_216,Marvel: Ultimate Alliance 2,2009-01-01,N-Space,Xbox 360,
dbpedia_217,Record of Lodoss War: Deedlit in Wonder Labyrinth,2021-01-01,,Windows PC,Record of Lodoss War
dbpedia_218,Puzzle Quest: Galactrix,2009-01-01,Infinite Interactive,Nintendo DS,
dbpedia_219,Dragon Ball Z: Budokai 3,2004-01-01,Dimps,PlayStation 2,Dragon Ball
dbpedia_220,Winnie the Pooh's Rumbly Tumbly Adventure,2005-01-01,,Nintendo GameCube,Winnie the Pooh (franchise)
dbpedia_221,Hamtaro (video game series),2004-01-01,ImaginEngine,Nintendo DS,
dbpedia_222,List of Monster Jam video games,2003-01-01,Rainbow Studios,Xbox 360,Monster Jam
dbpedia_223,Formula One 2001 (video game),2001-01-01,Studio 33,PlayStation,Formula One (video game series)
dbpedia_224,Oddworld: Stranger's Wrath,2014-01-01,IOS,Windows PC,Oddworld
dbpedia_225,Toy Story (video game),1996-01-01,Traveller's Tales,Nintendo Entertainment System (NES),Toy Story (franchise)
dbpedia_226,Shrek 2 (video game),2004-01-01,Vicarious Visions,Nintendo GameCube,
dbpedia_227,The Amazing Spider-Man 2 (2014 video game),2014-01-01,Beenox,PlayStation 4,
dbpedia_228,Barnyard (video game),2006-01-01,Halfbrick,Nintendo GameCube,
dbpedia_229,Star Wars: Episode III – Revenge of the Sith (video game),2005-01-01,LucasArts,Xbox,
dbpedia_230,Killing Floor (video game),2009-01-01,Tripwire Interactive,Windows PC,
dbpedia_231,O-Chan no Oekaki Logic,1995-01-01,Sunsoft,,Hebereke (series)
dbpedia_232,TwinBee,2008-01-01,Konami,PlayStation 4,
dbpedia_233,Samurai Shodown IV,1996-01-01,SNK,,Samurai Shodown
dbpedia_234,Lemmings (video game),1993-01-01,Sunsoft,PlayStation,
dbpedia_235,Mortal Kombat 4,1998-01-01,Personal computer,PlayStation,Mortal Kombat
dbpedia_236,Turmoil (2016 video game),2016-01-01,Gamious,Windows PC,
dbpedia_237,Dragon Ball Z: Idainaru Dragon Ball Densetsu,1996-01-01,Bandai Entertainment Company,PlayStation,List of Dragon Ball video games
dbpedia_238,Fallout 3 downloadable content,2009-01-01,Bethesda Game Studios,Xbox 360,Fallout (series)
dbpedia_240,The 7th Guest,1993-01-01,Trilobyte (company),iOS (iPhone),
dbpedia_241,Worms World Party,2005-01-01,The Code Monkeys,Windows PC,Worms (series)
dbpedia_242,Theme Park (video game),1995-01-01,Bullfrog Productions,,
dbpedia_243,Sonic Colors,2021-01-01,Sonic Team,Amazon Luna,Sonic the Hedgehog
dbpedia_244,Wacky Races: Starring Dastardly and Muttley,2000-01-01,Gremlin Interactive,Sega Dreamcast,
dbpedia_245,Bejeweled 2,2010-01-01,PopCap Games,Android,Bejeweled (series)
dbpedia_246,Dead Space: Extraction,2009-01-01,Eurocom,Wii,Dead Space (franchise)
dbpedia_247,Avatar: The Last Airbender (video game),2006-01-01,Halfbrick,Xbox,
dbpedia_248,Toki Tori,2012-01-01,Two Tribes (company),iOS (iPhone),
dbpedia_249,Battle Garegga,2016-01-01,M2 (game developer),Xbox One,
dbpedia_250,Cho Aniki,2000-01-01,X-Nauts,PlayStation 2,
dbpedia_251,NBA Jam (1993 video game),1995-01-01,Iguana Entertainment,Arcade Cabinet,NBA Jam (series)
dbpedia_252,The King of Fighters '95,1995-01-01,,PlayStation,The King of Fighters
dbpedia_253,MageSlayer,1997-01-01,Raven Software,Windows PC,
dbpedia_254,Layers of Fear 2,2021-01-01,Bloober Team,Xbox One,
dbpedia_255,Major League Baseball 2K7,2007-01-01,Kush Games,PlayStation 2,
dbpedia_256,Ultima II: The Revenge of the Enchantress,1982-01-01,Richard Garriott,,Ultima (series)
dbpedia_257,Baseball Stars 2,1992-01-01,M2 (game developer),,Baseball Stars
dbpedia_258,System Shock 2,1999-01-01,Irrational Games,Windows PC,
dbpedia_259,MotoHeroz,2012-01-01,RedLynx,Wii,
dbpedia_260,Prince of Persia: The Two Thrones,2005-01-01,Ubisoft Casablanca,Nintendo GameCube,Prince of Persia
dbpedia_261,The Hitchhiker's Guide to the Galaxy (video game),1984-01-01,Infocom,,
dbpedia_262,Ghouls 'n Ghosts,2017-01-01,Capcom,,Ghosts 'n Goblins
dbpedia_263,Growtopia,2019-01-01,Ubisoft Abu Dhabi,Windows PC,
dbpedia_264,Might & Magic: Clash of Heroes,2011-01-01,Capybara Games,Nintendo DS,Might and Magic
dbpedia_265,Spider-Man: Web of Shadows,2008-01-01,Griptonite Games,PlayStation Portable (PSP),
dbpedia_266,Jet Set Radio,2012-01-01,BlitWorks,Sega Dreamcast,
dbpedia_267,Mortal Kombat: Armageddon,2006-01-01,Midway Games,Xbox,Mortal Kombat
dbpedia_268,Bit.Trip Void,2012-01-01,Choice Provisions,Nintendo Switch,Bit.Trip
dbpedia_269,Jane's ATF: Advanced Tactical Fighters,1997-01-01,Electronic Arts,Windows PC,Jane's Combat Simulations
dbpedia_270,Angry Birds (video game),2009-01-01,Rovio Entertainment,Nintendo 3DS,Angry Birds
dbpedia_271,Rome: Total War,2016-01-01,Creative Assembly,Windows PC,Total War (video game series)
dbpedia_272,The Escapists 2,2017-01-01,Team17,PlayStation 4,
dbpedia_273,Bokosuka Wars,1985-01-01,ASCII (company),,
dbpedia_274,The Mage's Tale,2017-01-01,InXile Entertainment,Oculus Rift,The Bard's Tale
dbpedia_275,Disney's Dinosaur (video game),2000-01-01,Sandbox Studios,Sega Dreamcast,
dbpedia_276,Oddworld: Munch's Oddysee,2001-01-01,PlayStation 3,Windows PC,Oddworld
dbpedia_277,Metro Exodus,2021-01-01,4A Games,PlayStation 4,Metro (franchise)
dbpedia_278,Scribblenauts Unlimited,2018-01-01,5th Cell,Android,Scribblenauts (video game series)
dbpedia_279,The Horde (video game),1997-01-01,Toys for Bob,,
dbpedia_280,Resogun,2014-01-01,Housemarque,PlayStation Vita,
dbpedia_281,Daisenryaku,2006-01-01,Genki (company),Windows PC,
dbpedia_282,Wonder Boy III: The Dragon's Trap,1991-01-01,Westone Bit Entertainment,,Wonder Boy
dbpedia_283,SpyHunter,2003-01-01,Midway Games,Windows PC,
dbpedia_284,Tom Clancy's Rainbow Six: Rogue Spear,1999-01-01,Majesco Entertainment,Sega Dreamcast,Tom Clancy's Rainbow Six
dbpedia_285,Icewind Dale: Enhanced Edition,2014-01-01,Overhaul Games,Windows PC,Icewind Dale (series)
dbpedia_286,Bejeweled Twist,2009-01-01,PopCap Games,,Bejeweled (series)
dbpedia_287,List of Fire Pro Wrestling games,2012-01-01,Spike (company),Game Boy Advance,Fire Pro Wrestling
dbpedia_288,America's Army,2009-01-01,United States Army,Windows PC,
dbpedia_289,Ride to Hell: Retribution,2013-01-01,Eutechnyx,Windows PC,
dbpedia_290,Harry Potter and the Philosopher's Stone (video game),2003-01-01,Xbox (console),PlayStation 2,Harry Potter video games
dbpedia_291,Lemonade Tycoon,2003-01-01,Jamdat,,
dbpedia_292,EA Sports UFC,2015-01-01,SkyBox Labs,PlayStation 4,
dbpedia_293,Oddworld: Stranger's Wrath,2020-01-01,Android (operating system),Xbox,Oddworld
dbpedia_294,Sorcerer (video game),1985-01-01,Infocom,,
dbpedia_295,List of Fire Pro Wrestling games,2001-01-01,Spike Chunsoft,,Fire Pro Wrestling
dbpedia_296,Where the Wild Things Are (video game),2009-01-01,Wii,Xbox 360,
dbpedia_297,Micro Machines (video game),2003-01-01,Eutechnyx,Sega Game Gear,Micro Machines (video game series)
dbpedia_298,Age of Zombies,2010-01-01,Halfbrick Studios,,
dbpedia_299,Driver 76,2007-01-01,Ubisoft Reflections,PlayStation Portable (PSP),Driver (series)
dbpedia_300,Michael Jackson: The Experience,2010-01-01,Ubisoft Milan,Nintendo 3DS,
dbpedia_301,List of Saiyuki video games,2002-01-01,Enix,Windows PC,
dbpedia_302,Gradius II,2007-01-01,Konami,,Gradius
dbpedia_303,GripShift,2005-01-01,Sidhe (game developer),,
dbpedia_304,Mega Man X (video game),2011-01-01,Capcom,Super Nintendo (SNES),Mega Man X
