Attribute_1,Attribute_2,Attribute_3,Attribute_4,Attribute_5,Attribute_6,Attribute_7
mbrainz_22,U.F.Orb,"Orb, The",1992-11-03,United States of America,"['O.O.B.E.', 'U.F.Orb', 'Blue Room', 'Towers of Dub', 'Close Encounters', 'Majestic', 'Sticky End']",
mbrainz_23,Psychic Driving,Feral,2000-03,United States of America,"['Psychic Driving (Wamdue remix)', 'TSK', 'Psychic Driving', 'Borderlands']",
mbrainz_25,Purple Eggs,Subcode,2000-01-01,United States of America,"['Purple Eggs', 'Blunt Figure', 'Blue Sneakers', 'A Machine']",13.75 minutes
mbrainz_26,Spiritual Insurrection Mixes,"Claussell, Joe",2000-01-01,United States of America,"['Spiritual Insurrection (Party version)', 'Spiritual Insurrection (Afro Joe)', 'Je Ka Jo (Wild Horn dub)', 'Spiritual Insurrection (Innerchild)']",
mbrainz_27,The Travellers' Dream (release),Aedena Cycle,1994-01-01,Belgium,"[""The Travellers' Dream"", 'The Dreamshadow', 'Ciguri', 'Pharagonesia']",
mbrainz_30,Ascensionism,"Bone, Richard",2000-08-15,United States of America,"['Waters of Assiyah', 'Sister Samadhi', 'Kavvannah', 'Ariel Dane & The Seraphim Swing', ""Walkin' With the Dharma Bums"", 'Ascensionism', 'Jhana', ""Sultry Sally's Meditation Alley"", 'The Continuing Adventures of Jet Swami', '[untitled]']",
mbrainz_31,Let Go / Deception,Teebee,2000-01-01,United Kingdom of Great Britain and Northern Ireland,"['Let Go', 'Deception']",
mbrainz_32,Up All Night / Take Control,John B,2001-06-25,United Kingdom of Great Britain and Northern Ireland,"['Up All Night', 'Take Control']",
mbrainz_33,Take California and Party,Propellerheads,1999-01-01,United Kingdom of Great Britain and Northern Ireland,"['Take California and Party', 'Take California']",
mbrainz_35,Psyence Fiction,UNKLE,1998-08-24,United Kingdom of Great Britain and Northern Ireland,"['Guns Blazing (Drums of Death, Part 1)', 'UNKLE Main Theme', 'Bloodstain', 'Unreal', 'Lonely Soul', 'Getting Ahead in the Lucrative Field of Artist Management', 'Nursery Rhyme', 'Breather', 'Celestial Annihilation', 'The Knock (Drums of Death, Part 2)', 'Chaos', 'Rabbit in Your Headlights', 'Outro (Mandatory)']",10.62 minutes
mbrainz_37,Beyond the Dance,Rhythim Is Rhythim,1989-01-01,United States of America,"['Beyond the Dance (Cult mix)', 'Beyond the Dance (Bizzarro mix)', 'Sinister (Trolley mix)']",
mbrainz_38,Tribal Liberation,"Duke, DJ",1999-01-01,United States of America,"['Tribal Journey (The Sun mix)', 'Tribal Journey (The Earth mix)', 'Tribal Journey (The Moon Beats)']",
mbrainz_39,Soundtracks for Broken Video Games,S.I.N.E. W.A.V.E.,2000-01-01,United States of America,"['Telecommunication', 'Networking 3401', 'Thought Process', 'Contact', 'Robot']",
mbrainz_40,Simple Things,Bougie Soliterre,2000-01-01,United Kingdom of Great Britain and Northern Ireland,"['Common Thread (main horn mix)', 'Superficial', 'Got the Bug', 'Something (main vocal mix)', 'Besides You (main vocal mix)', 'Magical Moments (Audio Rogue mix)', ""Bougez (Bougie's main horn mix)"", 'Miles Away (People People main mix)']",0.0 minutes
mbrainz_41,In the Painful Quest of Beauty,"Keyprocessor, The",1994-05,Netherlands,"['In the Painful Quest of Beauty', 'Feary Tales', 'Dirt', 'Cabs']",
mbrainz_42,Surrender,Seek,2000-12-05,United States of America,"['Surrender', 'Surrender (Ron Trent remix)', 'Ever After', 'Ever After (Afterlife remix)']",
mbrainz_43,Do It to the Music,Raw Silk,2000-01-01,United States of America,"['Do It to the Music (vocal)', 'Do It to the Music (dub mix)']",
mbrainz_44,Millennium / Future's Live,Big Bud,1996-01-01,United Kingdom of Great Britain and Northern Ireland,"['Millennium', ""Future's Live""]",
mbrainz_45,The Fallen / State of Mind,Corellian,2000-01-01,United Kingdom of Great Britain and Northern Ireland,"['The Fallen', 'State of Mind']",
mbrainz_46,We Are the Future 3,Future 3,1995-01-01,Denmark,"['Future 3', 'Silver M', 'Renaldo', 'B.O.Y.D.', 'Fumble', 'Dawn', 'Bubbles at Dawn', 'D.A.W.N. at 6', '46843516846516']",
mbrainz_47,Beyond the Ozone EP,Aubrey,1998-01-01,United Kingdom of Great Britain and Northern Ireland,"['Ginger Biscuit', 'Blue Lights', 'Beyond the Ozone', 'The Skipper']",
mbrainz_48,Resurrection EP (album),Mampi Swift,2001-04-01,United Kingdom of Great Britain and Northern Ireland,"['Resurrection', 'Jaws 2', 'Illusions', 'Trippin']",0.0 minutes
mbrainz_49,Halcyon Days,"Delta, Mikael",2001-07-01,United Kingdom of Great Britain and Northern Ireland,"['Postcards From You', 'In My Heart', 'Melt', 'Diving', 'Halcyon Days', 'The Dawn', 'Body Feedback', 'The Way You Touch My Soul', 'My Brother Says', 'Time Will Show', ""Love Don't Matter"", 'Milk & Honey', 'Deep Indigo', 'Holy Water']",
mbrainz_50,Cobalt Nightmare Mixes,"Gruber, Arty",1999-01-01,United Kingdom of Great Britain and Northern Ireland,"['Inflatable Hands', 'Stimulus', 'Dutch Funk']",
mbrainz_52,Trippin' on Broken Beats,Omni Trio,1996-01-01,United Kingdom of Great Britain and Northern Ireland,"[""Trippin' on Broken Beats"", 'Soul of Darkness (Promenade 96 Rollout)']",
mbrainz_53,The Future Is on Fire,"Morgenstern, Christian",2000-02-28,Germany,"['The Future Is on Fire, Part 1', 'The Future Is on Fire, Part 2', 'The Future Is on Fire, Part 3', 'The Future Is on Fire, Part 4']",
mbrainz_54,Prevention Beyond Cause,"Ruskin, James",1999-06-04,United Kingdom of Great Britain and Northern Ireland,"['[untitled]', '[untitled]', '[untitled]', '[untitled]', '[untitled]']",
mbrainz_55,Learning,Surgeon,1997-01-01,United Kingdom of Great Britain and Northern Ireland,"['[untitled]', '[untitled]', '[untitled]', '[untitled]']",
mbrainz_56,Minute Details,"Funker, Herman, III",1997-10-31,United Kingdom of Great Britain and Northern Ireland,"['Minute Details', 'Joint Elephant', 'Speaking in Tongues', 'Evidence']",
mbrainz_57,TZ Goes Beyond 10!,Outlander feat.,1992-01-01,Belgium,"['Psycho Tribe', 'Sonic Assault', 'To You', 'Prime Instinct']",
mbrainz_59,Voodoopussy (orig.),Voodooamt,1998-01,Germany,"['Voodoopussy', 'Voodootoon']",
mbrainz_60,Voodoo,"Kruse, Monika @ Voodooamt",1998-03,Germany,"['Voodoo', 'Screwdriver', 'Itchy']",
mbrainz_61,The Contino Sessions,Death in Vegas,1999-09-22,Japan,"['Dirge', 'Soul Auctioneer', 'Death Threat', 'Flying', 'Aisha', 'Lever Street', 'Aladdinâ€™s Story', 'Broken Little Sister', 'Neptune City', ""Luther's Funk"", 'Blood Yawning']",
mbrainz_62,The Call of the Confuciusornis Remixes,Sculpturism,2001-01-01,Netherlands,"['The Call of the Confuciusornis (Freezing in Warschau remix)', ""The Vulcan's Hammer (Stoned in Uden mix)""]",
mbrainz_64,Still Life,Amongst Myselves,2001-06-01,Australia,"[""Ra's Playground"", 'Shepherds of the Rings', 'The Ground Melts', 'Ship of Dreams', 'Safe in Narwang Baru', 'Encounter at the Bay', ""Lowell's Legacy"", 'Darkness', 'Relics of an Early Universe']",
mbrainz_65,Electronic Fragments EP,Skanfrom,2000-01-01,Germany,"['In', 'Fragment', 'Remote', 'Cashier', 'Telepho:n', 'Out']",
mbrainz_66,Trouble / Daylight,Q Project,2001-01-01,United Kingdom of Great Britain and Northern Ireland,"['Trouble', 'Daylight']",
mbrainz_67,Violator,"Varley, Gez",2001-01-01,Germany,"['Violator', 'Violator (S.R.I. remix)', 'Violator (Thomas P. Heckmann remix)', 'Violator (Stewart Walker remix)']",
mbrainz_68,Quiet Is the New Loud,"Remote Viewer, The",2000-01-01,United Kingdom of Great Britain and Northern Ireland,"['How Did We Get It So Wrong?', 'A Lot of Ifs (Inzamam)', 'Press It On', 'Quiet Is the New Loud', 'Does It Take Turn', 'Slowly, in Waves']",
mbrainz_69,To Let Go,"Romanenko, Mikael",2001-07-16,United Kingdom of Great Britain and Northern Ireland,"['La Belle Femme (mix 2)', 'Diary', 'Composition Five', 'Composition One', 'Guralat', 'Wrong']",
mbrainz_70,Spirit (album),"Williams, Cunnie",2001-01-01,Germany,"['Spirit (MAW mix)', ""Barry's Mood (Ferry's Mood mix)""]",
mbrainz_71,Surrender Now,Progression,2000-01,United States of America,"['Surrender Now', 'Tribal Dub', 'Drums of Life']",
mbrainz_72,Spaces,"Ruoho, Esa",2001-06-26,Belgium,"['Pond Assemblage', 'Med Test', 'Space']",
mbrainz_73,Yesterday Was Dramatic - Today Is OK,mÃºm,2007-09-21,Japan,"['Iâ€™m 9 Today', 'Smell Memory', 'There Is a Number of Small Things', 'Random Summer', 'Asleep on a Train', 'Awake on a Train', 'The Ballad of the Broken Birdie Records', 'The Ballad of the Broken String', 'Sunday Night Just Keeps on Rolling', 'Slow Bicycle']",
mbrainz_74,To the Music,Mojolators,2000-01-01,United States of America,"['To the Music', 'Drifting']",
mbrainz_75,After the Dance EP,"Greene, Greg",1999-01-01,United Kingdom of Great Britain and Northern Ireland,"['After the Dance (Pagan edit)', 'After the Dance (Rob Mello remix)']",
mbrainz_76,Enchanting Signs,Beanfield,1999-01-01,Germany,"[""Enchanting Signs (Beanfield's extended mix)"", 'Corso', 'Enchanting Signs (Off World remix)', 'Enchanting Signs (vocal version)']",
mbrainz_77,Momentum / Immersion,Deep Blue,2001-01-01,United Kingdom of Great Britain and Northern Ireland,"['Momentum', 'Immersion']",
mbrainz_78,Joyride,"Diamond, Benjamin",2000-01-01,France,"['Joyride', 'Joyride (dub)']",
mbrainz_79,On the Dancefloor EP,"Griffin, Willie",2001-07,United Kingdom of Great Britain and Northern Ireland,"['On the Dancefloor', 'Classic Fingers', 'Mystical Journey']",
mbrainz_80,The Low Empire,Mainline Crux,2001-01-01,United Kingdom of Great Britain and Northern Ireland,"['Modern Days', 'Shutter the Fog', 'Horizon', 'The Maze', 'Lowdown', 'La Only', 'Ask the Judge', 'Bad Blood', 'Automatic Operator', 'Sparkle On', 'Burning Room', 'The Fade', ""Liar's Rain"", 'Exit Ramp']",
mbrainz_81,I Can't (Fall in Love With Another One),Dub Taylor,2000-10,Germany,"[""I Can't (Fall in Love With Another One)"", 'Saturday Morning', 'Lush']",
mbrainz_82,Classics 2,Ten City,2001-01-01,United States of America,"[""That's the Way Love Is"", 'Deep Kiss', 'Devotion']",
mbrainz_83,Replicant EP (album),Pacou,2001-01-01,Netherlands,"['Bond Energy', 'ATP', 'Robot M', 'Controlling Atoms']",
mbrainz_85,Shelter EP,Beat Foundation,1996-01-01,United Kingdom of Great Britain and Northern Ireland,"['Give Me Shelter (Velvet mix)', 'Give Me Shelter (Rawhide mix)', 'Rain or Shine', 'Wedded Blysse', 'Seven Steps']",0.0 minutes
mbrainz_86,Health Warning,trance[]control feat.,2000-01-01,United States of America,"['Psychotic Chaos', 'Welcome to the House']",
mbrainz_87,Electronic Illusions,"Tomasone, Chris",2000-01-01,United States of America,"['Its Getting Closer', 'Furious Loops', 'Anythings Possible']",
mbrainz_88,Final Warning / Connections,Kraken,1997-01-01,United Kingdom of Great Britain and Northern Ireland,"['Final Warning', 'Connections']",
mbrainz_89,Angel Dust / Nerve,Cause 4 Concern,2000-06-21,United Kingdom of Great Britain and Northern Ireland,"['Angel Dust', 'Nerve']",
mbrainz_90,Broken Promise / Pulse Code,Simon V,1998-08-01,Germany,"['Broken Promise', 'Pulse Code']",
mbrainz_91,Haze / Contrast,PHD,1999-01-01,United Kingdom of Great Britain and Northern Ireland,"['Haze', 'Contrast']",
mbrainz_92,Classics 1,Ten City,2001-01-01,United States of America,"['Only Time Will Tell', 'All Loved Out', 'Suspicious']",
mbrainz_93,Stormfields / Spiritual Awareness,"Invisible Man, The",1997-01-01,United Kingdom of Great Britain and Northern Ireland,"['Stormfields', 'Spiritual Awareness']",
mbrainz_94,Fairlight / Desert Traveller,Artemis,1999-01-01,United Kingdom of Great Britain and Northern Ireland,"['Fairlight', 'Desert Traveller']",
mbrainz_95,Absolution E.P.,G-Force,2000-01-01,Belgium,"['Action', 'Feeling', 'Feeling (Gaetano Parisio remix)', 'Action (Samuel L. remix)']",
mbrainz_96,Life in the Savage Garden E.P. (album),"Curtin, Dan",1997-01-01,United Kingdom of Great Britain and Northern Ireland,"['Maintain', 'Fade', 'At You', 'Running']",
mbrainz_97,The Butterfly EP,"Nazuka, Chris",1999-01-01,United States of America,"['Pick Your Poison', 'Pick Your Poison (Internal mix)', 'Shadowboxing', 'Blue', '4 A.M']",0.0 minutes
mbrainz_98,Contra EP,Umek,2000-01-01,Switzerland,"['Voltaren', 'Soludeks', 'Tetrakain', 'Felinon']",
mbrainz_99,Butterfly Catcher,Fauna Flash,1995-01-01,Germany,"['Butterfly Catcher', 'Journey Into Scoose', 'Lunatic Jam', 'Butterfly Catcher (In the Ozone)']",
mbrainz_100,Brave New World,"Riley, Bill",2000-01-01,United Kingdom of Great Britain and Northern Ireland,"['Brave New World', 'Plan B']",
mbrainz_102,Soul Experience,Soul Experience,2004-01-22,United States of America,"['Listen to Me', ""I Can't Stand Up""]",
mbrainz_103,Purple EP,"Assault, DJ",2003-01-01,United States of America,"['Dia Daa Daa (remix)', 'Sex on the Beach', 'Funky Bitch', 'Funky Bitch (instrumental)']",
mbrainz_104,Diagnosis / Accelerate,Felony,2001-01-01,United Kingdom of Great Britain and Northern Ireland,"['Diagnosis', 'Accelerate']",
mbrainz_106,Mono in Chrome,"Stoll, Steve",1998-01-01,United States of America,"['[untitled]', '[untitled]', '[untitled]', '[untitled]']",
mbrainz_107,Electronic Radiation E.P.,G-Force,1999-11-02,United Kingdom of Great Britain and Northern Ireland,"['Look at the Curve!', 'Special AJ', 'Terminate the Source!', 'It Burns']",
mbrainz_108,Feel the Drums,Native,2000-01-27,United Kingdom of Great Britain and Northern Ireland,"['Feel the Drums (original mix)', 'Feel the Drums (Tough mix)', 'Feel the Drums (Public Domain mix)']",
mbrainz_110,Supernatural (You're So),"Stoll, Steve",1999-09-01,United States of America,"[""Supernatural (You're So) (Brooklyn Bridge mix)"", ""Supernatural (You're So) (album version)"", 'Chutes and Ladders', ""Supernatural (You're So) (Dusty Loop edit)""]",
mbrainz_111,Fruits of the Spirit,"Williams, Boo",1999-07-31,United States of America,"['Fruits of the Spirit', 'Hiding Secrets', 'Crying Black Man', 'Changes']",
mbrainz_112,Visions Of The Future,"Farris, Gene",2008-04,United States of America,"['Visions Of The Future (Roy Davis Jr. Remix)', 'Visions Of The Future (Fabio Bacchini Dub Mix)', 'Visions Of The Future (Original Mix)']",
mbrainz_113,Musicology EP,"Marks, Niko",1999-01-01,Belgium,"['Feel My Groove', 'Musicology', 'Musicology (Jazz mix)', 'My Music']",
mbrainz_114,Deep Experience EP,"Miller, Alton",2000-11-13,United States of America,"['Sonic System', ""No Stoppin'"", 'Deep Experience', 'Line 2']",
mbrainz_115,Requiem pour un Empire,Autopsia,1991-01-01,Germany,"['Intro 1982', 'Lebensherrgabe 1983 - 1991', 'Zinnia 1982']",
mbrainz_116,Tidal Frequencies,Norken,1998-01-01,United Kingdom of Great Britain and Northern Ireland,"['Just a Phase', 'Instamatic', 'Motor Breeze', 'Fragile']",
mbrainz_117,Blackout / Dogfight (album),Dylan,1998-11-16,United Kingdom of Great Britain and Northern Ireland,"['Blackout', 'Dogfight']",
mbrainz_118,Inside Straight / Troublefunk,EinzelgÃ¤nger,1998-07-06,Germany,"['Inside Straight', 'Troublefunk']",
mbrainz_119,Mother Earth,Dubtribe Sound System,1993-01-01,United States of America,"['Mother Earth', 'Mother Earth (remix)', ""Mother Earth (Sunshine's remix) (feat. DJ Collage)"", 'Memory (edit)']",
mbrainz_120,Sensitive Electronic Devices,Electrostatic,1997-01-01,United States of America,"['Eternity', 'Someday', 'Magnetic Pulse (instrumental)', 'Reflection', 'Swallowtail', 'Stain', 'Inside You', 'Feel']",
mbrainz_122,Primitive,Rubec,2001-10-22,United Kingdom of Great Britain and Northern Ireland,"['Primitive', 'Primitive (Wardance mix)']",
mbrainz_123,Purple Zone EP,Access 58,1999-02-22,United Kingdom of Great Britain and Northern Ireland,"['Kiribati 2000', 'Propulse', 'Sweet Back', 'Abstract Funk']",
mbrainz_124,Millions Now Living Will Never Die,Tortoise,1996-01-01,Germany,"['Djed', 'Glass Museum', 'A Survey', 'The Taut and Tame', 'Dear Grandma and Grandpa', 'Along the Banks of Rivers']",
mbrainz_127,Un Dia Soleado / Only Dubbin' on My 808,Jeremiah,2000-09-11,Austria,"['Un Dia Soleado', ""Only Dubbin' on My 808""]",
mbrainz_128,The Spirit Is Justified,Ritmo de Vida,1996-07-29,United Kingdom of Great Britain and Northern Ireland,"['The Spirit Is Justified (Tranceformation mix)', 'The Spirit Is Justified (Aquatic mix)', ""The Spirit Is Justified (Phoenix's Deep Space mix)"", 'The Spirit Is Justified (Outdares Full Throttle mix)', 'The Spirit Is Justified (Outdares intro Epilogue)', 'The Spirit Is Justified (Tantra dub)', ""The Spirit Is Justified (Lee Frederick's Restrained dub)""]",24.07 minutes
mbrainz_129,Too Dark Park EP,Headroom,1999-07-19,United Kingdom of Great Britain and Northern Ireland,"['Tuker', 'Cope', 'Top']",
mbrainz_130,Fallen,One Dove,1991-10-01,United Kingdom of Great Britain and Northern Ireland,"['Fallen (Darkest Hour)', 'Fallen (Dawn)', 'Fallen (Dusk)']",
mbrainz_131,Resurrection EP,"Verbos, Mark",2001-08-20,United States of America,"['[untitled]', '[untitled]', '[untitled]', '[untitled]']",
mbrainz_132,Jupiter Sunrise,"Deason, Sean",1996-09-02,Germany,"['Jupiter Sunrise', 'Inside Out', 'Razorback', 'Vibe']",
mbrainz_134,Small Craft Warnings Remixes (orig.),"Gordon, Alex",2001-01-01,United States of America,"['Small Craft Warnings (John Tejada remix)', 'Small Craft Warnings (Alex Gordon/Low Fi remix)', 'Small Craft Warnings (Justin Warfield remix)', 'Small Craft Warnings (Alex Gordon Land mix)']",
mbrainz_135,Colors,Future Prophecies,2001-10-01,United Kingdom of Great Britain and Northern Ireland,"['Colors', 'Colors (dub)']",
mbrainz_136,Man Out of Time EP,G.O.L.,2000-01-01,United States of America,"['Free Man', 'Leisure', 'Changing Time', 'Centered']",
mbrainz_137,Danger Room / Lost Souls,"Fitzpatrick, Lester",1997-10,United Kingdom of Great Britain and Northern Ireland,"['Danger Room', 'Lost Souls']",
mbrainz_139,The Continuation,"Architex, The",1996-01-01,United Kingdom of Great Britain and Northern Ireland,"['Somewhere', 'Secrets']",
mbrainz_140,Hyper Experience / Strobe Light Network,Cold,1996-01-01,Belgium,"['Hyper Experience', 'Hyper Experience (Hyper dub mix)', 'Strobe Light Network']",
mbrainz_141,It's the Music,Meat Beat Manifesto,1996-01-01,United Kingdom of Great Britain and Northern Ireland,"[""It's the Music"", ""It's Just the Music"", 'I Control (Audio Collage #2)', 'Asbestos Lead Asbestos (Plug mix)']",
mbrainz_142,Chrome Feather Future,Reptilica,1999-10-01,United States of America,"['Eyeball Room', 'Animal Model', 'Camiante', 'Queen of Luxury', 'Japanese Vein Device', 'The Rope Leads Down', 'Autobot', 'Drive to MN', 'Flight 0.8', 'Deep Sea Friends', 'Defuse the Dragon', 'Beyond the Herd']",
mbrainz_143,Fallen (remix) / Bad Dreams,Matrix,2001-01-01,United Kingdom of Great Britain and Northern Ireland,"['Fallen (remix)', 'Bad Dreams']",
mbrainz_144,Struggle Gentlemen,S-Club feat.,1998-01-01,Germany,"['Gentlemen Need Struggle', 'Gentlemen Need Deeper']",
mbrainz_145,United Future Organization,United Future Organization,1993-01-01,United Kingdom of Great Britain and Northern Ireland,"['The Sixth Sense', 'On Est Ensemble Sans Se Parler', 'Vinyl Junkie', 'Upa Neguinho', ""I'll Bet You Thought I'd Never Find You"", 'Poetry and All That Jazz', 'Be Here Now', 'My Foolish Dream', 'Off Road']",
mbrainz_147,Disco Damnation,Wicked,1996-12-09,Netherlands,"['Disco Damnation (remix)', 'Disco Damnation (original)', 'Work It']",
mbrainz_148,Party Time / Brave New World,G Squad,2001-01-01,United Kingdom of Great Britain and Northern Ireland,"['Party Time', 'Brave New World']",
mbrainz_149,Saturday Night Experience,"Watley, Jody",2001-01-01,United States of America,"['Saturday Night Experience (Shelter vocal)', 'Saturday Night Experience (original)', 'Saturday Night Experience (Ron Trent vocal)', 'Saturday Night Experience (Shelter dub)']",
mbrainz_150,Twin Peaks Theme,Minimalistix,2001-01-01,Belgium,"['Firewalkers (Filterheadz remix)', 'Twin Peaks Theme: ""Falling"" (DJ Garry vs. FTW remix)', 'Twin Peaks Theme: ""Falling"" (Brian Koner club mix)', 'Twin Peaks Theme: ""Falling"" (DJ Gert Tribal Trance mix)']",
mbrainz_151,Face the Future EP,Speedy J,1992-01-01,Netherlands,"['Evolution', 'Destroit', 'Analogical', 'Pullover']",
mbrainz_153,Butterfly,Mondo Grosso,2000-01-01,France,"['Butterfly (original)', 'Butterfly (Francois K Jazzy Vibe mix)', 'Butterfly (Sleepy Tongue Love mix)', 'Butterfly (instrumental)']",
mbrainz_154,Sunrise,Dave,2001-01-01,Germany,"['Sunrise', 'Pole Position', 'Tower Power']",
mbrainz_155,The Future,"Lissat, Jens",1994-01-01,Germany,"['The Future', 'Bulga', 'New Float']",
mbrainz_159,The Traveller,"Bartz, Richard",1998-11,Germany,"['The Traveller 1', 'The Traveller 2', 'The Traveller 3', 'The Traveller 4']",
mbrainz_160,Drukqs 2 Track Promo,Aphex Twin,2001-08-01,United Kingdom of Great Britain and Northern Ireland,"['54 Cymru Beats (Argonaut mix)', 'Cock 10 (Delco Freedom mix)']",
mbrainz_162,Spiritual Aura,"Rap, DJ",2001-11-12,United Kingdom of Great Britain and Northern Ireland,"['Spiritual Aura (Danny C remix)', 'Spiritual Aura (Freestylers remix)']",
mbrainz_163,Young American Primitive,Young American Primitive,1993-01,United States of America,"['Intro', 'Trance Formation', 'Flux', 'Young American Primitive', 'Ritual', 'Sunrise', 'Daydream', 'Over and Out', 'These Waves', 'Monolith Part One', 'Monolith Part Two']",
mbrainz_164,No Texture / Not For Outsiders,Paradox,1999-01-01,United Kingdom of Great Britain and Northern Ireland,"['No Texture', 'Not For Outsiders']",
mbrainz_166,Belong (release),LoSoul,2000-09,Germany,"['Taste Not Waste', 'Late Play', 'Resisting Curare', 'Sunbeams and the Rain', 'Position', 'You Can Do', 'Trust', 'Overland', 'Lies', 'Remember You History', 'Depth Control']",
mbrainz_168,Don't Stop the Rock: The Millennium Mixes,Freestyle,1999-01-01,United States of America,"[""Don't Stop the Rock (Drop the Boom)"", ""Don't Stop the Rock"", ""It's Automatic"", ""Don't Stop the Rock (Toxik Twins Chemlab Meltdown mix)"", 'In Your Face', ""Don't Stop the Rock"", ""Jam the Box '99"", 'Count Me In', ""Don't Stop the Rock"", 'Jam the Box, Fix It in the Mix', 'Don\'t Stop the Rock (The original 12"")', ""Don't Stop the Rock (original album version)""]",
mbrainz_169,From Beyond EP,"Cole, Dean",2001-01-01,United Kingdom of Great Britain and Northern Ireland,"[""Physics (Karl O'Connor rework)"", 'Physics', 'Dancefloor']",
mbrainz_171,Out of Nowhere,"Tenor, Jimi",2000-07-17,United Kingdom of Great Britain and Northern Ireland,"['Out of Nowhere', 'Hypnotic Drugstore', 'Paint the Stars', 'Pylon', 'Blood on Borscht', 'Backbone of Night', 'Spell', 'Better Than Ever', 'Night in Loimaa', 'Call of the Wild']",
mbrainz_172,Travellers Of The Mind / Syskwahor,Enzyme X,2002-01,Netherlands,"['Travellers Of The Mind', 'Syskwahor']",
mbrainz_173,You See the Trouble With Me,Black Legend,2000-07-10,Germany,"[""You See the Trouble With Me (We'll Be in Trouble radio edit)"", 'You See the Trouble With Me (Sharam Jey remix)', 'You See the Trouble With Me (original radio edit)', 'Across the Ocean (album version)']",
mbrainz_174,Beautiful Electronic Music,Benge,1996-02,United Kingdom of Great Britain and Northern Ireland,"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven', 'Eight']",
