id,name,artist,tracks,duration
lastFM_55,In The Painful Quest Of Beauty,The Keyprocessor,"['In The Painful Quest Of Beauty', 'Dirt', 'Cabs']",1188.0
lastFM_59,Millennium / Future's Live,Big Bud,"['Millennium', ""Future's Live""]",909.0
lastFM_62,We are the Future 3,Future 3,"['Future 3', 'Silver M', 'Renaldo', 'B o y d', 'Fumble', 'Dawn', 'Bubbles at dawn', 'D.A.W.N. at 6', '46843516846516']",4092.0
lastFM_65,Beyond the Ozone EP,Aubrey,"['Ginger Biscuit', 'Beyond the Ozone', 'The Skipper']",175.0
lastFM_67,Mikael D. -  Halcyon Days,Mikael D.,"['Postcards from You', 'In My Heart', 'Melt', 'Diving', 'Halcyon Days', 'The Dawn', 'Body Feedback', 'The Way You Touch My Soul', 'My Brother Says', 'Time Will Show', ""Love Don't Matter"", 'Milk & Honey', 'Deep Indigo', 'Holy Water']",4223.0
lastFM_68,Nightmare Mixes,A. Gruber,"['Inflatable Hands', 'Stimulus', 'Dutch Funk']",380.0
lastFM_72,The Future Is  Fire,C. Morgenstern,,
lastFM_73,*popular* Prevention Beyond Cause,J. Ruskin,"['[untitled]', '[untitled]', '[untitled]', '[untitled]']",1260.0
lastFM_79,Voodooamt -  Voodoopussy,Voodooamt,"['Voodoopussy', 'Voodootoon']",789.0
lastFM_80,Voodoo,Monika Kruse @. Voodooamt,"['Voodoo', 'Screwdriver', 'itchy']",1072.0
lastFM_81,The Contino Sessions,Death in Vegas,"['Dirge', 'Soul Auctioneer', 'Death Threat', 'Aisha', 'Broken Little Sister', 'Neptune City (Andrew Weatherall Mix)', ""Luther's Funk"", 'Blood Yawning', 'Dirge - Album Version', 'Neptune City - Andrew Weatherall Mix']",2815.0
lastFM_82,The Call Of  Confuciusornis Remixes,Sculpturism,The Vulcan's Hammer (Stoned In Uden Mix),518.0
lastFM_84,Still,Amongst Myselves,"[""Ra's Playground"", 'Shepherds of the Rings', 'The Ground Melts', 'Ship of Dreams', 'Safe in Narwang Baru', 'Encounter at the Bay', ""Lowell's Legacy"", 'Darkness', 'Relics of an Early Universe']",3674.0
lastFM_87,Electronic Fragments EP,Skanfrom,"['in', 'Fragment', 'Remote', 'Cashier', 'Telepho:n', 'out']",586.0
lastFM_88,Trouble / Daylight,Q Project,"['Trouble', 'Daylight']",381.0
lastFM_90,Quiet Is the New Loud,T. Remote Viewer,"['How Did We Get It So Wrong?', 'A Lot of Ifs (Inzamam)', 'Press It On', 'Quiet Is the New Loud', 'Does It Take Turn', 'Slowly, in Waves']",0.0
lastFM_91,To Let Go,M. Romanenko,"['La Belle Femme Mix 2', 'Diary', 'composition five', 'composition one', 'Gurulat', 'Lust / Wrong']",1835.0
lastFM_93,Surrender Now,Progression,"['Surrender Now', 'Tribal Dub', 'Drums Of Life']",208.0
lastFM_94,Spaces,E. Ruoho,"['Departure', 'Pond Assemblage', 'Birthday Scrutiny', 'Space', 'Compensator']",2176.0
lastFM_98,To the Music,Mojolators,"['To the Music', 'Drifting']",505.0
lastFM_101,Momentum / Immersion,Deep Blue,"['Momentum', 'Immersion']",893.0
lastFM_102,Joyride,Benjamin D.,"['Joyride', 'Joyride (Dub)']",624.0
lastFM_103,Hidden Agenda,DJ Q,,
lastFM_104,*popular* On the Dancefloor EP,W. Griffin,"['On the Dancefloor', 'Classic Fingers', 'Mystical Journey']",90.0
lastFM_106,[explicit] The Low Empire,Mainline Crux,"['Modern Days', 'Shutter the Fog', 'Horizon', 'The Maze', 'Lowdown', 'La Only', 'Ask the Judge', 'Bad Blood', 'Automatic Operator', 'Sparkle On', 'Burning Room', 'The Fade', ""Liar's Rain"", 'Exit Ramp']",420.0
lastFM_108,Classics,Ten City,"[""That's the Way Love Is"", 'Deep Kiss', 'Devotion']",934.0
lastFM_109,Replicant,Pacou,"['ATP', 'Robot M', 'Controlling atoms']",732.0
lastFM_111,Shelter,B. Foundation,"['Give Me Shelter (Velvet Mix)', 'Give Me Shelter (Rawhide Mix)', 'Rain Or Shine', 'Wedded Blysse', 'Seven Steps']",1600.0
lastFM_113,*popular* Health Warning,Trance[]control,"['Psychotic Chaos', 'Welcome to the House']",649.0
lastFM_114,- new - Electronic Illusions,Chris Tomasone,"['Its Getting Closer', 'Anythings Possible']",386.0
lastFM_117,Nightmare Walking,Future Prophecies,,
lastFM_119,Broken Promise / Pulse Code,Simon V.,"['Broken Promise', 'Pulse Code']",860.0
lastFM_120,Haze / Contrast,PHD,haze,565.0
lastFM_122,Classics 1,T. City,"['Only Time Will Tell', 'All Loved Out', 'Suspicious']",1124.0
lastFM_124,Fairlight / Desert Traveller,Artemis,"['Fairlight', 'desert traveller']",894.0
lastFM_128,Dan Curtin -  Life In The Savage Garden E.P.,Dan Curtin,"['Maintain', 'Fade', 'At you', 'Running']",1247.0
lastFM_129,The Butterfly,Chris Nazuka,"['Pick Your Poison', 'Pick Your Poison (Internal Mix)', 'Shadowboxing', 'Blue', '4 A.M']",2072.0
lastFM_131,Butterfly,F. Flash,"['Butterfly Catcher', 'Journey Into Scoose', 'Lunatic Jam', 'Butterfly Catcher (In The Ozone)']",1476.0
lastFM_134,S. Experience -  soul experience,S. Experience,I Can't Stand Up,30.0
lastFM_135,Album: On the North Star with Gemini,Gemini,"['Snow Drop', 'Day Dreaming', 'A Blue Night', 'X']",1651.0
lastFM_137,Purple EP,DJ Assault,"['Dia Daa Daa (Remix)', 'Sex On The Beach', 'Funky Bitch', 'funky bitch (instrumental)']",790.0
lastFM_140,S. Stoll -  Mono In Chrome,S. Stoll,"['[untitled]', '[untitled]', '[untitled]', '[untitled]']",904.0
lastFM_142,Feel The Drums,Native,"['Feel The Drums (Original Mix)', 'Feel the Drums (Tough mix)', 'Feel the drums (public domain mix)']",865.0
lastFM_144,Fallen Funk Files,Samuel L Session,,
lastFM_146,Fruits Of The Spirit,B. Williams,"['Fruits Of The Spirit', 'Hiding Secrets', 'Crying Black Man', 'Changes']",1674.0
lastFM_148,Musicology,Niko Marks,"['Feel My Groove', 'Musicology', 'Musicology (Jazz mix)', 'My Music']",412.0
lastFM_152,Tidal Frequencies,Norken,"['Just A Phase', 'Instamatic', 'Motor Breeze']",713.0
lastFM_154,Inside Straight / Troublefunk,EinzelgÃƒÂ¤nger,Inside Straight,389.0
lastFM_155,Dubtribe Sound System -  Mother Earth,Dubtribe Sound System,"['Mother Earth', 'mother earth (remix)', ""Mother Earth (Sunshine's remix) (feat. DJ Collage)"", 'Memory (Edit)']",1444.0
lastFM_156,Sensitive Electronic,Electrostatic,"['Someday', 'Magnetic Pulse (instrumental)', 'Reflection', 'Swallowtail', 'Stain', 'Inside You', 'Feel']",1896.0
lastFM_164,Un Dia Soleado / Only Dubbin' On My 808,Jeremiah,"['Un Dia Soleado', ""Only Dubbin' On My 808""]",353.0
lastFM_167,when i'm with you,G. Levin,"[""When I'm With You (original version)"", ""When I'm With You (Jimpster's dub mix)"", ""When I'm With You (Jimpster's Vocal Mix)"", 'keep on making me high']",1588.0
lastFM_168,Headroom -  Too Dark Park EP,Headroom,"['Tuker', 'Cope', 'top']",840.0
lastFM_170,Resurrection EP,Mark Verbos,"['[untitled]', '[untitled]', '[untitled]', '[untitled]']",120.0
lastFM_171,Spiritual Aura (Remixes),D. Rap,,
lastFM_172,Jupiter,S. Deason,"['Jupiter Sunrise', 'Inside Out', 'Razorback', 'Vibe']",1576.0
lastFM_176,Alex Gordon -  Small Craft Warnings Remixes,Alex Gordon,"['Small Craft Warnings (John Tejada remix)', 'Small Craft Warnings (Alex Gordon/Low Fi remix)', 'Small Craft Warnings (Justin Warfield remix)', 'Small Craft Warnings (Alex Gordon Land mix)']",120.0
lastFM_177,Colors,Future Prophecies,"['Colors', 'Colors (Dub)']",888.0
lastFM_179,Danger Room /  Souls,L. Fitzpatrick,"['Danger Room', 'Lost Souls']",776.0
lastFM_186,Hyper Experience / Strobe  Network,Cold,"['Hyper Experience', 'Hyper Experience (Hyper dub mix)', 'Strobe Light Network']",1691.0
lastFM_189,Chrome Feather,Reptilica,"['Eyeball Room', 'Animal Model', 'Caminante', 'Queen of Luxury', 'Japanese Vein Device', 'The Rope Leads Down', 'Autobot', 'Drive to MN', 'Flight 0.8', 'Deep Sea Friends', 'Defuse The Dragon', 'Beyond The Herd']",2129.0
lastFM_191,[explicit] Struggle Gentlemen,S-Club,"['Gentlemen Need Struggle', 'Gentlemen Need Deeper']",835.0
lastFM_193,Bubblebath,Aphex Twin,"['isopropophlex', 'Entrance To Exit', 'AfX 2 - AFX']",498.0
lastFM_198,Damnation,Wicked,"['disco damnation (remix)', 'Disco Damnation (original)', 'Work It']",1148.0
lastFM_200,Saturday Night Experience,J. Watley,"['Saturday Night Experience (Shelter Vocal)', 'Saturday Night Experience (Original)', 'Saturday Night Experience (Ron Trent Vocal)', 'Saturday Night Experience (Shelter Dub)']",1204.0
lastFM_201,Twin Peaks theme,Minimalistix,"['Firewalkers (Filterheadz remix)', 'Twin Peaks Theme (DJ Garry vs FTW remix)', 'twin peaks theme (brian koner club mix)', 'Twin Peaks Theme (DJ Gert Tribal Trance MIx)']",1623.0
lastFM_202,the Future EP,Speedy J,"['Evolution', 'Destroit', 'Analogical', 'Pull Over']",1268.0
lastFM_206,Sunrise,Dave,"['Sunrise', 'Pole Position', 'tower power']",1043.0
lastFM_208,Album: The Future,J. Lissat,"['The Future', 'Bulga', 'New Float']",1191.0
lastFM_214,The Darkness,Hemisphere,,
lastFM_215,Ice. Stratosphere,Monolake,,
lastFM_221,Purple Twilight / Musical Rush,N. Sentience,,
lastFM_225,Drukqs 2  Promo,Aphex T.,Cock 10 (Delco Freedom mix),306.0
lastFM_236,No Texture / Not for Outsiders,Paradox,"['No Texture', 'Not For Outsiders']",976.0
lastFM_244,Outsider,Dominion,"['Outsider', 'Outsider (Subtania Mix)']",1351.0
lastFM_248,BT -  Mercury and Solace,BT,"['Mercury and Solace (12"" Master Mix)', 'Mercury And Solace (Transa Remix)']",890.0
lastFM_256,Belong,LoSoul,"['Late Play', 'Resisting Curare', 'Sunbeams and the Rain', 'Position', 'You Can Do', 'Overland', 'Lies', 'Remember You History', 'Depth Control']",3476.0
lastFM_258,The Spirit,Gene Farris,,
lastFM_263,Clumsy Lobster,Ernest Saint Laurent,,
lastFM_273,Travellers Of The Mind /,Enzyme X.,"['Travellers of the Mind', 'Syskwahor']",550.0
lastFM_277,Benge -  Beautiful Electronic Music,Benge,"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven', 'Eight']",0.0
lastFM_278,polyrhythmic electronica,Benge,"['[untitled]', '[untitled]', '[untitled]', '[untitled]', '[untitled]']",1620.0
lastFM_280,Blackout,L. Louis,,
lastFM_282,Armed and Dangerous,M. Richardson,"['Armed', 'Dangerous']",1197.0
lastFM_286,Club Classics Vol. One - 10th Anniversary Edition,Soul II Soul,,
lastFM_290,Ya Mama / Song for Shelter,Fatboy S.,"['Song for Shelter (Chemical Brothers Remix)', ""Song for Shelter (The 20:20 Vision Rollin' Mix)""]",1003.0
lastFM_306,*popular* Grand Tourism,Grand Tourism,"['Jim Clark Theorem', ""Les Courants D'Air"", 'Snakeplayer', 'Bassmajazz', 'Hybrid Story', 'Variations Sur Emma Peel', 'Act Of Love', 'Le Surboomer', 'Romantic Hold Up', 'La Baie du Fakir', 'Vega Music', 'La Guitare EnchantÃƒÂ©e']",3073.0
lastFM_309,Chill Out Sector,Ynos,,
lastFM_327,Echoes Beyond Tomorrow,Transparent S.,"['Never Fall Again (original)', 'Never Fall Again (scape one remix)', 'Never Fall Again (subfunk remix)']",1154.0
lastFM_328,/ Shelter,J. KÃƒÂ¶hncke,"['Jet', 'Shelter', 'Jet (M. Mayer Mix)']",881.0
lastFM_329,[explicit] Phat Lab. Nightmare,W. Christ,"['Mahadelic', 'Glass World', 'Phat Lab. Nightmare', 'Aerhaart; From Within', 'Aerhaart; Ahead', 'Aerhaart; Barrier', 'Panorak', 'Dances With Francis']",4776.0
lastFM_343,Primitive Dance,Levantine,,
lastFM_355,There Are No Right Angles Found In Nature,Eighty M. Beach,"['There Are No Right Angles Found In Nature', 'There Are No Right Angles Found In Nature (Soulstice Remix)', 'There Are No Right Angles Found In Nature (Thievery Corporation Remix)', 'What We Did Last Summer']",1558.0
lastFM_356,We Belong in This  Together,Stereo M.,,
lastFM_364,Get Into The Music,DJ's Rule,"['Get Into The Music (97 Anthem Radio Edit)', 'Get Into The Music (Rhythm Masters Radio Edit)', 'Get Into The Music (Rhythm Masters Club Mix)', 'Get Into The Music (Rhythm Masters Dub Mix)', 'Get Into The Music (Skindeep Remix)']",1593.0
lastFM_366,Present Tense,DJ Zinc,"['Casino Royale (remix)', 'Ska', 'Attitude Sickness', 'Invisible Ink']",515.0
lastFM_367,On The Painted Desert - Rampant Colors,B. Boom Satellites,"['Def', 'Oneness', 'Vocal Mix Featuring Dice', 'Dj Krush Remix', 'Tanzmuzik Remix', 'Push Eject / Howie B.Remix', 'Sandwicked Version']",2431.0
lastFM_368,Tempesta,Statik Sound System,"['Free to Choose, Hard to Be', 'Living in Essential Times', 'Jack', 'Essential Times', 'Sonar', 'Amazed By You', 'Dr Wheeler', 'Valentine', 'Dreams of Mine', 'Hear My Plea', 'Seven Shades', '[untitled]']",3675.0
lastFM_369,Liberation,Matt Darey,,
lastFM_372,Confessions EP,E-Smoove,,
lastFM_382,DoppelgÃƒÂ¤nger,Niels v. Gogh,,
lastFM_385,Bang Bang You're Mine,Bang The Party,,
lastFM_386,Dangerous,D. Taylor,"['Dangerous', 'Traffic']",409.0
lastFM_398,- new - Come On Die Young,Glasgow Gangster F.,,
lastFM_400,Squarepusher -  Hard Normal Daddy,Squarepusher,"['Coopers World', 'Beep Street', 'Rustic Raver', 'Anirog D9', 'Chin Hippy', 'Papalon', 'E8 Boogie', 'Fat Controller', 'Vic Acid', 'Male Pill Part 13', ""Rat/P's and Q's"", 'Rebus']",3824.0
lastFM_402,Bricolage,Amon Tobin,"['Stoney Street', 'Easy Muffin', 'Creatures', 'Chomp Samba', 'New York Editor', 'The Nasty', 'Wires & Snakes', 'Dream Sequence', 'One Small Step']",2729.0
lastFM_404,The Music In My Mind,The Monolith,"['Carpenta', 'I-Yaz', 'Nextphaze (Splinterfaction mix)']",1069.0
lastFM_405,- new - Echoes Pt. 1,Mhonolink,,
lastFM_407,Spiritualized,Bravemusic,Spiritualized (Mark Wheawill's 'Eat Your Heart Out Baby Dub'),594.0
lastFM_410,Monster Remixes,Multipara,"['Pocket Monster Buy!Buy!Buy (remix)', 'Deep Pocket, Cute Monster', 'Monster Out Of The Pocket Amx', 'pocket monster', '4-Framecomicstripmix', 'Pocket Monster (Extra Life)', 'pocket monster 2000 (feat. blaxista)', 'Tilt! Tilt! Tilt! M:X']",1787.0
lastFM_414,Riot Frequencies,S. Responses,"['Synthaseizure', 'Structural Damage', 'Pain City', 'Alien Code 0010', 'Cyborg Sex', ""Fury's Theme"", ""Don't Fuck With an S.R."", 'Virtual Earth', 'Phlegaton C2', 'Flesheaters', 'Track 221294']",2570.0
lastFM_416,Electronic Noise EP,Relic,"['[untitled]', '[untitled]', '[untitled]']",90.0
lastFM_417,Placebo Effect,Luygi V.,"['Plaect', 'Luup', 'Luup', 'effebo', 'feclac']",819.0
lastFM_420,Sweet  Lemonade,Khan,"Sweet Pink Lemonade, Part I",30.0
lastFM_421,The Ambush / Fearless Calypso,Twintone,"['The Ambush', 'Fearless Calypso']",713.0
lastFM_425,T. Wishmaster -  Slave of the Empire EP,T. Wishmaster,"[""Now Please Don't Panic"", 'Slave Of The Empire', 'Take A Little Time']",771.0
lastFM_426,Inside  Outside,Trans-Dimensional Voice,"['Temptation', 'Frustration', 'Restoration', 'Reincarnation Part I', 'Reincarnation Part II', 'Infinitely Frayed Boundary', 'Audible Vision']",3887.0
lastFM_428,Diamond,D. Kaos,Diamond Eyes,303.0
lastFM_432,Electronic  Return,Pimmon,"['yemdatem', 'Beach Party', 'Vovul Lj', 'smiggins whole / loss', 'Ditoko', 'Slow Burn Friends/ Dub Aquanauts', 'Arc of Crown and Feather', 'Pulsebuzzkid']",2191.0
lastFM_433,Oporto Deep Cuts,OLN,"['Reboot 144 (Acid Error mix)', 'Reboot 144 (Original Mix)', 'Places Of Pleasure (Sound System)', 'Places Of Pleasure (Original Mix)']",1606.0
lastFM_434,Diversification EP,Mooz,"['Pariah', 'some of that', 'the voice inside', 'Relax']",718.0
lastFM_435,*popular* Spiritual Interface,Set Up System,"['Spiritual Interface', 'Factory (Parallax Mix)', 'Gyrate', 'Factory (Sublimation Mix)']",1288.0
lastFM_441,Elevator / Odyssey,The Sorcerer,"['The Elevator (Up & Down mix)', 'Odyssey']",584.0
lastFM_444,Fu*k The Millennium,The Ganja Kru,"['Science', 'Forbidden fruit', 'Noise', 'Politrix', 'Species (feat. DJ Daddy)', 'Ghetto Brother', 'Pink Panther (Runaways Remix)']",2434.0
lastFM_473,Discography (The Complete Singles Collection),P. Shop Boys,,
lastFM_474,James Din A. -  i am the very model of a modern mutant replicant,James Din A.,"['21.12.2013', 'Ricky Kelly King', 'Knust', 'Modern Mutant Replicant', 'Flaming Creature']",421.0
lastFM_476,Elevator 3,C. Duca,"['Car', 'Faith One', 'Quiet Nights Intro', 'Quiet Nights', 'Mid a4', 'Stim', 'Fl Peak', 'Plasma', 'MacIntosh Suite', 'Digital Basics', 'Geister', 'Laura', 'Rev', 'Slip & Slide', 'Love b3', 'Lalo', 'Scream', 'Dark Perc', 'Tristan', 'Sounds in the Night', 'Evie Peak', 'Fire', 'Earth', 'Lo', 'Mid', 'Hi', 'Rec 4', 'Giant Swing', 'Japan', 'Schweb', 'Bliss', 'Manc', 'Syte', 'Gunshot', 'Schwirr', 'Uranus', 'Click & Roll', 'Misty', 'Metal', 'Dorf', 'Nave', 'Alpine Bells', 'Walzer', 'Serge b1', 'Tubbies', 'Soul', 'Midnight', 'm2']",2335.0
lastFM_479,Chrome,Etnica,"['Nervous (Etnica Remix)', 'Detonator', 'Vco', 'Dervish (Wasted Remix)', 'Liquid Forms', 'Are we Safe?', 'Like a Diamond', 'Solaris', 'Tracktor Activity']",4336.0
lastFM_482,Raver's Damnation,Omar Santana,"[""Raver's Damnation (Omar Santana & Evan Lewis Mix)"", ""Raver's Damnation (Original Mix)"", ""Raver's Damnation (Evilz & DJ Fixx Remix)""]",1238.0
lastFM_483,Faithless -  Reverence,Faithless,"['Reverence', ""Don't Leave"", 'Salva Mea', ""If Lovin' You Is Wrong"", 'Angeline', 'Insomnia', ""Dirty Ol' Man"", 'Flowerstand Man', 'Baseball Cap', 'Drifting Away', 'Insomnia (Monster Mix/Radio Edit)', 'Salva Mea (Way Out West remix)', 'Salva Mea (Way Out West Mix)', ""Don't Leave (Floating Remix)"", ""Insomnia (Armand's European Vacation Mix)"", 'Insomnia (Armands European Vacation mix)', 'Insomnia (Moody Mix)', 'Drifting Away - Paradiso Remix', ""Reverence - Tamsin's Re-Fix"", ""Don't Leave - Floating Remix"", 'Insomnia - Moody Mix', 'Baseball Dub - Cheeky All Stars Remix', 'Angeline - the Innocents Remix', 'Salva Mea - Way Out West Mix', ""Insomnia - Armand's European Vacation Mix"", ""Flowerstand Man - Matty's Remix"", ""Flowerstand Man (Matty's Remix)"", 'Angeline (The Innocents Remix)', ""Reverence (Tamsin's Re-Fix)"", 'Soundcheck Jam', 'Drifting Away (Paradiso Remix)', 'Baseball Dub (Cheeky All Stars Remix)']",10525.0
lastFM_487,The Drift,Tipple,,
lastFM_500,Support / Cerulean Seas,Future Engineers,"['Life Support', 'Cerulean Seas']",591.0
lastFM_503,Hidden,4D,,
lastFM_516,The Savage And Beyond,Tronikhouse,"['The Savage And Beyond (Savage Reese Mix)', 'The Savage And Beyond (African Beast Mix)', 'multifunction (multi-mix)']",708.0
lastFM_518,Warning,Locutus,"['Fair Warning', 'Close Proximity', 'Full Moon', 'Weeping Darkness']",120.0
lastFM_521,King Kong Of The Dance Floor,Fu-Tourist,"['King Kong Of The Dance Floor', 'King Kong Of The Dance Floor (Sugar Vision Remix)']",614.0
lastFM_528,Electronic Dance,Omicron,,
lastFM_538,15 electronic pieces,Gunter A.,"['Brussels', 'hungary', 'madras (less restless)', 'antwerp (may i take one close to yours?)', 'cancun', 'newcastle (johnny vaughn tanzparty)', 'madurai (dark sunglasses)', 'lyon (contre-jour shot)', 'Rome', 'helsinki', 'dusseldorf', 'liÃƒÂ¨ge (samarinda)']",1813.0
lastFM_539,Album: 2002 Classics,D. PIT,,
lastFM_541,Bass Time Continuum,B. Junkie,"['Bass Time Continuum', 'R-M-T-S', 'Bass Below & Beyond', 'Listen to the Beat (V2.0)', 'A New Order of Intelligence', 'Breakers Throwdown (Final Battle mix)', 'Welcome to Futura', 'Hyper-Bass', 'Back in the Jungle', 'Return of the OVC', 'Bass Mutant (Re-Mutated)', 'A Bass Odyssey', 'Sound and Motion']",3681.0
lastFM_548,nine lives,The Underwolves,"['Nine Lives (Version Wildlife)', 'Nine Lives (Version My LIfe)']",784.0
lastFM_549,Album: Don't Stop The Music,S. Dragolgo,"['Action', 'Angela', 'Beatnix', 'Deep Angel', 'Dip Switch', 'Early Bird', 'Elec-Love', 'Sister', 'Good Morning']",2175.0
lastFM_561,Hears  the Future,Justice,"['Two thousand moments', ""Wack MC's"", 'Cycle II', 'Beat drop', 'Faith & Reason', 'Monk rock', 'Suburbs']",1918.0
lastFM_567,Beyond The,DJ Slugo,,
lastFM_568,The Congo Natty EP,C. Natty,,
lastFM_573,Butterfly / Rendezvous,Tilt,,
lastFM_575,Blackout,L. Louis,,
lastFM_576,Brothers,Ronny Jordan,"['The Jackal (The Illest Mix)', 'S**t Goes Down (But I Got Phunked Up Mix)', 'Love I Never Had It So Good', ""So What! (Tuff 'N' Smooth Mix)"", 'Season For Change (Dawn Of The Season Mix)', 'Bad Brother (How Ya Like My Wheel Mix)']",2104.0
lastFM_579,The Garbage Man 1,T. Garbage Man,,
lastFM_582,Face The Future,Richi M,"['Face the future', '- Ancient Sumeria', '- Face The Future', 'Face The Future (Boiler Remix)', '- Get Kinky', 'Face The Future (Filterheadz Remix)', '- Live in a Dream', '- Progressive', ""- Lily's Back"", '- United Colours', '- Inside of me 1.0', '- Sons of Heaven']",3802.0
lastFM_604,Future Platform,M.I.K.E.,"['Elements of Life', 'The Running Night']",867.0
lastFM_612,Addvibe -  Brothers,Addvibe,,
lastFM_622,Sirconical -  Make The Music With Your Mouse,Sirconical,"['Pear', 'Choppy', 'Cottonopolis']",675.0
lastFM_626,Beyond and Back,Paranoid A.,"['Beyond and Back (dirty) (feat. Cage, Masai Bey, Space)', 'Beyond And Back (Instrumental)', 'Last House on the Left (dirty) (feat. Cage, Masai Bey, Space)', 'Last House on the Left (clean) (feat. Cage, Masai Bey, Space)', 'Last House On The Left (Instrumental)']",1112.0
lastFM_629,Imsoniak: I'll Be Your Nightmare,The Grooveman,"[""Imsoniak: I'll Be Your Nightmare (vocal mix)"", ""Imsoniak: I'll Be Your Nightmare (Pumping mix)"", ""Imsoniak: I'll Be Your Nightmare (Industrial Mix)"", ""Imsoniak: I'll Be Your Nightmare (Innercity mix)"", ""Imsoniak: I'll Be Your Nightmare (Symphony mix)""]",1966.0
lastFM_633,Another,Colours,Wally Lopez Weekend Remk,0.0
lastFM_637,God Bless The Conspiracy,Sandoz,"['Lights In The Sky', 'Demonology', 'Louisiana', 'Levels', 'Blow (This Mother Up)', 'The Moon Rises']",4077.0
lastFM_643,Digitonal -  23 Things Fall Apart,Digitonal,"['Come and Play', 'Seraphim', 'Over Line', 'Black Box', 'Break Beat Phase', 'Drencrom', 'Carcause']",2993.0
lastFM_647,Broken,Doormouse,"['Peter B. Beautiful', 'Handslum', 'flatter platter play boy batter', 'Puddy Tairs', 'God Hates to Ball', ""Russell's Never Ending Rack"", 'Full Frontal Face Fire', 'Up In The Sky (Remix)', 'No Fool', 'Warleg', 'Gangster of Buh', 'Finger High', 'Infectisound', 'Bacon']",2971.0
lastFM_650,Copper Blue EP,T. Rip-Off Artist,Mercury... is that a metal?,315.0
lastFM_652,Turn Up The Music (The Remixes),Dr. Baker,,
lastFM_654,Black Album,L.S.G.,"['The Train of Thought V 0.9', 'The Train of Thought V 1.1', 'Go Fishing', 'Rotation', '88', 'Hellfire', 'Deep Blue']",3212.0
lastFM_666,Vessel / Fragment,Black Sun Empire,"['Vessel', 'Fragment']",0.0
lastFM_673,[explicit] Whitehouse Classics - Volume 2,Remarc,,
lastFM_676,Spiritually Speaking,Blaze,"['Melodies of Love', 'If You Should Need a Friend', 'Breathe', 'All That I Should Know', 'Gloria Muse (The Yoga Song)', 'So Special', 'Do You Remember House?', 'Good Life', 'Wishing You Were Here', 'Elevation', 'Where You Are', 'How Deep Is Your Love', 'I Think of You', 'Black Byrd Interlude / Spiritually Speaking', 'Elements of Life', 'We Are One', 'Roots Interlude', 'We Are One (Bonus Track)', 'Black Byrd', 'Black Byrd Flying Free', 'World Peace']",7375.0
lastFM_697,Belong,Spooky,"['Belong (Radio Mix)', 'Belong (Echospace Mix)', 'Belong (Splinter Mix)', 'Belong (Flangescopic Dub)', 'Belong (Echospace Dub)']",1917.0
lastFM_699,Goblin 101,MAT101,Goblin 101,294.0
lastFM_704,[explicit] Madstock...The Continuing Adventures Of Bubblecar Fish,Candy F.,,
lastFM_720,Surrender Yourself,T. Daou,,
