"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] DateComparator(date) record1Value","[0] DateComparator(date) record2Value","[0] DateComparator(date) record1PreprocessedValue","[0] DateComparator(date) record2PreprocessedValue","[0] DateComparator(date) similarity","[0] DateComparator(date) postproccesedSimilarity","[1] StringComparator(actors_actor_name, jaccard) record1Value","[1] StringComparator(actors_actor_name, jaccard) record2Value","[1] StringComparator(actors_actor_name, jaccard) record1PreprocessedValue","[1] StringComparator(actors_actor_name, jaccard) record2PreprocessedValue","[1] StringComparator(actors_actor_name, jaccard) similarity","[1] StringComparator(actors_actor_name, jaccard) postproccesedSimilarity","[2] StringComparator(title, jaccard) record1Value","[2] StringComparator(title, jaccard) record2Value","[2] StringComparator(title, jaccard) record1PreprocessedValue","[2] StringComparator(title, jaccard) record2PreprocessedValue","[2] StringComparator(title, jaccard) similarity","[2] StringComparator(title, jaccard) postproccesedSimilarity"
"RuleBasedMatcher","actors_1","golden_globes_2118","0.0","","1929-01-01","1962-01-01","1929-01-01","1962-01-01","0.0","0.0","Janet Gaynor","Bob Hope","janet gaynor","bob hope","0.0","0.0","7th Heaven","Bachelor In Paradise","7th heaven","bachelor in paradise","0.0","0.0"
"RuleBasedMatcher","actors_1","golden_globes_464","0.0","","1929-01-01","2002-01-01","1929-01-01","2002-01-01","0.0","0.0","Janet Gaynor","['Thora Birch', 'Steve Buscemi']","Janet Gaynor","['Thora Birch', 'Steve Buscemi']","0.0","0.0","7th Heaven","Ghost World","7th heaven","ghost world","0.0","0.0"
"RuleBasedMatcher","actors_1","golden_globes_1498","0.0","","1929-01-01","1982-01-01","1929-01-01","1982-01-01","0.0","0.0","Janet Gaynor","","janet gaynor","","0.0","0.0","7th Heaven","Raiders Of The Lost Ark","7th heaven","raiders of the lost ark","0.0","0.0"
"RuleBasedMatcher","actors_1","golden_globes_1667","0.0","","1929-01-01","1978-01-01","1929-01-01","1978-01-01","0.0","0.0","Janet Gaynor","Kate Jackson","janet gaynor","kate jackson","0.0","0.0","7th Heaven","Charlie's Angels","7th heaven","charlie's angels","0.0","0.0"
"RuleBasedMatcher","actors_1","golden_globes_1605","0.0","","1929-01-01","1980-01-01","1929-01-01","1980-01-01","0.0","0.0","Janet Gaynor","David Doyle","janet gaynor","david doyle","0.0","0.0","7th Heaven","Charlie's Angels","7th heaven","charlie's angels","0.0","0.0"
"RuleBasedMatcher","actors_1","golden_globes_1626","0.0","","1929-01-01","1979-01-01","1929-01-01","1979-01-01","0.0","0.0","Janet Gaynor","Kate Jackson","janet gaynor","kate jackson","0.0","0.0","7th Heaven","Charlie's Angels","7th heaven","charlie's angels","0.0","0.0"
"RuleBasedMatcher","actors_1","golden_globes_1707","0.0","","1929-01-01","1977-01-01","1929-01-01","1977-01-01","0.0","0.0","Janet Gaynor","['Farrah Fawcett', 'Kate Jackson']","Janet Gaynor","['Farrah Fawcett', 'Kate Jackson']","0.0","0.0","7th Heaven","Charlie's Angels","7th heaven","charlie's angels","0.0","0.0"
"RuleBasedMatcher","actors_1","golden_globes_1365","0.0","","1929-01-01","1985-01-01","1929-01-01","1985-01-01","0.0","0.0","Janet Gaynor","Jane Curtin","janet gaynor","jane curtin","0.0","0.0","7th Heaven","Kate and Allie","7th heaven","kate and allie","0.0","0.0"
"RuleBasedMatcher","actors_1","golden_globes_341","0.0","","1929-01-01","2005-01-01","1929-01-01","2005-01-01","0.0","0.0","Janet Gaynor","Ian McShane","janet gaynor","ian mcshane","0.0","0.0","7th Heaven","Deadwood","7th heaven","deadwood","0.0","0.0"
"RuleBasedMatcher","actors_1","golden_globes_1052","0.0","","1929-01-01","1991-01-01","1929-01-01","1991-01-01","0.0","0.0","Janet Gaynor","['Kyle MacLachlan', 'Sherilyn Fenn', 'Piper Laurie']","Janet Gaynor","['Kyle MacLachlan', 'Sherilyn Fenn', 'Piper Laurie']","0.0","0.0","7th Heaven","Twin Peaks","7th heaven","twin peaks","0.0","0.0"
"RuleBasedMatcher","actors_2","golden_globes_863","0.0","","1930-01-01","1995-01-01","1930-01-01","1995-01-01","0.0","0.0","Mary Pickford","Liz Torres","mary pickford","liz torres","0.0","0.0","Coquette","John Larroquette Show, The","coquette","john larroquette show, the","0.0","0.0"
"RuleBasedMatcher","actors_2","golden_globes_1815","0.0","","1930-01-01","1974-01-01","1930-01-01","1974-01-01","0.0","0.0","Mary Pickford","Steve McQueen","mary pickford","steve mcqueen","0.0","0.0","Coquette","Papillon","coquette","papillon","0.0","0.0"
"RuleBasedMatcher","actors_2","golden_globes_385","0.0","","1930-01-01","2004-01-01","1930-01-01","2004-01-01","0.0","0.0","Mary Pickford","William H. Macy","mary pickford","william h. macy","0.0","0.0","Coquette","Seabiscuit","coquette","seabiscuit","0.0","0.0"
"RuleBasedMatcher","actors_2","golden_globes_2020","0.0","","1930-01-01","1966-01-01","1930-01-01","1966-01-01","0.0","0.0","Mary Pickford","Rod Steiger","mary pickford","rod steiger","0.0","0.0","Coquette","Pawnbroker, The","coquette","pawnbroker, the","0.0","0.0"
"RuleBasedMatcher","actors_2","golden_globes_1432","0.0","","1930-01-01","1983-01-01","1930-01-01","1983-01-01","0.0","0.0","Mary Pickford","['Jessica Lange', 'Kim Stanley']","Mary Pickford","['Jessica Lange', 'Kim Stanley']","0.0","0.0","Coquette","Frances","coquette","frances","0.0","0.0"
"RuleBasedMatcher","actors_2","golden_globes_861","0.0","","1930-01-01","1995-01-01","1930-01-01","1995-01-01","0.0","0.0","Mary Pickford","Tyne Daly","mary pickford","tyne daly","0.0","0.0","Coquette","Christy","coquette","christy","0.0","0.0"
"RuleBasedMatcher","actors_2","golden_globes_1521","0.0","","1930-01-01","1982-01-01","1930-01-01","1982-01-01","0.0","0.0","Mary Pickford","Danny Kaye","mary pickford","danny kaye","0.0","0.0","Coquette","Skokie","coquette","skokie","0.0","0.0"
"RuleBasedMatcher","actors_2","golden_globes_965","0.0","","1930-01-01","1993-01-01","1930-01-01","1993-01-01","0.0","0.0","Mary Pickford","James Woods","mary pickford","james woods","0.0","0.0","Coquette","Citizen Cohn","coquette","citizen cohn","0.0","0.0"
"RuleBasedMatcher","actors_2","golden_globes_1969","0.0","","1930-01-01","1969-01-01","1930-01-01","1969-01-01","0.0","0.0","Mary Pickford","Tony Curtis","mary pickford","tony curtis","0.0","0.0","Coquette","Boston Strangler, The","coquette","boston strangler, the","0.0","0.0"
"RuleBasedMatcher","actors_2","golden_globes_1652","0.0","","1930-01-01","1978-01-01","1930-01-01","1978-01-01","0.0","0.0","Mary Pickford","Al Pacino","mary pickford","al pacino","0.0","0.0","Coquette","Bobby Deerfield","coquette","bobby deerfield","0.0","0.0"
"RuleBasedMatcher","actors_2","golden_globes_546","0.0","","1930-01-01","2001-01-01","1930-01-01","2001-01-01","0.0","0.0","Mary Pickford","Ted Danson","mary pickford","ted danson","0.0","0.0","Coquette","Becker","coquette","becker","0.0","0.0"
"RuleBasedMatcher","actors_2","golden_globes_363","0.0","","1930-01-01","2004-01-01","1930-01-01","2004-01-01","0.0","0.0","Mary Pickford","Cate Blanchett","mary pickford","cate blanchett","0.0","0.0","Coquette","Veronica Guerin","coquette","veronica guerin","0.0","0.0"
"RuleBasedMatcher","actors_2","golden_globes_1571","0.0","","1930-01-01","1980-01-01","1930-01-01","1980-01-01","0.0","0.0","Mary Pickford","Jon Voight","mary pickford","jon voight","0.0","0.0","Coquette","Champ, The","coquette","champ, the","0.0","0.0"
"RuleBasedMatcher","actors_2","golden_globes_2113","0.0","","1930-01-01","1962-01-01","1930-01-01","1962-01-01","0.0","0.0","Mary Pickford","['Paul Newman', 'Jackie Gleason', 'George C. Scott']","Mary Pickford","['Paul Newman', 'Jackie Gleason', 'George C. Scott']","0.0","0.0","Coquette","Hustler, The","coquette","hustler, the","0.0","0.0"
"RuleBasedMatcher","actors_2","golden_globes_109","0.0","","1930-01-01","2009-01-01","1930-01-01","2009-01-01","0.0","0.0","Mary Pickford","['Mickey Rourke', 'Marisa Tomei']","Mary Pickford","['Mickey Rourke', 'Marisa Tomei']","0.0","0.0","Coquette","Wrestler, The","coquette","wrestler, the","0.0","0.0"
"RuleBasedMatcher","actors_2","golden_globes_1758","0.0","","1930-01-01","1976-01-01","1930-01-01","1976-01-01","0.0","0.0","Mary Pickford","['Barry Newman', 'Susan Howard']","Mary Pickford","['Barry Newman', 'Susan Howard']","0.0","0.0","Coquette","Petrocelli","coquette","petrocelli","0.0","0.0"
"RuleBasedMatcher","actors_2","golden_globes_413","0.0","","1930-01-01","2003-01-01","1930-01-01","2003-01-01","0.0","0.0","Mary Pickford","Salma Hayek","mary pickford","salma hayek","0.0","0.0","Coquette","Frida","coquette","frida","0.0","0.0"
"RuleBasedMatcher","actors_2","golden_globes_1797","0.0","","1930-01-01","1975-01-01","1930-01-01","1975-01-01","0.0","0.0","Mary Pickford","Peter Falk","mary pickford","peter falk","0.0","0.0","Coquette","Columbo","coquette","columbo","0.0","0.0"
"RuleBasedMatcher","actors_2","golden_globes_1756","0.0","","1930-01-01","1976-01-01","1930-01-01","1976-01-01","0.0","0.0","Mary Pickford","Peter Falk","mary pickford","peter falk","0.0","0.0","Coquette","Columbo","coquette","columbo","0.0","0.0"
"RuleBasedMatcher","actors_2","golden_globes_1673","0.0","","1930-01-01","1978-01-01","1930-01-01","1978-01-01","0.0","0.0","Mary Pickford","Peter Falk","mary pickford","peter falk","0.0","0.0","Coquette","Columbo","coquette","columbo","0.0","0.0"
"RuleBasedMatcher","actors_3","golden_globes_2098","0.0","","1931-01-01","1963-01-01","1931-01-01","1963-01-01","0.0","0.0","Norma Shearer","Marcello Mastroianni","norma shearer","marcello mastroianni","0.0","0.0","The Divorcee","Divorce","the divorcee","divorce","0.0","0.0"
"RuleBasedMatcher","actors_3","golden_globes_563","0.05555555555555555","","1931-01-01","2000-01-01","1931-01-01","2000-01-01","0.0","0.0","Norma Shearer","Julianne Moore","norma shearer","julianne moore","0.0","0.0","The Divorcee","End Of The Affair, The","the divorcee","end of the affair, the","0.16666666666666666","0.16666666666666666"
"RuleBasedMatcher","actors_3","golden_globes_899","0.0","","1931-01-01","1994-01-01","1931-01-01","1994-01-01","0.0","0.0","Norma Shearer","Katey Sagal","norma shearer","katey sagal","0.0","0.0","The Divorcee","Married","the divorcee","married","0.0","0.0"
"RuleBasedMatcher","actors_3","golden_globes_1058","0.0","","1931-01-01","1991-01-01","1931-01-01","1991-01-01","0.0","0.0","Norma Shearer","Katey Sagal","norma shearer","katey sagal","0.0","0.0","The Divorcee","Married","the divorcee","married","0.0","0.0"
"RuleBasedMatcher","actors_3","golden_globes_1003","0.0","","1931-01-01","1992-01-01","1931-01-01","1992-01-01","0.0","0.0","Norma Shearer","['Katey Sagal', "Ed O'Neill"]","Norma Shearer","['Katey Sagal', "Ed O'Neill"]","0.0","0.0","The Divorcee","Married","the divorcee","married","0.0","0.0"
"RuleBasedMatcher","actors_3","golden_globes_951","0.0","","1931-01-01","1993-01-01","1931-01-01","1993-01-01","0.0","0.0","Norma Shearer","['Katey Sagal', "Ed O'Neill"]","Norma Shearer","['Katey Sagal', "Ed O'Neill"]","0.0","0.0","The Divorcee","Married","the divorcee","married","0.0","0.0"
"RuleBasedMatcher","actors_3","golden_globes_21","0.08333333333333333","","1931-01-01","2011-01-01","1931-01-01","2011-01-01","0.0","0.0","Norma Shearer","['Julianna Margulies', 'Chris Noth']","Norma Shearer","['Julianna Margulies', 'Chris Noth']","0.0","0.0","The Divorcee","Good Wife, The","the divorcee","good wife, the","0.25","0.25"
"RuleBasedMatcher","actors_3","golden_globes_75","0.08333333333333333","","1931-01-01","2010-01-01","1931-01-01","2010-01-01","0.0","0.0","Norma Shearer","Julianna Margulies","norma shearer","julianna margulies","0.0","0.0","The Divorcee","Good Wife, The","the divorcee","good wife, the","0.25","0.25"
"RuleBasedMatcher","actors_3","golden_globes_1168","0.06666666666666667","","1931-01-01","1989-01-01","1931-01-01","1989-01-01","0.0","0.0","Norma Shearer","Jane Seymour","norma shearer","jane seymour","0.0","0.0","The Divorcee","Woman He Loved, The","the divorcee","woman he loved, the","0.2","0.2"
"RuleBasedMatcher","actors_3","golden_globes_935","0.0","","1931-01-01","1993-01-01","1931-01-01","1993-01-01","0.0","0.0","Norma Shearer","Judy Davis","norma shearer","judy davis","0.0","0.0","The Divorcee","Husbands and Wives","the divorcee","husbands and wives","0.0","0.0"
"RuleBasedMatcher","actors_3","golden_globes_1138","0.06666666666666667","","1931-01-01","1989-01-01","1931-01-01","1989-01-01","0.0","0.0","Norma Shearer","Michelle Pfeiffer","norma shearer","michelle pfeiffer","0.0","0.0","The Divorcee","Married To The Mob","the divorcee","married to the mob","0.2","0.2"
"RuleBasedMatcher","actors_3","golden_globes_134","0.08333333333333333","","1931-01-01","2009-01-01","1931-01-01","2009-01-01","0.0","0.0","Norma Shearer","Debra Messing","norma shearer","debra messing","0.0","0.0","The Divorcee","Starter Wife, The","the divorcee","starter wife, the","0.25","0.25"
"RuleBasedMatcher","actors_3","golden_globes_193","0.08333333333333333","","1931-01-01","2008-01-01","1931-01-01","2008-01-01","0.0","0.0","Norma Shearer","Debra Messing","norma shearer","debra messing","0.0","0.0","The Divorcee","Starter Wife, The","the divorcee","starter wife, the","0.25","0.25"
"RuleBasedMatcher","actors_3","golden_globes_1949","0.08333333333333333","","1931-01-01","1970-01-01","1931-01-01","1970-01-01","0.0","0.0","Norma Shearer","Jean Simmons","norma shearer","jean simmons","0.0","0.0","The Divorcee","Happy Ending, The","the divorcee","happy ending, the","0.25","0.25"
"RuleBasedMatcher","actors_3","golden_globes_1623","0.0","","1931-01-01","1979-01-01","1931-01-01","1979-01-01","0.0","0.0","Norma Shearer","Carol Burnett","norma shearer","carol burnett","0.0","0.0","The Divorcee","Wedding, a","the divorcee","wedding, a","0.0","0.0"
"RuleBasedMatcher","actors_3","golden_globes_1776","0.0","","1931-01-01","1975-01-01","1931-01-01","1975-01-01","0.0","0.0","Norma Shearer","Liv Ullmann","norma shearer","liv ullmann","0.0","0.0","The Divorcee","Scenes From a Marriage","the divorcee","scenes from a marriage","0.0","0.0"
"RuleBasedMatcher","actors_3","golden_globes_1627","0.0","","1931-01-01","1979-01-01","1931-01-01","1979-01-01","0.0","0.0","Norma Shearer","['Kristy McNichol', 'Sada Thompson']","Norma Shearer","['Kristy McNichol', 'Sada Thompson']","0.0","0.0","The Divorcee","Family","the divorcee","family","0.0","0.0"
"RuleBasedMatcher","actors_3","golden_globes_1709","0.0","","1931-01-01","1977-01-01","1931-01-01","1977-01-01","0.0","0.0","Norma Shearer","Sada Thompson","norma shearer","sada thompson","0.0","0.0","The Divorcee","Family","the divorcee","family","0.0","0.0"
"RuleBasedMatcher","actors_3","golden_globes_1586","0.0","","1931-01-01","1980-01-01","1931-01-01","1980-01-01","0.0","0.0","Norma Shearer","Sada Thompson","norma shearer","sada thompson","0.0","0.0","The Divorcee","Family","the divorcee","family","0.0","0.0"
"RuleBasedMatcher","actors_3","golden_globes_415","0.0","","1931-01-01","2003-01-01","1931-01-01","2003-01-01","0.0","0.0","Norma Shearer","Diane Lane","norma shearer","diane lane","0.0","0.0","The Divorcee","Unfaithful","the divorcee","unfaithful","0.0","0.0"
"RuleBasedMatcher","actors_4","golden_globes_1523","0.1111111111111111","","1932-01-01","1982-01-01","1932-01-01","1982-01-01","0.0","0.0","Marie Dressler","Mickey Rooney","marie dressler","mickey rooney","0.0","0.0","Min and Bill","Bill","min and bill","bill","0.3333333333333333","0.3333333333333333"
"RuleBasedMatcher","actors_4","golden_globes_1413","0.08333333333333333","","1932-01-01","1984-01-01","1932-01-01","1984-01-01","0.0","0.0","Marie Dressler","['Joanna Cassidy', 'Dabney Coleman']","Marie Dressler","['Joanna Cassidy', 'Dabney Coleman']","0.0","0.0","Min and Bill","Buffalo Bill","min and bill","buffalo bill","0.25","0.25"
"RuleBasedMatcher","actors_4","golden_globes_615","0.06666666666666667","","1932-01-01","1999-01-01","1932-01-01","1999-01-01","0.0","0.0","Marie Dressler","Emily Watson","marie dressler","emily watson","0.0","0.0","Min and Bill","Hilary and Jackie","min and bill","hilary and jackie","0.2","0.2"
"RuleBasedMatcher","actors_4","golden_globes_367","0.05555555555555555","","1932-01-01","2004-01-01","1932-01-01","2004-01-01","0.0","0.0","Marie Dressler","Uma Thurman","marie dressler","uma thurman","0.0","0.0","Min and Bill","Kill Bill (Vol. 1)","min and bill","kill bill (vol. 1)","0.16666666666666666","0.16666666666666666"
"RuleBasedMatcher","actors_4","golden_globes_317","0.05555555555555555","","1932-01-01","2005-01-01","1932-01-01","2005-01-01","0.0","0.0","Marie Dressler","['Uma Thurman', 'David Carradine']","Marie Dressler","['Uma Thurman', 'David Carradine']","0.0","0.0","Min and Bill","Kill Bill Vol. 2","min and bill","kill bill vol. 2","0.16666666666666666","0.16666666666666666"
"RuleBasedMatcher","actors_4","golden_globes_1121","0.047619047619047616","","1932-01-01","1990-01-01","1932-01-01","1990-01-01","0.0","0.0","Marie Dressler","James Woods","marie dressler","james woods","0.0","0.0","Min and Bill","My Name Is Bill W.","min and bill","my name is bill w.","0.14285714285714285","0.14285714285714285"
"RuleBasedMatcher","actors_4","golden_globes_1042","0.0","","1932-01-01","1991-01-01","1932-01-01","1991-01-01","0.0","0.0","Marie Dressler","Al Pacino","marie dressler","al pacino","0.0","0.0","Min and Bill","Dick Tracy","min and bill","dick tracy","0.0","0.0"
"RuleBasedMatcher","actors_4","golden_globes_1151","0.06666666666666667","","1932-01-01","1989-01-01","1932-01-01","1989-01-01","0.0","0.0","Marie Dressler","Sharon Gless","marie dressler","sharon gless","0.0","0.0","Min and Bill","Cagney and Lacey","min and bill","cagney and lacey","0.2","0.2"
"RuleBasedMatcher","actors_4","golden_globes_1406","0.06666666666666667","","1932-01-01","1984-01-01","1932-01-01","1984-01-01","0.0","0.0","Marie Dressler","Tyne Daly","marie dressler","tyne daly","0.0","0.0","Min and Bill","Cagney and Lacey","min and bill","cagney and lacey","0.2","0.2"
"RuleBasedMatcher","actors_4","golden_globes_1299","0.06666666666666667","","1932-01-01","1986-01-01","1932-01-01","1986-01-01","0.0","0.0","Marie Dressler","['Tyne Daly', 'Sharon Gless']","Marie Dressler","['Tyne Daly', 'Sharon Gless']","0.0","0.0","Min and Bill","Cagney and Lacey","min and bill","cagney and lacey","0.2","0.2"
"RuleBasedMatcher","actors_4","golden_globes_1257","0.06666666666666667","","1932-01-01","1987-01-01","1932-01-01","1987-01-01","0.0","0.0","Marie Dressler","['Tyne Daly', 'Sharon Gless']","Marie Dressler","['Tyne Daly', 'Sharon Gless']","0.0","0.0","Min and Bill","Cagney and Lacey","min and bill","cagney and lacey","0.2","0.2"
"RuleBasedMatcher","actors_4","golden_globes_1204","0.06666666666666667","","1932-01-01","1988-01-01","1932-01-01","1988-01-01","0.0","0.0","Marie Dressler","Sharon Gless","marie dressler","sharon gless","0.0","0.0","Min and Bill","Cagney and Lacey","min and bill","cagney and lacey","0.2","0.2"
"RuleBasedMatcher","actors_4","golden_globes_1354","0.06666666666666667","","1932-01-01","1985-01-01","1932-01-01","1985-01-01","0.0","0.0","Marie Dressler","['Tyne Daly', 'Sharon Gless']","Marie Dressler","['Tyne Daly', 'Sharon Gless']","0.0","0.0","Min and Bill","Cagney and Lacey","min and bill","cagney and lacey","0.2","0.2"
"RuleBasedMatcher","actors_4","golden_globes_1954","0.06666666666666667","","1932-01-01","1970-01-01","1932-01-01","1970-01-01","0.0","0.0","Marie Dressler","Dustin Hoffman","marie dressler","dustin hoffman","0.0","0.0","Min and Bill","John and Mary","min and bill","john and mary","0.2","0.2"
"RuleBasedMatcher","actors_4","golden_globes_1543","0.06666666666666667","","1932-01-01","1981-01-01","1932-01-01","1981-01-01","0.0","0.0","Marie Dressler","['Paul Le Mat', 'Mary Steenburgen', 'Jason Robards Jr.']","Marie Dressler","['Paul Le Mat', 'Mary Steenburgen', 'Jason Robards Jr.']","0.0","0.0","Min and Bill","Melvin and Howard","min and bill","melvin and howard","0.2","0.2"
"RuleBasedMatcher","actors_4","golden_globes_489","0.0","","1932-01-01","2002-01-01","1932-01-01","2002-01-01","0.0","0.0","Marie Dressler","Calista Flockhart","marie dressler","calista flockhart","0.0","0.0","Min and Bill","Ally McBeal","min and bill","ally mcbeal","0.0","0.0"
"RuleBasedMatcher","actors_4","golden_globes_541","0.0","","1932-01-01","2001-01-01","1932-01-01","2001-01-01","0.0","0.0","Marie Dressler","['Calista Flockhart', 'Robert Downey Jr.']","Marie Dressler","['Calista Flockhart', 'Robert Downey Jr.']","0.0","0.0","Min and Bill","Ally McBeal","min and bill","ally mcbeal","0.0","0.0"
"RuleBasedMatcher","actors_4","golden_globes_594","0.0","","1932-01-01","2000-01-01","1932-01-01","2000-01-01","0.0","0.0","Marie Dressler","Calista Flockhart","marie dressler","calista flockhart","0.0","0.0","Min and Bill","Ally McBeal","min and bill","ally mcbeal","0.0","0.0"
"RuleBasedMatcher","actors_4","golden_globes_692","0.0","","1932-01-01","1998-01-01","1932-01-01","1998-01-01","0.0","0.0","Marie Dressler","Calista Flockhart","marie dressler","calista flockhart","0.0","0.0","Min and Bill","Ally McBeal","min and bill","ally mcbeal","0.0","0.0"
"RuleBasedMatcher","actors_4","golden_globes_645","0.0","","1932-01-01","1999-01-01","1932-01-01","1999-01-01","0.0","0.0","Marie Dressler","['Calista Flockhart', 'Jane Krakowski']","Marie Dressler","['Calista Flockhart', 'Jane Krakowski']","0.0","0.0","Min and Bill","Ally McBeal","min and bill","ally mcbeal","0.0","0.0"
"RuleBasedMatcher","actors_5","golden_globes_1895","0.047619047619047616","","1933-01-01","1972-01-01","1933-01-01","1972-01-01","0.0","0.0","Helen Hayes","Gene Hackman","helen hayes","gene hackman","0.0","0.0","The Sin of Madelon Claudet","French Connection, The","the sin of madelon claudet","french connection, the","0.14285714285714285","0.14285714285714285"
"RuleBasedMatcher","actors_5","golden_globes_357","0.041666666666666664","","1933-01-01","2005-01-01","1933-01-01","2005-01-01","0.0","0.0","Helen Hayes","Mos Def","helen hayes","mos def","0.0","0.0","The Sin of Madelon Claudet","Something The Lord Made","the sin of madelon claudet","something the lord made","0.125","0.125"
"RuleBasedMatcher","actors_5","golden_globes_753","0.09523809523809523","","1933-01-01","1997-01-01","1933-01-01","1997-01-01","0.0","0.0","Helen Hayes","['Isabella Rossellini', 'Stephen Rea', 'David Paymer']","Helen Hayes","['Isabella Rossellini', 'Stephen Rea', 'David Paymer']","0.0","0.0","The Sin of Madelon Claudet","Crime Of The Century","the sin of madelon claudet","crime of the century","0.2857142857142857","0.2857142857142857"
"RuleBasedMatcher","actors_5","golden_globes_257","0.041666666666666664","","1933-01-01","2007-01-01","1933-01-01","2007-01-01","0.0","0.0","Helen Hayes","Matthew Perry","helen hayes","matthew perry","0.0","0.0","The Sin of Madelon Claudet","Ron Clark Story, The","the sin of madelon claudet","ron clark story, the","0.125","0.125"
"RuleBasedMatcher","actors_5","golden_globes_1246","0.09523809523809523","","1933-01-01","1987-01-01","1933-01-01","1987-01-01","0.0","0.0","Helen Hayes","Sissy Spacek","helen hayes","sissy spacek","0.0","0.0","The Sin of Madelon Claudet","Crimes Of The Heart","the sin of madelon claudet","crimes of the heart","0.2857142857142857","0.2857142857142857"
"RuleBasedMatcher","actors_5","golden_globes_2114","0.0","","1933-01-01","1962-01-01","1933-01-01","1962-01-01","0.0","0.0","Helen Hayes","['Maximilian Schell', 'Judy Garland', 'Montgomery Clift']","Helen Hayes","['Maximilian Schell', 'Judy Garland', 'Montgomery Clift']","0.0","0.0","The Sin of Madelon Claudet","Judgment at Nuremberg","the sin of madelon claudet","judgment at nuremberg","0.0","0.0"
