mc_id,game_title,year_published,made_by,console,press_rating,player_rating,age_rating
metacritic_41,Hades,2021-01-01,Supergiant Games,Xbox Series X,93.0,8.6,T
metacritic_42,Super Smash Bros. Brawl,2008-01-01,Game Arts,Wii,93.0,8.8,T
metacritic_43,Pac-Man Championship Edition DX,2010-01-01,Namco Bandai Games,Xbox 360,93.0,7.6,E
metacritic_44,Half-Life: Alyx,2020-01-01,Valve Software,PC,93.0,9.2,
metacritic_45,The Witcher 3: Wild Hunt,2015-01-01,CD Projekt Red Studio,PC,93.0,9.1,M
metacritic_46,Tom Clancy's Splinter Cell Pandora Tomorrow,2004-01-01,Ubisoft Shanghai,Xbox,93.0,8.6,T
metacritic_47,Hades,2020-01-01,Supergiant Games,Switch,93.0,9.0,T
metacritic_48,The Last of Us Part II,2020-01-01,Naughty Dog,PS4,93.0,5.8,M
metacritic_49,Divinity: Original Sin II,2017-01-01,Larian Studios Games,PC,93.0,8.8,
metacritic_50,BioShock Infinite,2013-01-01,Irrational Games,Xbox 360,93.0,8.6,M
metacritic_51,Street Fighter Alpha 3,1999-01-01,Capcom,PlayStation,93.0,8.4,T
metacritic_52,Unreal Tournament 2004,2004-01-01,Epic Games,PC,93.0,8.7,M
metacritic_53,Dwarf Fortress,2022-01-01,Bay 12 Games,PC,93.0,8.5,
metacritic_54,Divinity: Original Sin II - Definitive Edition,2019-01-01,"Larian Studios Games,BlitWorks,The Dragon Commanders",Switch,93.0,8.4,M
metacritic_55,Grand Theft Auto: Chinatown Wars,2009-01-01,Rockstar Leeds,DS,93.0,8.3,M
metacritic_56,Ori and the Will of the Wisps,2020-01-01,Moon Studios,Switch,93.0,8.8,E
metacritic_57,Braid,2008-01-01,Number None Inc.,Xbox 360,93.0,8.5,E10+
metacritic_58,God of War II,2007-01-01,SCE Santa Monica,PS2,93.0,9.1,M
metacritic_59,Tony Hawk's Pro Skater 3,2002-01-01,Neversoft Entertainment,Xbox,93.0,7.2,T
metacritic_60,SSX,2000-01-01,EA Sports Big,PS2,93.0,8.2,E
metacritic_61,Starcraft II: Wings of Liberty,2010-01-01,Blizzard Entertainment,PC,93.0,8.2,T
metacritic_62,The Stanley Parable: Ultra Deluxe,2022-01-01,Crows Crows Crows,Xbox Series X,93.0,8.6,E10+
metacritic_63,Super Mario 3D World,2013-01-01,Nintendo,Wii U,93.0,8.9,E
metacritic_64,Persona 4 Golden,2012-01-01,Atlus,PlayStation Vita,93.0,8.6,M
metacritic_65,Grand Theft Auto III,2002-01-01,"DMA Design,Rockstar North",PC,93.0,8.1,M
metacritic_66,Undertale,2018-01-01,"tobyfox,8-4",Switch,93.0,8.2,E10+
metacritic_67,Minecraft,2011-01-01,Mojang AB,PC,93.0,8.2,E10+
metacritic_68,Street Fighter IV,2009-01-01,Capcom,Xbox 360,93.0,7.3,T
metacritic_69,Quake III Arena,2000-01-01,Raster,Dreamcast,93.0,8.3,M
metacritic_70,Tom Clancy's Splinter Cell,2002-01-01,Ubisoft Montreal,Xbox,93.0,8.7,T
metacritic_71,The Elder Scrolls IV: Oblivion,2007-01-01,"4J Studios,Bethesda Game Studios",PS3,93.0,8.8,M
metacritic_72,Hades,2021-01-01,Supergiant Games,PlayStation 5,93.0,8.7,T
metacritic_73,Persona 5,2017-01-01,Atlus,PS4,93.0,8.7,M
metacritic_74,Red Dead Redemption 2,2019-01-01,Rockstar Games,PC,93.0,6.8,M
metacritic_75,SSX 3,2003-01-01,EA Canada,PS2,93.0,8.8,E
metacritic_76,Fallout 3,2008-01-01,Bethesda Game Studios,Xbox 360,93.0,8.5,M
metacritic_77,God of War,2022-01-01,SCE Santa Monica,PC,93.0,8.5,M
metacritic_78,Homeworld,1999-01-01,"Relic,Relic Entertainment",PC,93.0,8.8,E
metacritic_79,Okami,2006-01-01,Clover Studio,PS2,93.0,9.1,T
metacritic_80,The Legend of Zelda: Skyward Sword,2011-01-01,Nintendo,Wii,93.0,8.1,E10+
metacritic_81,Skies of Arcadia,2000-01-01,Overworks,Dreamcast,93.0,8.9,T
metacritic_82,NFL 2K3,2002-01-01,Visual Concepts,PS2,93.0,7.0,E
metacritic_83,World Soccer Winning Eleven 6 International,2003-01-01,KCET,PS2,93.0,8.4,E
metacritic_84,Mario Kart Super Circuit,2001-01-01,Intelligent Systems,Game Boy Advance,93.0,8.0,E
metacritic_85,SoulCalibur II,2003-01-01,Namco,GameCube,93.0,8.9,T
metacritic_86,Gears of War 2,2008-01-01,Epic Games,Xbox 360,93.0,7.9,M
metacritic_87,Metal Gear Solid V: The Phantom Pain,2015-01-01,"Kojima Productions,Moby Dick Studio",PS4,93.0,8.2,M
metacritic_88,Mass Effect 3,2012-01-01,BioWare,Xbox 360,93.0,6.0,M
metacritic_89,Viewtiful Joe,2003-01-01,Clover Studio,GameCube,93.0,8.3,T
metacritic_90,Tetris Effect: Connected,2023-01-01,"Monstars Inc.,Resonair",PlayStation 5,93.0,6.2,
metacritic_91,Hades,2020-01-01,Supergiant Games,PC,93.0,8.8,T
metacritic_92,NBA 2K1,2000-01-01,Visual Concepts,Dreamcast,93.0,7.2,E
metacritic_93,Beat Saber,2019-01-01,Hyperbolic Magnetism,PC,93.0,8.5,
metacritic_94,Resident Evil 4,2023-01-01,Capcom,PlayStation 5,93.0,7.7,M
metacritic_95,Star Wars: Knights of the Old Republic,2003-01-01,BioWare,PC,93.0,9.0,T
metacritic_96,Braid,2009-01-01,"Hothead Games,Number None Inc.",PS3,93.0,7.8,E10+
metacritic_97,Test Drive Le Mans,2000-01-01,Melbourne House,Dreamcast,93.0,8.5,E
metacritic_98,Rock Band 3,2010-01-01,Harmonix Music Systems,Xbox 360,93.0,8.0,T
metacritic_99,Castlevania: Symphony of the Night,1997-01-01,Konami,PlayStation,93.0,9.0,T
metacritic_100,Mass Effect 3,2012-01-01,BioWare,PS3,93.0,5.8,M
metacritic_101,Uncharted 4: A Thief's End,2016-01-01,Naughty Dog,PS4,93.0,8.8,T
metacritic_102,Virtua Fighter 4: Evolution,2003-01-01,Sega,PS2,93.0,8.7,T
metacritic_103,Super Smash Bros. Ultimate,2018-01-01,"Nintendo,HAL Labs,Bandai Namco Games,Sora Ltd.",Switch,93.0,8.6,E10+
metacritic_104,INSIDE,2016-01-01,PLAYDEAD,Xbox One,93.0,8.4,M
metacritic_105,Flipnote Studio,2009-01-01,Nintendo,DS,93.0,7.7,
metacritic_106,Paper Mario,2001-01-01,Intelligent Systems,Nintendo 64,93.0,9.0,E
metacritic_107,Resident Evil 2,2019-01-01,Capcom R&D Division 1,Xbox One,93.0,8.8,M
metacritic_108,Grand Theft Auto: San Andreas,2005-01-01,Rockstar North,Xbox,93.0,8.6,AO
metacritic_109,Grand Theft Auto: San Andreas,2005-01-01,Rockstar North,PC,93.0,8.9,M
metacritic_110,SoulCalibur II,2003-01-01,Namco,PS2,92.0,8.7,T
metacritic_111,NBA 2K2,2001-01-01,Visual Concepts,Dreamcast,93.0,7.4,E
metacritic_112,World of Warcraft,2004-01-01,Blizzard Entertainment,PC,93.0,7.4,T
metacritic_113,Wipeout XL,1996-01-01,Psygnosis,PlayStation,93.0,8.5,
metacritic_114,Forza Horizon 4,2018-01-01,Playground Games,Xbox One,92.0,8.3,E
metacritic_115,World Soccer Winning Eleven 7 International,2004-01-01,KCET,PS2,93.0,8.4,E
metacritic_116,The Elder Scrolls V: Skyrim,2011-01-01,Bethesda Game Studios,PS3,92.0,6.7,M
metacritic_117,Divinity: Original Sin II - Definitive Edition,2018-01-01,Larian Studios Games,Xbox One,92.0,7.7,M
metacritic_118,God of War III,2010-01-01,SCE Santa Monica,PS3,92.0,8.9,M
metacritic_119,Call of Duty 4: Modern Warfare,2007-01-01,Infinity Ward,PC,92.0,8.5,M
metacritic_120,NHL 2002,2001-01-01,EA Sports,PS2,92.0,8.0,E
metacritic_121,Prince of Persia: The Sands of Time,2003-01-01,Ubisoft,Xbox,92.0,8.0,T
metacritic_122,NFL 2K3,2002-01-01,Visual Concepts,GameCube,92.0,6.5,E
metacritic_123,Rock Band,2007-01-01,Harmonix Music Systems,Xbox 360,92.0,8.0,T
metacritic_124,Uncharted 3: Drake's Deception,2011-01-01,Naughty Dog,PS3,92.0,8.4,T
metacritic_125,Bloodborne,2015-01-01,From Software,PS4,92.0,9.0,M
metacritic_126,Journey,2015-01-01,Tricky Pixels,PS4,92.0,8.3,E
metacritic_127,The Sims,2000-01-01,Maxis,PC,92.0,8.0,T
metacritic_128,Celeste,2018-01-01,Maddy Makes Games,Switch,92.0,8.6,E10+
metacritic_129,SSX Tricky,2001-01-01,EA Canada,PS2,92.0,8.8,E
metacritic_130,SSX 3,2003-01-01,EA Canada,GameCube,92.0,8.7,E
metacritic_131,Guitar Hero II,2007-01-01,Harmonix Music Systems,Xbox 360,92.0,8.1,T
metacritic_132,Forza Motorsport,2005-01-01,Microsoft Game Studios,Xbox,92.0,7.8,E
metacritic_133,Prince of Persia: The Sands of Time,2003-01-01,Ubisoft,PS2,92.0,8.8,T
metacritic_134,Eternal Darkness: Sanity's Requiem,2002-01-01,Silicon Knights,GameCube,92.0,8.8,M
metacritic_135,Forza Horizon 5,2021-01-01,Playground Games,Xbox Series X,92.0,8.2,E
metacritic_136,Warcraft III: Reign of Chaos,2002-01-01,Blizzard Entertainment,PC,92.0,9.2,T
metacritic_137,Banjo-Kazooie,1998-01-01,Rare Ltd.,Nintendo 64,92.0,9.2,E
metacritic_138,Advance Wars,2001-01-01,Intelligent Systems,Game Boy Advance,92.0,8.8,E
metacritic_139,Rock Band 2,2008-01-01,Harmonix Music Systems,Wii,92.0,7.2,T
metacritic_140,Madden NFL 2004,2003-01-01,EA Tiburon,Xbox,92.0,7.6,E
metacritic_141,Vagrant Story,2000-01-01,SquareSoft,PlayStation,92.0,9.0,T
metacritic_142,What Remains of Edith Finch,2017-01-01,Giant Sparrow,Xbox One,92.0,7.9,T
metacritic_143,Super Street Fighter IV,2010-01-01,Capcom,PS3,92.0,7.8,T
metacritic_144,Sid Meier's Gettysburg!,1997-01-01,Firaxis Games,PC,92.0,7.3,K-A
metacritic_145,Team Fortress 2,2007-01-01,Valve Software,PC,92.0,9.0,M
metacritic_146,World Soccer Winning Eleven 7 International,2004-01-01,KCET,PC,92.0,7.0,E
metacritic_147,Street Fighter 6,2023-01-01,Capcom,PC,92.0,5.1,T
metacritic_148,Super Smash Bros. Melee,2001-01-01,HAL Labs,GameCube,92.0,9.0,T
metacritic_149,System Shock 2,1999-01-01,"Looking Glass Studios,Irrational Games",PC,92.0,9.1,M
metacritic_150,Tom Clancy's Splinter Cell: Chaos Theory,2005-01-01,Ubisoft Montreal,PC,92.0,8.7,M
metacritic_151,ESPN NFL 2K5,2004-01-01,Visual Concepts,Xbox,92.0,8.1,E
metacritic_152,Final Fantasy XII,2006-01-01,Square Enix,PS2,92.0,7.6,T
metacritic_153,Undertale,2017-01-01,"tobyfox,8-4",PS4,92.0,7.3,E10+
metacritic_154,Virtua Tennis,2000-01-01,Hitmaker,Dreamcast,92.0,8.3,E
metacritic_155,Demon's Souls,2020-01-01,"JapanStudio,Bluepoint Games",PlayStation 5,92.0,8.1,M
metacritic_156,Madden NFL 2003,2002-01-01,EA Sports,GameCube,92.0,7.2,E
metacritic_157,Super Mario World: Super Mario Advance 2,2002-01-01,Nintendo,Game Boy Advance,92.0,9.1,E
metacritic_158,Madden NFL 2003,2002-01-01,EA Tiburon,Xbox,92.0,7.1,E
metacritic_159,The Witcher 3: Wild Hunt,2015-01-01,CD Projekt Red Studio,PS4,92.0,9.2,M
metacritic_160,Xenoblade Chronicles 3: Expansion Pass Wave 4 - Future Redeemed,2023-01-01,Monolith Soft,Switch,92.0,8.9,T
metacritic_161,Batman: Arkham Asylum,2009-01-01,Rocksteady Studios,Xbox 360,92.0,8.8,T
metacritic_162,SSX 3,2003-01-01,EA Canada,Xbox,92.0,8.1,E
metacritic_163,Rome: Total War,2004-01-01,Creative Assembly,PC,92.0,9.0,T
metacritic_164,Okami HD,2017-01-01,Capcom,PC,92.0,7.7,T
metacritic_165,Forza Motorsport 3,2009-01-01,Turn 10,Xbox 360,92.0,8.1,E
metacritic_166,Super Mario Sunshine,2002-01-01,Nintendo,GameCube,92.0,8.3,E
metacritic_167,SoulCalibur II,2003-01-01,Namco,Xbox,92.0,8.8,T
metacritic_168,Street Fighter 6,2023-01-01,Capcom,PlayStation 5,92.0,5.6,T
metacritic_169,Cuphead in the Delicious Last Course,2022-01-01,Studio MDHR,Xbox One,92.0,8.5,E10+
metacritic_170,Thief: The Dark Project,1998-01-01,Looking Glass Studios,PC,92.0,8.9,M
metacritic_171,Age of Empires II: The Age of Kings,1999-01-01,Ensemble Studios,PC,92.0,9.0,T
metacritic_172,Undertale,2015-01-01,tobyfox,PC,92.0,8.5,
metacritic_173,Final Fantasy X,2001-01-01,SquareSoft,PS2,92.0,8.9,T
metacritic_174,The Walking Dead: A Telltale Games Series,2012-01-01,Telltale Games,Xbox 360,92.0,8.6,M
metacritic_175,Tony Hawk's Pro Skater,1999-01-01,Neversoft Entertainment,PlayStation,92.0,8.7,T
metacritic_176,Sid Meier's Alpha Centauri,1999-01-01,Firaxis Games,PC,92.0,8.7,E
metacritic_177,Unreal Tournament (1999),1999-01-01,Epic Games,PC,92.0,9.0,M
metacritic_178,Prince of Persia: The Sands of Time,2003-01-01,Ubisoft,GameCube,92.0,8.1,T
metacritic_179,Wave Race 64,1996-01-01,Nintendo,Nintendo 64,92.0,8.3,E
metacritic_180,Divinity: Original Sin II - Definitive Edition,2018-01-01,Larian Studios Games,PS4,92.0,8.0,M
metacritic_181,Rock Band,2007-01-01,Harmonix Music Systems,PS3,92.0,8.1,T
metacritic_182,Fire Emblem: Awakening,2013-01-01,Intelligent Systems,3DS,92.0,9.0,T
metacritic_183,Guitar Hero II,2006-01-01,Harmonix Music Systems,PS2,92.0,8.4,T
metacritic_184,Super Smash Bros. for Wii U,2014-01-01,Bandai Namco Games,Wii U,92.0,8.9,E10+
metacritic_185,Final Fantasy VII,1997-01-01,SquareSoft,PlayStation,92.0,8.9,T
metacritic_186,Conker's Bad Fur Day,2001-01-01,Rare Ltd.,Nintendo 64,92.0,8.9,M
metacritic_187,Galactic Civilizations II: Twilight of the Arnor,2008-01-01,Stardock,PC,92.0,8.3,
metacritic_188,Bayonetta 2,2018-01-01,"Nintendo,PlatinumGames",Switch,92.0,8.6,M
metacritic_189,Final Fantasy XIV: Endwalker,2021-01-01,"Square Enix,Creative Business Unit III",PC,92.0,9.1,
metacritic_190,Chrono Trigger,2008-01-01,TOSE,DS,92.0,9.1,E10+
metacritic_191,PaRappa the Rapper,1997-01-01,NanaOn-Sha,PlayStation,92.0,7.6,K-A
metacritic_192,The ICO & Shadow of the Colossus Collection,2011-01-01,Bluepoint Games,PS3,92.0,8.6,T
metacritic_193,Medal of Honor,1999-01-01,Dreamworks Interactive,PlayStation,92.0,8.9,T
metacritic_194,Xenoblade Chronicles,2012-01-01,Monolith Soft,Wii,92.0,9.1,T
metacritic_195,Journey,2012-01-01,ThatGameCompany,PS3,92.0,8.8,E
metacritic_196,The Witcher 3: Wild Hunt - Blood and Wine,2016-01-01,CD Projekt Red Studio,PC,92.0,9.1,M
metacritic_197,Rayman Origins,2011-01-01,UBlart Montpellier,Wii,92.0,8.7,E10+
metacritic_198,Madden NFL 2005,2004-01-01,EA Tiburon,Xbox,91.0,7.3,E
metacritic_199,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,2020-01-01,Square Enix,Xbox One,92.0,8.5,T
metacritic_200,Metroid Prime 2: Echoes,2004-01-01,Retro Studios,GameCube,92.0,8.9,T
metacritic_201,Mario Kart 8 Deluxe,2017-01-01,Nintendo,Switch,92.0,8.6,E
metacritic_202,Rock Band 2,2008-01-01,Harmonix Music Systems,Xbox 360,92.0,8.2,T
metacritic_203,Final Fantasy VI Advance,2007-01-01,TOSE,Game Boy Advance,92.0,8.7,E10+
metacritic_204,Dark Souls II,2014-01-01,From Software,Xbox 360,91.0,7.9,T
metacritic_205,Rayman Legends,2013-01-01,Ubisoft Montpellier,Wii U,92.0,8.8,E10+
metacritic_206,Rock Band 2,2008-01-01,Harmonix Music Systems,PS3,91.0,8.0,T
metacritic_207,Tiger Woods PGA Tour 2003,2002-01-01,Headgate,PC,92.0,5.0,E
metacritic_208,Super Street Fighter IV,2010-01-01,Capcom,Xbox 360,91.0,7.7,T
metacritic_209,Unavowed,2021-01-01,Wadjet Eye Games,Switch,91.0,8.4,T
metacritic_210,Out of the Park Baseball 17,2016-01-01,Out Of The Park Developments,PC,92.0,3.3,
metacritic_211,Pac-Man Championship Edition DX,2010-01-01,Namco Bandai Games,PS3,91.0,7.8,E
metacritic_212,Metroid Fusion,2002-01-01,Nintendo,Game Boy Advance,92.0,9.0,E
metacritic_213,Microsoft Flight Simulator,2020-01-01,Asobo Studio,PC,91.0,7.2,E
metacritic_214,Dishonored,2012-01-01,Arkane Studios,PC,91.0,8.5,M
metacritic_215,ESPN NFL Football,2003-01-01,Visual Concepts,PS2,91.0,8.5,E
metacritic_216,Myth: The Fallen Lords,1997-01-01,"Bungie Software,Bungie",PC,91.0,8.5,M
metacritic_217,Diablo IV,2023-01-01,Blizzard Entertainment,Xbox Series X,91.0,2.7,M
metacritic_218,Medal of Honor: Allied Assault,2002-01-01,2015,PC,91.0,8.5,T
metacritic_219,INSIDE,2018-01-01,PLAYDEAD,Switch,91.0,8.6,M
metacritic_220,Guitar Hero,2005-01-01,Harmonix Music Systems,PS2,91.0,8.5,T
metacritic_221,Rock Band 3,2010-01-01,Backbone Entertainment,Wii,91.0,6.8,T
metacritic_222,LittleBigPlanet 2,2011-01-01,Media Molecule,PS3,91.0,8.6,E
metacritic_223,Tony Hawk's Pro Skater 4,2002-01-01,Neversoft Entertainment,GameCube,91.0,8.2,T
metacritic_224,The Witcher 3: Wild Hunt,2015-01-01,CD Projekt Red Studio,Xbox One,91.0,9.1,M
metacritic_225,F1 Challenge '99-'02,2003-01-01,Electronic Arts,PC,91.0,7.9,E
metacritic_226,World of Warcraft: Wrath of the Lich King,2008-01-01,Blizzard Entertainment,PC,91.0,7.7,T
metacritic_227,Overwatch,2016-01-01,Blizzard Entertainment,PC,91.0,6.4,T
metacritic_228,Chained Echoes,2022-01-01,Matthias Linda,PC,91.0,8.5,
metacritic_229,I Was a Teenage Exocolonist,2022-01-01,Northway Games,PC,91.0,7.8,
metacritic_230,Metroid Prime Trilogy,2009-01-01,Retro Studios,Wii,91.0,9.2,T
metacritic_231,Madden NFL 2001,2000-01-01,EA Sports,PS2,91.0,7.6,E
metacritic_232,Baldur's Gate,1998-01-01,BioWare,PC,91.0,8.9,T
metacritic_233,Metal Gear Solid V: The Phantom Pain,2015-01-01,Kojima Productions,PC,91.0,7.9,M
metacritic_234,Resident Evil (2002),2002-01-01,Capcom,GameCube,91.0,9.6,M
metacritic_235,IL-2 Sturmovik,2001-01-01,"1C,1C Entertainment",PC,91.0,8.6,T
metacritic_236,FreeSpace 2,1999-01-01,Volition Inc.,PC,91.0,8.7,E
metacritic_237,Rock Band 3,2010-01-01,Harmonix Music Systems,PS3,91.0,8.1,T
metacritic_238,Metal Gear Solid 3: Snake Eater,2004-01-01,KCEJ,PS2,91.0,8.1,M
metacritic_239,Bayonetta 2,2014-01-01,PlatinumGames,Wii U,91.0,8.9,M
metacritic_240,Ratchet & Clank: Up Your Arsenal,2004-01-01,Insomniac Games,PS2,91.0,9.0,T
metacritic_241,Mario Tennis,2000-01-01,Camelot Software Planning,Nintendo 64,91.0,8.7,E
metacritic_242,Klonoa 2: Lunatea's Veil,2001-01-01,Namco,PS2,91.0,8.7,E
metacritic_243,Colony Wars,1997-01-01,Psygnosis,PlayStation,91.0,8.3,E
metacritic_244,Tomb Raider,1996-01-01,Core Design Ltd.,PlayStation,91.0,8.3,T
metacritic_245,Overwatch,2016-01-01,Blizzard Entertainment,Xbox One,91.0,5.9,T
metacritic_246,Spyro: Year of the Dragon,2000-01-01,Insomniac Games,PlayStation,91.0,8.9,E
metacritic_247,FIFA Soccer 10,2009-01-01,EA Sports,PS3,91.0,7.5,E
metacritic_248,Sekiro: Shadows Die Twice,2019-01-01,From Software,Xbox One,91.0,9.0,M
metacritic_249,Twisted Metal: Black,2001-01-01,Incognito Inc.,PS2,91.0,8.4,M
metacritic_250,Assassin's Creed II,2009-01-01,Ubisoft Montreal,PS3,91.0,8.7,M
metacritic_251,Resident Evil 4: Wii Edition,2007-01-01,Capcom,Wii,91.0,9.0,M
metacritic_252,Sea of Stars,2023-01-01,Sabotage Studio,Switch,91.0,8.4,E10+
metacritic_253,Shadow of the Colossus,2005-01-01,SCE Japan Studio,PS2,91.0,9.1,T
metacritic_254,Forza Horizon 3,2016-01-01,Playground Games,Xbox One,91.0,8.1,E
metacritic_255,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,2019-01-01,Square Enix,Switch,91.0,8.6,T
metacritic_256,Peggle,2009-01-01,PopCap,PS3,91.0,7.4,E
metacritic_257,Forza Horizon 5,2021-01-01,Playground Games,PC,91.0,6.7,E
metacritic_258,Sonic Mania Plus,2018-01-01,"Sega,Tantalus",Switch,91.0,8.7,E
metacritic_259,The Legend of Zelda: Ocarina of Time / Master Quest,2003-01-01,Nintendo,GameCube,91.0,8.9,E
metacritic_260,Dead Cells,2018-01-01,Motion Twin,Xbox One,91.0,8.2,T
metacritic_261,Tom Clancy's Splinter Cell,2003-01-01,Ubisoft Montreal,PC,91.0,8.5,T
metacritic_262,Borderlands 2,2012-01-01,Gearbox Software,PS3,91.0,8.3,M
metacritic_263,Final Fantasy XIV: Shadowbringers,2019-01-01,Square Enix,PS4,91.0,8.9,T
metacritic_264,NCAA Football 2003,2002-01-01,EA Sports,PS2,91.0,8.3,E
metacritic_265,Shadow of the Colossus,2018-01-01,"Bluepoint Games,SCE Japan Studio",PS4,91.0,7.8,T
metacritic_266,Crysis,2007-01-01,Crytek,PC,91.0,8.1,M
metacritic_267,Kentucky Route Zero - Act III,2014-01-01,Cardboard Computer,PC,91.0,6.6,
metacritic_268,God of War: Chains of Olympus,2008-01-01,Ready at Dawn,Playstation Portable,91.0,8.8,M
metacritic_269,DOA2: Hardcore,2000-01-01,Team Ninja,PS2,91.0,8.0,T
metacritic_270,Yoshi's Island: Super Mario Advance 3,2002-01-01,Nintendo,Game Boy Advance,91.0,9.1,E
metacritic_271,Ninja Gaiden,2004-01-01,Team Ninja,Xbox,91.0,8.8,M
metacritic_272,MLB 10: The Show,2010-01-01,SCEA,PS3,91.0,7.8,E
metacritic_273,NCAA Football 2003,2002-01-01,EA Sports,GameCube,91.0,6.0,E
metacritic_274,World of Warcraft: The Burning Crusade,2007-01-01,Blizzard Entertainment,PC,91.0,6.0,T
metacritic_275,Tiger Woods PGA Tour 2005,2004-01-01,Headgate,PC,91.0,4.0,E
metacritic_276,ESPN NFL Football,2003-01-01,Visual Concepts,Xbox,91.0,7.8,E
metacritic_277,Galactic Civilizations II: Dark Avatar,2007-01-01,Stardock,PC,91.0,7.9,
metacritic_278,Batman: Arkham Asylum,2009-01-01,Rocksteady Studios,PC,91.0,8.6,T
metacritic_279,Star Wars Jedi Knight: Dark Forces II,1997-01-01,LucasArts,PC,91.0,8.6,T
metacritic_280,The Witcher 3: Wild Hunt - Blood and Wine,2016-01-01,CD Projekt Red Studio,PS4,91.0,9.2,M
metacritic_281,The Longest Journey,2000-01-01,Funcom,PC,91.0,8.7,M
metacritic_282,The Operative: No One Lives Forever,2000-01-01,Monolith Productions,PC,91.0,8.7,M
metacritic_283,Resident Evil 4,2023-01-01,Capcom,Xbox Series X,91.0,6.3,M
