id,name,artist,tracks_track-name
lastfm-0109,There Are No Right Angles Found In Nature,Eighty M. Beach,"['There Are No Right Angles Found In Nature', 'There Are No Right Angles Found In Nature (Soulstice Remix)', 'There Are No Right Angles Found In Nature (Thievery Corporation Remix)', 'What We Did Last Summer']"
lastfm-0110,We Belong in This  Together,Stereo M.,
lastfm-0111,Get Into The Music,DJ's Rule,"['Get Into The Music (97 Anthem Radio Edit)', 'Get Into The Music (Rhythm Masters Radio Edit)', 'Get Into The Music (Rhythm Masters Club Mix)', 'Get Into The Music (Rhythm Masters Dub Mix)', 'Get Into The Music (Skindeep Remix)']"
lastfm-0112,Present Tense,DJ Zinc,"['Casino Royale (remix)', 'Ska', 'Attitude Sickness', 'Invisible Ink']"
lastfm-0113,On The Painted Desert - Rampant Colors,B. Boom Satellites,"['Def', 'Oneness', 'Vocal Mix Featuring Dice', 'Dj Krush Remix', 'Tanzmuzik Remix', 'Push Eject / Howie B.Remix', 'Sandwicked Version']"
lastfm-0114,Tempesta,Statik Sound System,"['Free to Choose, Hard to Be', 'Living in Essential Times', 'Jack', 'Essential Times', 'Sonar', 'Amazed By You', 'Dr Wheeler', 'Valentine', 'Dreams of Mine', 'Hear My Plea', 'Seven Shades', '[untitled]']"
lastfm-0115,Liberation,Matt Darey,
lastfm-0116,Confessions EP,E-Smoove,
lastfm-0117,DoppelgÃƒÂ¤nger,Niels v. Gogh,
lastfm-0118,Bang Bang You're Mine,Bang The Party,
lastfm-0119,Dangerous,D. Taylor,"['Dangerous', 'Traffic']"
lastfm-0120,- new - Come On Die Young,Glasgow Gangster F.,
lastfm-0121,Squarepusher -  Hard Normal Daddy,Squarepusher,"['Coopers World', 'Beep Street', 'Rustic Raver', 'Anirog D9', 'Chin Hippy', 'Papalon', 'E8 Boogie', 'Fat Controller', 'Vic Acid', 'Male Pill Part 13', ""Rat/P's and Q's"", 'Rebus']"
lastfm-0122,Bricolage,Amon Tobin,"['Stoney Street', 'Easy Muffin', 'Creatures', 'Chomp Samba', 'New York Editor', 'The Nasty', 'Wires & Snakes', 'Dream Sequence', 'One Small Step']"
lastfm-0123,The Music In My Mind,The Monolith,"['Carpenta', 'I-Yaz', 'Nextphaze (Splinterfaction mix)']"
lastfm-0124,- new - Echoes Pt. 1,Mhonolink,
lastfm-0125,Spiritualized,Bravemusic,Spiritualized (Mark Wheawill's 'Eat Your Heart Out Baby Dub')
lastfm-0126,Monster Remixes,Multipara,"['Pocket Monster Buy!Buy!Buy (remix)', 'Deep Pocket, Cute Monster', 'Monster Out Of The Pocket Amx', 'pocket monster', '4-Framecomicstripmix', 'Pocket Monster (Extra Life)', 'pocket monster 2000 (feat. blaxista)', 'Tilt! Tilt! Tilt! M:X']"
lastfm-0127,Riot Frequencies,S. Responses,"['Synthaseizure', 'Structural Damage', 'Pain City', 'Alien Code 0010', 'Cyborg Sex', ""Fury's Theme"", ""Don't Fuck With an S.R."", 'Virtual Earth', 'Phlegaton C2', 'Flesheaters', 'Track 221294']"
lastfm-0128,Electronic Noise EP,Relic,"['[untitled]', '[untitled]', '[untitled]']"
lastfm-0129,Placebo Effect,Luygi V.,"['Plaect', 'Luup', 'Luup', 'effebo', 'feclac']"
lastfm-0130,Sweet  Lemonade,Khan,"Sweet Pink Lemonade, Part I"
lastfm-0131,The Ambush / Fearless Calypso,Twintone,"['The Ambush', 'Fearless Calypso']"
lastfm-0132,T. Wishmaster -  Slave of the Empire EP,T. Wishmaster,"[""Now Please Don't Panic"", 'Slave Of The Empire', 'Take A Little Time']"
lastfm-0133,Inside  Outside,Trans-Dimensional Voice,"['Temptation', 'Frustration', 'Restoration', 'Reincarnation Part I', 'Reincarnation Part II', 'Infinitely Frayed Boundary', 'Audible Vision']"
lastfm-0134,Diamond,D. Kaos,Diamond Eyes
lastfm-0135,Electronic  Return,Pimmon,"['yemdatem', 'Beach Party', 'Vovul Lj', 'smiggins whole / loss', 'Ditoko', 'Slow Burn Friends/ Dub Aquanauts', 'Arc of Crown and Feather', 'Pulsebuzzkid']"
lastfm-0136,Oporto Deep Cuts,OLN,"['Reboot 144 (Acid Error mix)', 'Reboot 144 (Original Mix)', 'Places Of Pleasure (Sound System)', 'Places Of Pleasure (Original Mix)']"
lastfm-0137,Diversification EP,Mooz,"['Pariah', 'some of that', 'the voice inside', 'Relax']"
lastfm-0138,*popular* Spiritual Interface,Set Up System,"['Spiritual Interface', 'Factory (Parallax Mix)', 'Gyrate', 'Factory (Sublimation Mix)']"
lastfm-0139,Elevator / Odyssey,The Sorcerer,"['The Elevator (Up & Down mix)', 'Odyssey']"
lastfm-0140,Fu*k The Millennium,The Ganja Kru,"['Science', 'Forbidden fruit', 'Noise', 'Politrix', 'Species (feat. DJ Daddy)', 'Ghetto Brother', 'Pink Panther (Runaways Remix)']"
lastfm-0141,Discography (The Complete Singles Collection),P. Shop Boys,
lastfm-0142,James Din A. -  i am the very model of a modern mutant replicant,James Din A.,"['21.12.2013', 'Ricky Kelly King', 'Knust', 'Modern Mutant Replicant', 'Flaming Creature']"
lastfm-0143,Elevator 3,C. Duca,"['Car', 'Faith One', 'Quiet Nights Intro', 'Quiet Nights', 'Mid a4', 'Stim', 'Fl Peak', 'Plasma', 'MacIntosh Suite', 'Digital Basics', 'Geister', 'Laura', 'Rev', 'Slip & Slide', 'Love b3', 'Lalo', 'Scream', 'Dark Perc', 'Tristan', 'Sounds in the Night', 'Evie Peak', 'Fire', 'Earth', 'Lo', 'Mid', 'Hi', 'Rec 4', 'Giant Swing', 'Japan', 'Schweb', 'Bliss', 'Manc', 'Syte', 'Gunshot', 'Schwirr', 'Uranus', 'Click & Roll', 'Misty', 'Metal', 'Dorf', 'Nave', 'Alpine Bells', 'Walzer', 'Serge b1', 'Tubbies', 'Soul', 'Midnight', 'm2']"
lastfm-0144,Chrome,Etnica,"['Nervous (Etnica Remix)', 'Detonator', 'Vco', 'Dervish (Wasted Remix)', 'Liquid Forms', 'Are we Safe?', 'Like a Diamond', 'Solaris', 'Tracktor Activity']"
lastfm-0145,Raver's Damnation,Omar Santana,"[""Raver's Damnation (Omar Santana & Evan Lewis Mix)"", ""Raver's Damnation (Original Mix)"", ""Raver's Damnation (Evilz & DJ Fixx Remix)""]"
lastfm-0146,Faithless -  Reverence,Faithless,"['Reverence', ""Don't Leave"", 'Salva Mea', ""If Lovin' You Is Wrong"", 'Angeline', 'Insomnia', ""Dirty Ol' Man"", 'Flowerstand Man', 'Baseball Cap', 'Drifting Away', 'Insomnia (Monster Mix/Radio Edit)', 'Salva Mea (Way Out West remix)', 'Salva Mea (Way Out West Mix)', ""Don't Leave (Floating Remix)"", ""Insomnia (Armand's European Vacation Mix)"", 'Insomnia (Armands European Vacation mix)', 'Insomnia (Moody Mix)', 'Drifting Away - Paradiso Remix', ""Reverence - Tamsin's Re-Fix"", ""Don't Leave - Floating Remix"", 'Insomnia - Moody Mix', 'Baseball Dub - Cheeky All Stars Remix', 'Angeline - the Innocents Remix', 'Salva Mea - Way Out West Mix', ""Insomnia - Armand's European Vacation Mix"", ""Flowerstand Man - Matty's Remix"", ""Flowerstand Man (Matty's Remix)"", 'Angeline (The Innocents Remix)', ""Reverence (Tamsin's Re-Fix)"", 'Soundcheck Jam', 'Drifting Away (Paradiso Remix)', 'Baseball Dub (Cheeky All Stars Remix)']"
lastfm-0147,The Drift,Tipple,
lastfm-0148,Support / Cerulean Seas,Future Engineers,"['Life Support', 'Cerulean Seas']"
lastfm-0149,Hidden,4D,
lastfm-0150,The Savage And Beyond,Tronikhouse,"['The Savage And Beyond (Savage Reese Mix)', 'The Savage And Beyond (African Beast Mix)', 'multifunction (multi-mix)']"
lastfm-0151,Warning,Locutus,"['Fair Warning', 'Close Proximity', 'Full Moon', 'Weeping Darkness']"
lastfm-0152,King Kong Of The Dance Floor,Fu-Tourist,"['King Kong Of The Dance Floor', 'King Kong Of The Dance Floor (Sugar Vision Remix)']"
lastfm-0153,Electronic Dance,Omicron,
lastfm-0154,15 electronic pieces,Gunter A.,"['Brussels', 'hungary', 'madras (less restless)', 'antwerp (may i take one close to yours?)', 'cancun', 'newcastle (johnny vaughn tanzparty)', 'madurai (dark sunglasses)', 'lyon (contre-jour shot)', 'Rome', 'helsinki', 'dusseldorf', 'liÃƒÂ¨ge (samarinda)']"
lastfm-0155,Album: 2002 Classics,D. PIT,
lastfm-0156,Bass Time Continuum,B. Junkie,"['Bass Time Continuum', 'R-M-T-S', 'Bass Below & Beyond', 'Listen to the Beat (V2.0)', 'A New Order of Intelligence', 'Breakers Throwdown (Final Battle mix)', 'Welcome to Futura', 'Hyper-Bass', 'Back in the Jungle', 'Return of the OVC', 'Bass Mutant (Re-Mutated)', 'A Bass Odyssey', 'Sound and Motion']"
lastfm-0157,nine lives,The Underwolves,"['Nine Lives (Version Wildlife)', 'Nine Lives (Version My LIfe)']"
lastfm-0158,Album: Don't Stop The Music,S. Dragolgo,"['Action', 'Angela', 'Beatnix', 'Deep Angel', 'Dip Switch', 'Early Bird', 'Elec-Love', 'Sister', 'Good Morning']"
lastfm-0159,Hears  the Future,Justice,"['Two thousand moments', ""Wack MC's"", 'Cycle II', 'Beat drop', 'Faith & Reason', 'Monk rock', 'Suburbs']"
lastfm-0160,Beyond The,DJ Slugo,
lastfm-0161,The Congo Natty EP,C. Natty,
lastfm-0162,Butterfly / Rendezvous,Tilt,
lastfm-0163,Blackout,L. Louis,
lastfm-0164,Brothers,Ronny Jordan,"['The Jackal (The Illest Mix)', 'S**t Goes Down (But I Got Phunked Up Mix)', 'Love I Never Had It So Good', ""So What! (Tuff 'N' Smooth Mix)"", 'Season For Change (Dawn Of The Season Mix)', 'Bad Brother (How Ya Like My Wheel Mix)']"
lastfm-0165,The Garbage Man 1,T. Garbage Man,
lastfm-0166,Face The Future,Richi M,"['Face the future', '- Ancient Sumeria', '- Face The Future', 'Face The Future (Boiler Remix)', '- Get Kinky', 'Face The Future (Filterheadz Remix)', '- Live in a Dream', '- Progressive', ""- Lily's Back"", '- United Colours', '- Inside of me 1.0', '- Sons of Heaven']"
lastfm-0167,Future Platform,M.I.K.E.,"['Elements of Life', 'The Running Night']"
lastfm-0168,Addvibe -  Brothers,Addvibe,
lastfm-0169,Sirconical -  Make The Music With Your Mouse,Sirconical,"['Pear', 'Choppy', 'Cottonopolis']"
lastfm-0170,Beyond and Back,Paranoid A.,"['Beyond and Back (dirty) (feat. Cage, Masai Bey, Space)', 'Beyond And Back (Instrumental)', 'Last House on the Left (dirty) (feat. Cage, Masai Bey, Space)', 'Last House on the Left (clean) (feat. Cage, Masai Bey, Space)', 'Last House On The Left (Instrumental)']"
lastfm-0171,Imsoniak: I'll Be Your Nightmare,The Grooveman,"[""Imsoniak: I'll Be Your Nightmare (vocal mix)"", ""Imsoniak: I'll Be Your Nightmare (Pumping mix)"", ""Imsoniak: I'll Be Your Nightmare (Industrial Mix)"", ""Imsoniak: I'll Be Your Nightmare (Innercity mix)"", ""Imsoniak: I'll Be Your Nightmare (Symphony mix)""]"
lastfm-0172,Another,Colours,Wally Lopez Weekend Remk
lastfm-0173,God Bless The Conspiracy,Sandoz,"['Lights In The Sky', 'Demonology', 'Louisiana', 'Levels', 'Blow (This Mother Up)', 'The Moon Rises']"
lastfm-0174,Digitonal -  23 Things Fall Apart,Digitonal,"['Come and Play', 'Seraphim', 'Over Line', 'Black Box', 'Break Beat Phase', 'Drencrom', 'Carcause']"
lastfm-0175,Broken,Doormouse,"['Peter B. Beautiful', 'Handslum', 'flatter platter play boy batter', 'Puddy Tairs', 'God Hates to Ball', ""Russell's Never Ending Rack"", 'Full Frontal Face Fire', 'Up In The Sky (Remix)', 'No Fool', 'Warleg', 'Gangster of Buh', 'Finger High', 'Infectisound', 'Bacon']"
lastfm-0176,Copper Blue EP,T. Rip-Off Artist,Mercury... is that a metal?
lastfm-0177,Turn Up The Music (The Remixes),Dr. Baker,
lastfm-0178,Black Album,L.S.G.,"['The Train of Thought V 0.9', 'The Train of Thought V 1.1', 'Go Fishing', 'Rotation', '88', 'Hellfire', 'Deep Blue']"
lastfm-0179,Vessel / Fragment,Black Sun Empire,"['Vessel', 'Fragment']"
lastfm-0180,[explicit] Whitehouse Classics - Volume 2,Remarc,
lastfm-0181,Spiritually Speaking,Blaze,"['Melodies of Love', 'If You Should Need a Friend', 'Breathe', 'All That I Should Know', 'Gloria Muse (The Yoga Song)', 'So Special', 'Do You Remember House?', 'Good Life', 'Wishing You Were Here', 'Elevation', 'Where You Are', 'How Deep Is Your Love', 'I Think of You', 'Black Byrd Interlude / Spiritually Speaking', 'Elements of Life', 'We Are One', 'Roots Interlude', 'We Are One (Bonus Track)', 'Black Byrd', 'Black Byrd Flying Free', 'World Peace']"
lastfm-0182,Belong,Spooky,"['Belong (Radio Mix)', 'Belong (Echospace Mix)', 'Belong (Splinter Mix)', 'Belong (Flangescopic Dub)', 'Belong (Echospace Dub)']"
lastfm-0183,Goblin 101,MAT101,Goblin 101
lastfm-0184,[explicit] Madstock...The Continuing Adventures Of Bubblecar Fish,Candy F.,
lastfm-0185,Surrender Yourself,T. Daou,
lastfm-0186,ElectroniCAT,Electronicat,"['Hot Spectrum', 'Twilight', 'Le Petit Homme Vert', 'Salooncore', 'Wawawa', 'Blob Me Babe']"
lastfm-0187,[explicit] Monster,L. People,"['Monster (Original Instrumental)', ""Monster (Sebastien Leger's Monster Remix)"", ""Monster (Sebastien Leger's Monster Dub)"", 'Monster (Cricco Castelli Remix)', 'Monster (Kidstuff Take the Helm)', 'Monster (Liquid Metal Mix)']"
lastfm-0188,Purple,Yantra,
lastfm-0189,Jazz Ascension,9. North,"['Jazz Ascension (Red Soul Mix)', 'Jazz Ascension (Red Dub)', 'Jazz Ascension (Hard Dub)', 'Jazz Ascension (Washapella)']"
lastfm-0190,Vessels,Sidhe,
