use_case,dataset,matcher,matcher_type,threshold,num_predicted,num_ground_truth,tp,fp,fn,precision,recall,f1
companies,forbes,label_jaccard,label,0.3,1,7,1,0,6,1.0,0.14285714285714285,0.25
companies,forbes,label_levenshtein,label,0.3,4,7,2,2,5,0.5,0.2857142857142857,0.36363636363636365
companies,forbes,label_jaro_winkler,label,0.3,52,7,6,46,1,0.11538461538461539,0.8571428571428571,0.20338983050847456
companies,forbes,label_cosine,label,0.3,1,7,1,0,6,1.0,0.14285714285714285,0.25
companies,forbes,instance_tfidf_cosine,instance,0.3,3,7,2,1,5,0.6666666666666666,0.2857142857142857,0.4
companies,forbes,instance_tf_cosine,instance,0.3,2,7,2,0,5,1.0,0.2857142857142857,0.4444444444444445
companies,forbes,instance_binary_jaccard,instance,0.3,0,7,0,0,7,0.0,0.0,0.0
companies,fullcontact,label_jaccard,label,0.3,1,6,1,0,5,1.0,0.16666666666666666,0.2857142857142857
companies,fullcontact,label_levenshtein,label,0.3,1,6,1,0,5,1.0,0.16666666666666666,0.2857142857142857
companies,fullcontact,label_jaro_winkler,label,0.3,49,6,5,44,1,0.10204081632653061,0.8333333333333334,0.18181818181818182
companies,fullcontact,label_cosine,label,0.3,1,6,1,0,5,1.0,0.16666666666666666,0.2857142857142857
companies,fullcontact,instance_tfidf_cosine,instance,0.3,2,6,2,0,4,1.0,0.3333333333333333,0.5
companies,fullcontact,instance_tf_cosine,instance,0.3,2,6,2,0,4,1.0,0.3333333333333333,0.5
companies,fullcontact,instance_binary_jaccard,instance,0.3,0,6,0,0,6,0.0,0.0,0.0
