Attribute_1,name,releaseYear,developer,publisher,platform,criticScore,userScore,ESRB,sales
sales_60,Pokémon Platinum Version,2008-01-01,Game Freak,Nintendo,DS,83,8.5,E,7
sales_61,Grand Theft Auto: Liberty City Stories,2005-01-01,Rockstar Leeds,Take-Two Interactive,Playstation Portable,88,7.6,M,7
sales_62,Call of Duty: Advanced Warfare,2014-01-01,Sledgehammer Games,Activision,PS4,83,5.7,M,7
sales_63,FIFA 17,2016-01-01,"EA Sports, EA Vancouver",Electronic Arts,PS4,85,5.0,E,7
sales_64,Super Mario Galaxy 2,2010-01-01,Nintendo EAD Tokyo,Nintendo,Wii,97,9.1,E,7
sales_65,Call of Duty: World at War,2008-01-01,Treyarch,Activision,Xbox 360,84,7.6,M,7
sales_66,Battlefield 3,2011-01-01,EA DICE,Electronic Arts,Xbox 360,84,7.4,M,7
sales_67,Need for Speed Underground,2003-01-01,EA Black Box,Electronic Arts,PS2,85,8.6,E,7
sales_68,Just Dance,2009-01-01,Ubisoft Paris,Ubisoft,Wii,49,8.0,E10+,7
sales_69,Battlefield 3,2011-01-01,EA DICE,Electronic Arts,PS3,85,7.5,M,7
sales_70,Fallout 4,2015-01-01,Bethesda Game Studios,Bethesda Softworks,PS4,87,6.5,M,7
sales_71,Tekken 3,1998-01-01,Namco,Sony Computer Entertainment,Playstation,96,9.1,T,7
sales_72,The Legend of Zelda: Twilight Princess,2006-01-01,Nintendo,Nintendo,Wii,95,9.0,T,7
sales_73,Crash Bandicoot 3: Warped,1998-01-01,Naughty Dog,Sony Computer Entertainment,Playstation,91,8.9,E,7
sales_74,Mario Kart 8,2014-01-01,Nintendo,Nintendo,WiiU,88,9.1,E,7
sales_75,Super Smash Bros. Melee,2001-01-01,HAL Labs,Nintendo,GameCube,92,9.1,T,7
sales_76,Need for Speed Underground 2,2004-01-01,EA Canada,Electronic Arts,PS2,82,8.6,E,6
sales_77,Medal of Honor: Frontline,2002-01-01,EA LA,Electronic Arts,PS2,88,8.5,T,6
sales_78,Just Dance 4,2012-01-01,Ubisoft,Ubisoft,Wii,74,7.3,E10+,6
sales_79,Gears of War 2,2008-01-01,Epic Games,Microsoft Game Studios,Xbox 360,93,7.7,M,6
sales_80,Uncharted 3: Drake's Deception,2011-01-01,Naughty Dog,Sony Computer Entertainment,PS3,92,8.3,T,6
sales_81,Call of Duty 4: Modern Warfare,2007-01-01,Infinity Ward,Activision,PS3,94,8.4,M,6
sales_82,Uncharted 2: Among Thieves,2009-01-01,Naughty Dog,Sony Computer Entertainment,PS3,96,8.8,T,6
sales_83,Big Brain Academy,2005-01-01,Nintendo,Nintendo,DS,74,7.4,E,6
sales_84,Red Dead Redemption,2010-01-01,Rockstar San Diego,Take-Two Interactive,PS3,95,8.8,M,6
sales_85,FIFA 14,2013-01-01,EA Canada,Electronic Arts,PS3,86,4.3,E,6
sales_86,Assassin's Creed III,2012-01-01,Ubisoft,Ubisoft,PS3,85,6.9,M,6
sales_87,Donkey Kong Country Returns,2010-01-01,Retro Studios,Nintendo,Wii,87,8.6,E,6
sales_88,Halo: Combat Evolved,2001-01-01,Bungie Software,Microsoft Game Studios,Xbox,97,8.6,M,6
sales_89,The Elder Scrolls V: Skyrim,2011-01-01,Bethesda Game Studios,Bethesda Softworks,PS3,92,6.4,M,6
sales_90,Pokémon Emerald Version,2004-01-01,Game Freak,Nintendo,Game Boy Advance,76,9.0,E,6
sales_91,Kingdom Hearts,2002-01-01,SquareSoft,Sony Computer Entertainment,PS2,85,8.8,E,6
sales_92,Halo 3: ODST,2009-01-01,"Bungie Software, Bungie",Microsoft Game Studios,Xbox 360,83,7.1,M,6
sales_93,Red Dead Redemption,2010-01-01,Rockstar San Diego,Take-Two Interactive,Xbox 360,95,9.0,M,6
sales_94,Super Mario Sunshine,2002-01-01,Nintendo,Nintendo,GameCube,92,8.6,E,6
sales_95,World of Warcraft,2004-01-01,Blizzard Entertainment,Activision,PC,93,7.3,T,6
sales_96,Driver,1999-01-01,Reflections Interactive,GT Interactive,Playstation,87,8.1,T,6
sales_97,Gears of War 3,2011-01-01,Epic Games,Microsoft Game Studios,Xbox 360,91,7.8,M,6
sales_98,Kinect Sports,2010-01-01,Rare Ltd.,Microsoft Game Studios,Xbox 360,73,7.4,E10+,6
sales_99,Gears of War,2006-01-01,Epic Games,Microsoft Game Studios,Xbox 360,94,8.3,M,6
sales_100,FIFA 15,2014-01-01,EA Sports,Electronic Arts,PS4,82,5.7,E,6
sales_101,Metal Gear Solid 2: Sons of Liberty,2001-01-01,KCEJ,Konami Digital Entertainment,PS2,96,8.7,M,6
sales_102,Metal Gear Solid,1998-01-01,KCEJ,Konami Digital Entertainment,Playstation,94,9.4,M,6
sales_103,Metal Gear Solid 4: Guns of the Patriots,2008-01-01,Kojima Productions,Konami Digital Entertainment,PS3,94,8.7,M,5
sales_104,Final Fantasy XII,2006-01-01,Square Enix,Square Enix,PS2,92,7.6,T,5
sales_105,The Last of Us,2013-01-01,Naughty Dog,Sony Computer Entertainment Europe,PS3,95,9.1,M,5
sales_106,LittleBigPlanet,2008-01-01,"SCE/WWS, Media Molecule",Sony Computer Entertainment,PS3,95,6.8,E,5
sales_107,Resident Evil 2,1998-01-01,Capcom,Virgin Interactive,Playstation,89,9.2,M,5
sales_108,Dragon Quest IX: Sentinels of the Starry Skies,2009-01-01,Level 5,Nintendo,DS,87,8.8,E10+,5
sales_109,Tekken 2,1996-01-01,Namco,Sony Computer Entertainment,Playstation,89,8.9,T,5
sales_110,Destiny,2014-01-01,"Bungie Software, Bungie",Activision,PS4,76,6.1,T,5
sales_111,LEGO Star Wars: The Complete Saga,2007-01-01,Traveller's Tales,LucasArts,Wii,80,8.9,E10+,5
sales_112,Cooking Mama,2006-01-01,Taito Corporation,505 Games,DS,67,7.2,E,5
sales_113,Assassin's Creed II,2009-01-01,Ubisoft Montreal,Ubisoft,PS3,91,8.6,M,5
sales_114,Assassin's Creed,2007-01-01,Ubisoft Montreal,Ubisoft,Xbox 360,81,7.7,M,5
sales_115,Forza Motorsport 3,2009-01-01,Turn 10,Microsoft Game Studios,Xbox 360,92,8.0,E,5
sales_116,Super Mario Advance,2001-01-01,Nintendo,Nintendo,Game Boy Advance,84,7.8,E,5
sales_117,Monster Hunter Freedom Unite,2008-01-01,Capcom,Capcom,Playstation Portable,81,8.7,T,5
sales_118,Batman: Arkham City,2011-01-01,Rocksteady Studios,Warner Bros. Interactive Entertainment,PS3,96,8.6,T,5
sales_119,Grand Theft Auto V,2014-01-01,Rockstar North,Take-Two Interactive,XOne,97,7.9,M,5
sales_120,Mario Kart: Super Circuit,2001-01-01,Intelligent Systems,Nintendo,Game Boy Advance,93,8.3,E,5
sales_121,Crash Bandicoot: The Wrath of Cortex,2001-01-01,Traveller's Tales,Universal Interactive,PS2,66,7.1,E,5
sales_122,Call of Duty: World at War,2008-01-01,Treyarch,Activision,PS3,85,7.6,M,5
sales_123,Uncharted 4: A Thief's End,2016-01-01,Naughty Dog,Sony Computer Entertainment,PS4,93,7.9,T,5
sales_124,Final Fantasy XIII,2009-01-01,Square Enix,Square Enix,PS3,83,7.3,T,5
sales_125,Final Fantasy IX,2000-01-01,SquareSoft,SquareSoft,Playstation,94,8.9,T,5
sales_126,Assassin's Creed III,2012-01-01,Ubisoft,Ubisoft,Xbox 360,84,6.7,M,5
sales_127,Final Fantasy X-2,2003-01-01,SquareSoft,Electronic Arts,PS2,85,6.6,T,5
sales_128,Call of Duty: Advanced Warfare,2014-01-01,Sledgehammer Games,Activision,XOne,81,5.4,M,5
sales_129,Assassin's Creed II,2009-01-01,Ubisoft Montreal,Ubisoft,Xbox 360,90,8.8,M,5
sales_130,New Super Mario Bros. U,2012-01-01,Nintendo,Nintendo,WiiU,84,8.1,E,5
sales_131,Dragon Quest VIII: Journey of the Cursed King,2004-01-01,Level 5,Square Enix,PS2,89,8.8,T,5
sales_132,Professor Layton and the Curious Village,2007-01-01,Level 5,Nintendo,DS,85,8.6,E,5
sales_133,FIFA Soccer 13,2012-01-01,Electronic Arts,Electronic Arts,Xbox 360,90,6.1,E,5
sales_134,Diablo III,2012-01-01,Blizzard Entertainment,Activision,PC,88,4.0,M,5
sales_135,Medal of Honor: Rising Sun,2003-01-01,EA LA,Electronic Arts,PS2,68,7.6,T,5
sales_136,Guitar Hero II,2006-01-01,Harmonix Music Systems,RedOctane,PS2,92,8.5,T,5
sales_137,Fable III,2010-01-01,Lionhead Studios,Microsoft Game Studios,Xbox 360,80,6.5,M,5
sales_138,Resident Evil 5,2009-01-01,Capcom,Capcom,PS3,84,7.5,M,5
sales_139,The Legend of Zelda: Phantom Hourglass,2007-01-01,Nintendo,Nintendo,DS,90,8.0,E,5
sales_140,FIFA Soccer 11,2010-01-01,EA Sports,Electronic Arts,PS3,89,8.0,E,5
sales_141,Resident Evil,1996-01-01,Capcom,Virgin Interactive,Playstation,91,9.0,M,5
sales_142,Grand Theft Auto: Vice City Stories,2006-01-01,Rockstar Leeds,Take-Two Interactive,Playstation Portable,86,8.0,M,5
sales_143,Tony Hawk's Pro Skater,1999-01-01,Neversoft Entertainment,Activision,Playstation,92,9.2,T,5
sales_144,Guitar Hero III: Legends of Rock,2007-01-01,"Neversoft Entertainment, BudCat",Activision,PS2,82,8.2,T,4
sales_145,Link's Crossbow Training,2007-01-01,Nintendo,Nintendo,Wii,68,7.1,T,4
sales_146,Fallout 3,2008-01-01,Bethesda Game Studios,Bethesda Softworks,Xbox 360,93,8.5,M,4
sales_147,Uncharted: Drake's Fortune,2007-01-01,"Naughty Dog, SCE/WWS",Sony Computer Entertainment,PS3,88,8.1,T,4
sales_148,Madden NFL 06,2005-01-01,EA Sports,Electronic Arts,PS2,88,8.0,E,4
sales_149,StarCraft II: Wings of Liberty,2010-01-01,Blizzard Entertainment,Activision,PC,93,8.2,T,4
sales_150,Assassin's Creed,2007-01-01,Ubisoft Montreal,Ubisoft,PS3,81,7.3,M,4
sales_151,God of War III,2010-01-01,SCE Santa Monica,Sony Computer Entertainment,PS3,92,8.7,M,4
sales_152,Crash Team Racing,1999-01-01,Naughty Dog,Sony Computer Entertainment,Playstation,88,9.0,E,4
sales_153,LEGO Star Wars: The Complete Saga,2007-01-01,TT Fusion,LucasArts,DS,80,5.4,E,4
sales_154,Driver 2,2000-01-01,Reflections Interactive,Atari,Playstation,62,7.7,T,4
sales_155,Batman: Arkham City,2011-01-01,Rocksteady Studios,Warner Bros. Interactive Entertainment,Xbox 360,94,8.7,T,4
sales_156,Tony Hawk's Pro Skater 2,2000-01-01,Neversoft Entertainment,Activision,Playstation,98,7.7,T,4
sales_157,The Lord of the Rings: The Two Towers,2002-01-01,Stormfront Studios,Electronic Arts,PS2,82,8.2,T,4
sales_158,Tomb Raider,1996-01-01,Core Design Ltd.,Eidos Interactive,Playstation,91,8.6,T,4
sales_159,Animal Crossing: City Folk,2008-01-01,Nintendo,Nintendo,Wii,73,7.6,E,4
sales_160,Uncharted: The Nathan Drake Collection,2015-01-01,Bluepoint Games,Sony Computer Entertainment,PS4,86,8.1,T,4
sales_161,The Legend of Zelda: The Wind Waker,2002-01-01,Nintendo,Nintendo,GameCube,96,8.9,E,4
sales_162,Guitar Hero III: Legends of Rock,2007-01-01,Vicarious Visions,Activision,Wii,86,8.4,T,4
sales_163,Luigi's Mansion: Dark Moon,2013-01-01,Next Level Games,Nintendo,3DS,86,8.4,E,4
sales_164,Forza Motorsport 4,2011-01-01,Turn 10,Microsoft Game Studios,Xbox 360,91,8.2,E,4
sales_165,Madden NFL 2005,2004-01-01,EA Tiburon,Electronic Arts,PS2,91,7.9,E,4
sales_166,Guitar Hero III: Legends of Rock,2007-01-01,Neversoft Entertainment,Activision,Xbox 360,85,7.9,T,4
sales_167,Madden NFL 07,2006-01-01,EA Sports,Electronic Arts,PS2,84,8.2,E,4
sales_168,Halo 5: Guardians,2015-01-01,343 Industries,Microsoft Game Studios,XOne,84,6.4,T,4
sales_169,Spider-Man: The Movie,2002-01-01,Treyarch,Activision,PS2,76,7.9,E,4
sales_170,Call of Duty: Infinite Warfare,2016-01-01,Infinity Ward,Activision,PS4,77,3.4,M,4
sales_171,God of War,2005-01-01,SCE Santa Monica,Sony Computer Entertainment,PS2,94,8.9,M,4
sales_172,Splatoon,2015-01-01,Nintendo,Nintendo,WiiU,81,8.5,E10+,4
sales_173,Nintendo Land,2012-01-01,Nintendo,Nintendo,WiiU,77,7.9,E10+,4
sales_174,Tony Hawk's Pro Skater 3,2001-01-01,Neversoft Entertainment,Activision,PS2,97,7.5,T,4
sales_175,Winning Eleven: Pro Evolution Soccer 2007,2006-01-01,Konami,Konami Digital Entertainment,PS2,86,8.9,E,4
sales_176,The Elder Scrolls IV: Oblivion,2006-01-01,Bethesda Softworks,Take-Two Interactive,Xbox 360,94,8.7,M,4
sales_177,Need for Speed: Most Wanted,2005-01-01,EA Canada,Electronic Arts,PS2,82,9.1,T,4
sales_178,Michael Jackson: The Experience,2010-01-01,"Ubisoft Paris, Ubisoft Montpellier",Ubisoft,Wii,56,8.3,E10+,4
sales_179,Resistance: Fall of Man,2006-01-01,Insomniac Games,Sony Computer Entertainment,PS3,86,8.1,M,4
sales_180,Kingdom Hearts II,2005-01-01,Square Enix,Square Enix,PS2,87,9.0,E10+,4
sales_181,Super Mario 3D World,2013-01-01,Nintendo,Nintendo,WiiU,93,9.0,E,4
sales_182,Fable II,2008-01-01,Lionhead Studios,Microsoft Game Studios,Xbox 360,89,6.5,M,4
sales_183,Namco Museum,2001-01-01,Mass Media,Namco Bandai Games,Game Boy Advance,79,7.3,E,4
sales_184,Batman: Arkham Asylum,2009-01-01,Rocksteady Studios,Eidos Interactive,PS3,91,8.9,T,4
sales_185,Metal Gear Solid 3: Snake Eater,2004-01-01,KCEJ,Konami Digital Entertainment,PS2,91,9.3,M,4
sales_186,Assassin's Creed: Revelations,2011-01-01,Ubisoft Montreal,Ubisoft,PS3,80,7.5,M,4
sales_187,Fallout 4,2015-01-01,Bethesda Game Studios,Bethesda Softworks,XOne,88,6.2,M,4
sales_188,FIFA 14,2013-01-01,EA Canada,Electronic Arts,Xbox 360,84,4.2,E,4
sales_189,Daxter,2006-01-01,Ready at Dawn,Sony Computer Entertainment,Playstation Portable,85,8.7,E10+,4
sales_190,FIFA Soccer 06,2005-01-01,EA Canada,Electronic Arts,PS2,80,7.8,E,4
sales_191,EyeToy Play,2003-01-01,"SCEE, Zoe Mode",Sony Computer Entertainment,PS2,80,7.5,E,4
sales_192,Gran Turismo 5 Prologue,2007-01-01,Polyphony Digital,Sony Computer Entertainment,PS3,80,7.1,E,4
sales_193,Assassin's Creed: Revelations,2011-01-01,Ubisoft Montreal,Ubisoft,Xbox 360,80,7.2,M,4
sales_194,Street Fighter IV,2009-01-01,Capcom,Capcom,PS3,94,7.3,T,4
sales_195,Madden NFL 2003,2002-01-01,EA Sports,Electronic Arts,PS2,95,7.7,E,4
sales_196,Half-Life,1997-01-01,Valve Software,Vivendi Games,PC,96,9.1,M,4
sales_197,World of Warcraft: The Burning Crusade,2007-01-01,Blizzard Entertainment,Activision,PC,91,7.9,T,4
sales_198,Battlefield 1,2016-01-01,EA DICE,Electronic Arts,PS4,88,8.4,M,4
sales_199,God of War II,2007-01-01,SCE Santa Monica,Sony Computer Entertainment,PS2,93,8.9,M,4
sales_200,Fallout: New Vegas,2010-01-01,Obsidian Entertainment,Bethesda Softworks,Xbox 360,84,8.1,M,4
sales_201,Forza Motorsport 2,2007-01-01,Turn 10,Microsoft Game Studios,Xbox 360,90,8.3,E,4
sales_202,Carnival Games,2007-01-01,Cat Daddy Games,Take-Two Interactive,Wii,56,6.0,E,4
sales_203,Watch Dogs,2014-01-01,Ubisoft Montreal,Ubisoft,PS4,80,6.3,M,4
sales_204,Tekken Tag Tournament,2000-01-01,Namco,Namco Bandai Games,PS2,85,8.5,T,4
sales_205,Far Cry 4,2014-01-01,Ubisoft Montreal,Ubisoft,PS4,85,7.7,M,4
sales_206,Namco Museum: 50th Anniversary,2005-01-01,Digital Eclipse,Namco Bandai Games,PS2,61,,E10+,3
sales_207,Left 4 Dead 2,2009-01-01,Valve Software,Electronic Arts,Xbox 360,89,8.6,M,3
sales_208,The Witcher 3: Wild Hunt,2015-01-01,CD Projekt Red Studio,Namco Bandai Games,PS4,92,9.2,M,3
sales_209,Assassin's Creed: Unity,2014-01-01,"Ubisoft, Ubisoft Montreal",Ubisoft,PS4,70,4.9,M,3
sales_210,Batman: Arkham Knight,2015-01-01,Rocksteady Studios,Warner Bros. Interactive Entertainment,PS4,87,7.6,M,3
sales_211,The Legend of Zelda: Skyward Sword,2011-01-01,Nintendo,Nintendo,Wii,93,8.0,E10+,3
sales_212,Fallout 3,2008-01-01,Bethesda Game Studios,Bethesda Softworks,PS3,90,8.0,M,3
sales_213,Professor Layton and the Diabolical Box,2007-01-01,Level 5,Nintendo,DS,84,8.8,E10+,3
sales_214,EA Sports Active,2009-01-01,EA Canada,Electronic Arts,Wii,81,8.7,E,3
sales_215,Tony Hawk's Underground,2003-01-01,Neversoft Entertainment,Activision,PS2,90,8.7,T,3
sales_216,Monster Hunter 4 Ultimate,2014-01-01,Capcom,Nintendo,3DS,86,8.7,T,3
sales_217,The Elder Scrolls V: Skyrim,2011-01-01,Bethesda Game Studios,Bethesda Softworks,PC,94,8.1,M,3
sales_218,NBA 2K16,2015-01-01,Visual Concepts,Take-Two Interactive,PS4,87,6.7,E10+,3
sales_219,Tekken 5,2005-01-01,Namco,Namco Bandai Games,PS2,88,8.6,T,3
sales_220,MotorStorm,2006-01-01,Evolution Studios,Sony Computer Entertainment,PS3,84,7.4,T,3
sales_221,World Soccer Winning Eleven 8 International,2004-01-01,KCET,Konami Digital Entertainment,PS2,91,9.1,E,3
sales_222,Sports Champions,2010-01-01,"SCEA, Zindagi Games",Sony Computer Entertainment,PS3,76,7.9,E10+,3
sales_223,Call of Duty: Ghosts,2013-01-01,Infinity Ward,Activision,PS4,78,3.7,M,3
sales_224,Flash Focus: Vision Training in Minutes a Day,2007-01-01,"Nintendo, Namco Bandai Games",Nintendo,DS,59,4.0,E,3
sales_225,Tom Clancy's The Division,2016-01-01,Massive Entertainment,Ubisoft,PS4,80,7.0,M,3
sales_226,Big Brain Academy: Wii Degree,2007-01-01,Nintendo,Nintendo,Wii,68,6.9,E,3
sales_227,LEGO Indiana Jones: The Original Adventures,2008-01-01,Traveller's Tales,Activision,Xbox 360,77,7.5,E10+,3
sales_228,The Sims: Unleashed,2002-01-01,Maxis,Electronic Arts,PC,79,8.0,T,3
sales_229,Harry Potter and the Sorcerer's Stone,2001-01-01,Argonaut Games,Electronic Arts,Playstation,64,7.5,E,3
sales_230,Super Paper Mario,2007-01-01,Intelligent Systems,Nintendo,Wii,85,7.9,E,3
sales_231,Spyro: Year of the Dragon,2000-01-01,Insomniac Games,Sony Computer Entertainment,Playstation,91,8.8,E,3
sales_232,Assassin's Creed IV: Black Flag,2013-01-01,Ubisoft,Ubisoft,PS3,88,8.1,M,3
sales_233,FIFA Soccer 2005,2004-01-01,EA Canada,Electronic Arts,PS2,81,7.6,E,3
sales_234,Tony Hawk's Pro Skater 4,2002-01-01,Neversoft Entertainment,Activision,PS2,94,8.5,T,3
sales_235,MySims,2007-01-01,TOSE,Electronic Arts,DS,67,7.3,E,3
sales_236,Midnight Club 3: DUB Edition,2005-01-01,Rockstar Leeds,Take-Two Interactive,Playstation Portable,74,8.4,E10+,3
sales_237,SOCOM: U.S. Navy SEALs,2002-01-01,Zipper Interactive,Sony Computer Entertainment,PS2,82,7.9,M,3
sales_238,Jak and Daxter: The Precursor Legacy,2001-01-01,Naughty Dog,Sony Computer Entertainment,PS2,90,8.7,E,3
sales_239,Pro Evolution Soccer 2008,2007-01-01,Konami,Konami Digital Entertainment,PS2,82,7.9,E,3
sales_240,Resident Evil 4,2005-01-01,Capcom,Capcom,PS2,96,8.9,M,3
sales_241,Guitar Hero: World Tour,2008-01-01,Vicarious Visions,Activision,Wii,86,7.6,T,3
sales_242,FIFA Soccer 10,2009-01-01,EA Sports,Electronic Arts,PS3,91,7.6,E,3
sales_243,Star Wars: Battlefront,2004-01-01,Pandemic Studios,LucasArts,PS2,82,8.7,T,3
sales_244,The Simpsons: Road Rage,2001-01-01,Fox Interactive,Electronic Arts,PS2,64,7.7,T,3
sales_245,Luigi's Mansion,2001-01-01,Nintendo,Nintendo,GameCube,78,8.5,E,3
sales_246,Battlefield 4,2013-01-01,EA DICE,Electronic Arts,PS4,85,6.9,M,3
sales_247,Star Wars: Battlefront II,2005-01-01,Pandemic Studios,LucasArts,PS2,84,9.0,T,3
sales_248,Cooking Mama 2: Dinner With Friends,2007-01-01,Office Create,505 Games,DS,70,8.0,E,3
sales_249,Grand Theft Auto: Liberty City Stories,2006-01-01,Rockstar Leeds,Take-Two Interactive,PS2,78,7.8,M,3
sales_250,The Getaway,2002-01-01,Team Soho,Sony Computer Entertainment,PS2,72,6.8,M,3
sales_251,James Bond 007: Agent Under Fire,2001-01-01,EA Redwood Shores,Electronic Arts,PS2,72,7.9,T,3
sales_252,FIFA Soccer 11,2010-01-01,EA Sports,Electronic Arts,Xbox 360,88,7.5,E,3
sales_253,Left 4 Dead,2008-01-01,Certain Affinity,Electronic Arts,Xbox 360,89,7.9,M,3
sales_254,Assassin's Creed: Unity,2014-01-01,"Ubisoft, Ubisoft Montreal",Ubisoft,XOne,72,4.1,M,3
